"matchID","time","time2","hometeam","awayteam","home_goals","away_goals","seven_meter_success","player","event"
1,"46:57",2024-05-02 00:46:57,"ASV Hamm-Westfalen","Bergischer HC",20,25,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
1,"27:23",2024-05-02 00:27:23,"ASV Hamm-Westfalen","Bergischer HC",13,16,1,"Linus Arnesson","Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 13:16."
1,"6:34",2024-05-02 00:06:34,"ASV Hamm-Westfalen","Bergischer HC",6,5,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
18,"57:49",2024-05-02 00:57:49,"Bergischer HC","FRISCH AUF! Göppingen",26,0,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
18,"54:03",2024-05-02 00:54:03,"Bergischer HC","FRISCH AUF! Göppingen",23,23,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 23:23."
18,"37:09",2024-05-02 00:37:09,"Bergischer HC","FRISCH AUF! Göppingen",18,14,1,"Linus Arnesson","Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt."
18,"22:02",2024-05-02 00:22:02,"Bergischer HC","FRISCH AUF! Göppingen",10,8,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 10:8."
19,"46:26",2024-05-02 00:46:26,"Bergischer HC","Hannover-Burgdorf",15,16,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 15:16."
19,"41:50",2024-05-02 00:41:50,"Bergischer HC","Hannover-Burgdorf",13,12,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 13:12."
20,"44:56",2024-05-02 00:44:56,"Bergischer HC","HSG Wetzlar",20,16,1,"Linus Arnesson","Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt."
20,"42:54",2024-05-02 00:42:54,"Bergischer HC","HSG Wetzlar",18,15,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
20,"35:23",2024-05-02 00:35:23,"Bergischer HC","HSG Wetzlar",15,13,1,"Linus Arnesson","Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 15:13."
21,"5:28",2024-05-02 00:05:28,"Bergischer HC","MT Melsungen",3,2,1,"Linus Arnesson","5:28:00 3:02 Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
22,"46:16",2024-05-02 00:46:16,"Bergischer HC","Rhein-Neckar Löwen",19,20,1,"Linus Arnesson","Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt."
23,"26:44",2024-05-02 00:26:44,"Bergischer HC","SC Magdeburg",15,15,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
23,"10:17",2024-05-02 00:10:17,"Bergischer HC","SC Magdeburg",8,6,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 08:06."
25,"17:39",2024-05-02 00:17:39,"Bergischer HC","TBV Lemgo Lippe",11,8,0,"Linus Arnesson","Linus Arnesson (Bergischer HC) vergibt den 7-Meter."
26,"56:49",2024-05-02 00:56:49,"Bergischer HC","VfL Gummersbach",29,0,1,"Linus Arnesson","Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt."
26,"55:14",2024-05-02 00:55:14,"Bergischer HC","VfL Gummersbach",28,0,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 28:28."
26,"52:03",2024-05-02 00:52:03,"Bergischer HC","VfL Gummersbach",23,22,0,"Linus Arnesson","26:26:00 Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
26,"50:11",2024-05-02 00:50:11,"Bergischer HC","VfL Gummersbach",23,22,0,"Linus Arnesson","25:25:00 Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
26,"24:02",2024-05-02 00:24:02,"Bergischer HC","VfL Gummersbach",10,13,0,"Linus Arnesson","Linus Arnesson (Bergischer HC) vergibt den 7-Meter."
27,"10:30",2024-05-02 00:10:30,"Bergischer HC","ASV Hamm-Westfalen",7,2,1,"Linus Arnesson","10:30:00 7:02 Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
30,"56:37",2024-05-02 00:56:37,"Bergischer HC","Handball Sport Verein Hamburg",34,0,1,"Linus Arnesson","Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 34:30."
30,"24:49",2024-05-02 00:24:49,"Bergischer HC","Handball Sport Verein Hamburg",12,15,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 12:15."
31,"22:51",2024-05-02 00:22:51,"Bergischer HC","HC Erlangen",10,10,1,"Linus Arnesson","Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 10:10."
31,"14:05",2024-05-02 00:14:05,"Bergischer HC","HC Erlangen",6,5,1,"Linus Arnesson","Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie."
32,"39:57",2024-05-02 00:39:57,"Bergischer HC","SC DHfK Leipzig",23,17,1,"Linus Arnesson","Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 23:17."
32,"24:10",2024-05-02 00:24:10,"Bergischer HC","SC DHfK Leipzig",16,11,0,"Linus Arnesson","Linus Arnesson (Bergischer HC) scheitert von der 7-Meter Linie."
33,"53:10",2024-05-02 00:53:10,"Bergischer HC","THW Kiel",21,26,1,"Linus Arnesson","Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt."
