,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:36:00,,Arnor Thor Gunnarsson (Bergischer HC) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 27:31.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
2,59:12:00,,"Neuer Spielstand in Hamm, 27:30 durch den Treffer von Marian Orlowski für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
3,58:37:00,,Auszeit Bergischer HC,ASV Hamm-Westfalen,Bergischer HC,0,1,0,0,0,1,0,0
4,58:20:00,,Tor! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 26:29.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,1,0,0
5,57:17:00,,Lattenkracher von Andreas Bornemann (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,1,0,0
6,57:03:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,Bergischer HC,1,0,0,0,1,1,0,0
7,56:36:00,,"Neuer Spielstand in Hamm, 25:28 durch den Treffer 6M von Linus Arnesson für Bergischer HC.",ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,1,0,0
8,55:51:00,,"Tor Mait Patrail, ASV Hamm-Westfalen",ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,1,0,0
9,55:34:00,,Siebter Spieler eingewechselt Bergischer HC,ASV Hamm-Westfalen,Bergischer HC,0,0,0,1,1,1,0,0
10,55:24:00,,Fehlwurf von Yonatan Dayan (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,1,0,0
11,55:17:00,,Der eingewechselte Torwart Christopher Rudeck (Bergischer HC) steht nun zwischen den Pfosten.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,1,0,0
12,55:04:00,,Es gibt eine 2 Minuten Strafe für Tom Kare Nikolaisen (Bergischer HC).,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,1,1,0
13,54:58:00,,Schmack/Dinges verwarnen Michael Lerscht (ASV Hamm-Westfalen) mit einer Gelben Karte.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,0,0,0
14,54:58:00,,Marian Orlowski (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,1,0,0,1
15,54:30:00,,Frederik Ladefoged (Bergischer HC) trifft zum Spielstand von 24:27 in WESTPRESS arena.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
16,54:17:00,,Tor (6M)! Savvas Savvas (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 24:26.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
17,53:41:00,,Frederik Ladefoged (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 23:26.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
18,52:32:00,,Der Wurf von Bergischer HC wurde geblockt.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
19,51:59:00,,Tim Wieling von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Bergischer HC,0,0,0,0,0,0,0,0
