Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,32:28:00,"Neuer Spielstand in Hamm, 32:28 durch den Treffer 6M von Tim Kneule für FRISCH AUF! Göppingen.",ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
59:31:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
59:15:00,32:27:00,"Neuer Spielstand in Hamm, 32:27 durch den Treffer von Alexander Schulze für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
58:49:00,31:27:00,Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 31:27.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
58:31:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
58:25:00,31:26:00,Tor (LA)! Alexander Schulze (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 31:26.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
58:03:00,,David Schmidt (FRISCH AUF! Göppingen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
57:41:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
57:38:00,30:26:00,Tim Kneule (FRISCH AUF! Göppingen) trifft zum Spielstand von 30:26 in WESTPRESS arena.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:56:00,30:25:00,Marcel Schiller (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:05:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen.,ASV Hamm-Westfalen,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
