Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:26:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,0,0,0,0
59:12:00,29:32:00,Hans Lindberg (Füchse Berlin) trifft. Neuer Spielstand: 29:32.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
59:01:00,,Jan Von Boenigk (ASV Hamm-Westfalen) trifft 6M. Neuer Spielstand: 29:31.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
58:51:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,0,0,0,0
58:41:00,,Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
58:19:00,28:31:00,Stefan Bauer (ASV Hamm-Westfalen) trifft 6M. Neuer Spielstand: 28:31.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
57:33:00,,Vorbereitung von Jacob Holm (Füchse Berlin) führt zum Treffer durch Hans Lindberg.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
57:12:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,0,0,0,0
56:25:00,,Überragende Parade des Torwarts Dejan Milosavljev (Füchse Berlin)! Tim Wieling kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
56:19:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
55:46:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
55:09:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,1,0,0,0
54:57:00,27:30:00,Mijajlo Marsenic (Füchse Berlin) trifft. Neuer Spielstand: 27:30.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
54:13:00,27:29:00,Stefan Bauer (ASV Hamm-Westfalen) trifft 6M. Neuer Spielstand: 27:29.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
53:52:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,1,0,0,0
53:40:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
53:39:00,,2 Minuten Strafe für Alexander Schulze (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,1
53:25:00,,Auszeit Füchse Berlin,ASV Hamm-Westfalen,Füchse Berlin,0,1,0,0,0,0,0,0
53:17:00,,Der Wurf von Füchse Berlin wurde geblockt.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
52:49:00,26:29:00,Mait Patrail (ASV Hamm-Westfalen) trifft. Neuer Spielstand: 26:29.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
52:26:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,0,0,0,0
52:07:00,,Torwartwechsel bei ASV Hamm-Westfalen. Felix Hertlein kommt für Vladimir Bozic.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
51:38:00,25:29:00,Tim Wieling (ASV Hamm-Westfalen) trifft RA. Neuer Spielstand: 25:29.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
51:25:00,,Max Darj (Füchse Berlin) unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
50:55:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
50:27:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,0,0,0,0
50:23:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,1,0,0,0,0,0,0,0
50:09:00,24:29:00,Mijajlo Marsenic (Füchse Berlin) trifft 6M. Neuer Spielstand: 24:29.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
49:41:00,,Zeitstrafe vorbei Füchse Berlin,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,1,0,0
49:37:00,,Siebter Spieler eingewechselt Füchse Berlin,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,1,0,1,0,0
49:24:00,24:28:00,Fabian Huesmann (ASV Hamm-Westfalen) trifft. Neuer Spielstand: 24:28.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,1,0,0
49:04:00,23:28,Mijajlo Marsenic (Füchse Berlin) trifft. Neuer Spielstand: 23:28.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,1,0,0
49:04:00,,Siebter Spieler eingewechselt Füchse Berlin,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,1,0,1,0,0
48:23:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,1,0,0
47:37:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,1,1,0,0
47:14:00,,Tor (6M)! Marko Kopljar (Füchse Berlin) trifft. Neuer Spielstand: 23:27.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,1,1,0
47:02:00,,Torwartwechsel bei ASV Hamm-Westfalen. Felix Hertlein kommt für Vladimir Bozic.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
46:51:00,,Jan Von Boenigk (ASV Hamm-Westfalen) unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,0
46:08:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Füchse Berlin,0,0,1,0,1,0,0,0
46:08:00,,Andreas Bornemann (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,1,0,0,1
46:08:00,23:26,Paul Drux (Füchse Berlin) trifft. Neuer Spielstand: 23:26.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
46:08:00,,Tor (6M)! Mathias Gidsel (Füchse Berlin) trifft. Neuer Spielstand: 23:25.,ASV Hamm-Westfalen,Füchse Berlin,0,0,0,0,0,0,0,0
