,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Lattenkracher von Lutz Heiny (HC Erlangen).,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
2,59:35:00,29:32:00,Stefan Bauer (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 29:32.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
3,59:24:00,,Nico Büdel von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
4,58:41:00,,Auszeit ASV Hamm-Westfalen.,ASV Hamm-Westfalen,HC Erlangen,1,0,0,0,0,0,0,0
5,58:26:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,ASV Hamm-Westfalen,HC Erlangen,0,0,1,0,0,0,0,0
6,58:20:00,,Vladimir Bozic (ASV Hamm-Westfalen) hält den Wurf von Manuel Zehnder.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
7,57:51:00,,"Jan Von Boenigk (6M) wirft, jedoch neben das Tor.",ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
8,57:35:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,ASV Hamm-Westfalen,HC Erlangen,0,0,1,0,0,0,0,0
9,57:28:00,,Christopher Bissel von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
10,56:40:00,,"Block von Tim Zechel, der den Torwurf von Savvas Savvas verhindert.",ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
11,56:07:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,ASV Hamm-Westfalen,HC Erlangen,0,0,1,0,0,0,0,0
12,56:00:00,,Der Wurf von Manuel Zehnder (HC Erlangen) landet hinter dem Tor.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
13,55:19:00,28:32:00,Jan Von Boenigk (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 28:32.,ASV Hamm-Westfalen,HC Erlangen,0,0,0,0,0,0,0,0
