,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,,"Der disqualifizierte Savvas Savvas muss das Spielfeld verlassen, aber ASV Hamm-Westfalen wird nach 2 Minuten wieder auffüllen dürfen.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,1,0
2,58:48:00,23:29,Erik Schmidt (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 23:29.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
3,58:03:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
4,57:41:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
5,57:39:00,23:28,Tor (6M)! Hendrik Wagner (HSG Wetzlar) netzt ein zum neuen Spielstand von 23:28.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
6,57:27:00,23:27,Magnus Fredriksen (HSG Wetzlar) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 23:27.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
7,56:57:00,23:26,Tim Wieling (ASV Hamm-Westfalen) trifft zum Spielstand von 23:26 in WESTPRESS arena.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
8,56:57:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
9,56:43:00,22:26,Tor! Vladan Lipovina (HSG Wetzlar) netzt ein zum neuen Spielstand von 22:26.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
10,56:06:00,22:25,"Neuer Spielstand in Hamm, 22:25 durch den Treffer RA von Tim Wieling für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
11,55:53:00,21:25,"Neuer Spielstand in Hamm, 21:25 durch den Treffer von Vladan Lipovina für HSG Wetzlar.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
12,55:15:00,,"Block von Magnus Fredriksen, der den Torwurf von Marian Orlowski verhindert.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
13,54:33:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
14,54:20:00,21:24,"Neuer Spielstand in Hamm, 21:24 durch den Treffer 6M von Magnus Fredriksen für HSG Wetzlar.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
15,53:24:00,21:23,Tor! Mait Patrail (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 21:23.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
16,52:28:00,,"Gute Torchance, aber Tim Wieling (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
17,52:09:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
18,51:59:00,20:23,Emil Mellegard (HSG Wetzlar) trifft von (LA). Neuer Spielstand in WESTPRESS arena: 20:23.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
19,51:12:00,20:22,Savvas Savvas (ASV Hamm-Westfalen) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:22.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
20,50:18:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
21,49:17:00,19:22,Tim Wieling (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 19:22.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
22,49:07:00,,Jonas Schelker von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
23,48:34:00,18:22,Tor (LA)! Alexander Schulze (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 18:22.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
24,48:20:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,0,0,0,0
25,48:05:00,17:22,Vladan Lipovina (HSG Wetzlar) trifft zum Spielstand von 17:22 in WESTPRESS arena.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
26,47:00:00,17:21,Marian Orlowski (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 17:21.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
27,46:51:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
28,46:14:00,,Fehlwurf von Savvas Savvas (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
29,45:28:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,1,0,0,0,0,0,0,0
30,45:18:00,16:21,"Neuer Spielstand in Hamm, 16:21 durch den Treffer von Lenny Rubin für HSG Wetzlar.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
31,44:28:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic pariert den Wurf.",ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,0,0,0,0
32,44:26:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,0,0,1,0,0,0
33,43:38:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,HSG Wetzlar,0,0,1,0,1,0,0,0
