Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,29:29:00,Björn Zintel (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:29.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
59:57:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,0,1,0,0
59:54:00,,Marian Michalczik (Hannover-Burgdorf) erhält eine 2 Minuten Strafe.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,1,0
59:33:00,,Auszeit Hannover-Burgdorf,ASV Hamm-Westfalen,Hannover-Burgdorf,0,1,0,0,0,0,0,0
59:01:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,1,0,0,0,0,0,0,0
58:52:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
58:38:00,28:29:00,Andreas Bornemann (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 28:29.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:52:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
57:28:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:09:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
56:48:00,,"Der Torwart von Hannover-Burgdorf, Dario Quenstedt hält den Wurf von Savvas Savvas.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
56:26:00,,Bastian Roscheck blockt den Wurf von Andreas Bornemann.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
55:24:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
55:21:00,27:29:00,"Tor von der 7-Meter Linie von Marius Steinhauser (Hannover-Burgdorf), neuer Spielstand 27:29.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
55:11:00,,2-Minuten-Strafe für Markus Fuchs. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
54:09:00,,Auszeit Hannover-Burgdorf,ASV Hamm-Westfalen,Hannover-Burgdorf,0,1,0,0,0,0,0,0
54:09:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
53:28:00,,Dario Quenstedt (Hannover-Burgdorf) hält den Wurf von Savvas Savvas.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
52:18:00,,ASV Hamm-Westfalen wechselt den Torwart. Felix Hertlein kommt für Vladimir Bozic.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
52:03:00,27:28:00,Evgeni Pevnov (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 27:28.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
51:44:00,27:27:00,"Neuer Spielstand in Hamm, 27:27 durch den Treffer 6M von Remi Leventoux für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
51:17:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
51:06:00,26:27:00,Tor (LA)! Vincent Büchner (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 26:27.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50:58:00,26:26:00,Björn Zintel (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 26:26.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50:19:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
50:16:00,25:26:00,"Neuer Spielstand in Hamm, 25:26 durch den Treffer von Vincent Büchner für Hannover-Burgdorf.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50:02:00,,Es gibt eine 2 Minuten Strafe für Markus Fuchs (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
49:58:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
49:42:00,25:25:00,Savvas Savvas (ASV Hamm-Westfalen) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 25:25.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
49:09:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
48:57:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Vladimir Bozic.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:47:00,24:25:00,Andreas Bornemann (ASV Hamm-Westfalen) trifft zum Spielstand von 24:25 in WESTPRESS arena.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:09:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
48:05:00,23:25,Marius Steinhauser (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 23:25.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47:58:00,,2-Minuten-Strafe für Fabian Huesmann. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
47:15:00,23:24,Björn Zintel (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 23:24.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
46:33:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
46:28:00,22:24,Tor! Evgeni Pevnov (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 22:24.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
46:02:00,22:23,Tor (RM/fern)! Björn Zintel (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 22:23.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
45:30:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,0,0,0,0
45:16:00,,Marius Steinhauser (Hannover-Burgdorf) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
45:09:00,,Es gibt Gelb für Michael Lerscht (ASV Hamm-Westfalen) von Kern/Kuschel.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44:56:00,21:22,Fabian Huesmann (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 21:22.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44:55:00,,Vladimir Bozic (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
44:15:00,20:22,Andreas Bornemann (ASV Hamm-Westfalen) trifft zum Spielstand von 20:22 in WESTPRESS arena.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:53:00,,Es gibt Gelb für Christian Prokop (Hannover-Burgdorf) von Kern/Kuschel.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:37:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
43:19:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
43:14:00,19:22,"Neuer Spielstand in Hamm, 19:22 durch den Treffer von Ilija Brozovic für Hannover-Burgdorf.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
42:49:00,,Dario Quenstedt (Hannover-Burgdorf) pariert den Wurf.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
42:01:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
41:54:00,19:21,Vincent Büchner (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 19:21.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
41:37:00,,Remi Leventoux (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
41:21:00,,Zeitstrafe vorbei Hannover-Burgdorf,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
41:13:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,1,0,1,0,0
41:04:00,19:20,Tor! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 19:20.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
40:54:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,1,0,0,0,0,1,0,0
40:32:00,18:20,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 18:20.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,0,0
39:45:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,1,0,1,0,0
39:20:00,,Marius Steinhauser (Hannover-Burgdorf) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,1,1,0
38:44:00,,Marius Steinhauser von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38:36:00,,Überragende Parade des Torwarts Dario Quenstedt (Hannover-Burgdorf)! Fabian Huesmann kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37:50:00,,"Der Torwart von ASV Hamm-Westfalen, Vladimir Bozic pariert den Wurf.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37:41:00,18:19,"Neuer Spielstand in Hamm, 18:19 durch den Treffer RR/fern von Andreas Bornemann für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37:04:00,17:19,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 17:19.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36:16:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
36:09:00,,Parade von Torwart Vladimir Bozic (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
35:59:00,17:18,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
35:32:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
35:18:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Vladimir Bozic.",ASV Hamm-Westfalen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
