Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,18:28,"Neuer Spielstand in Hamm, 18:28 durch den Treffer von Lasse Ohl für MT Melsungen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
59:19:00,18:27,18:27 Andreas Bornemann (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 18:27.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
59:06:00,,Zeitstrafe vorbei MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
58:45:00,,Siebter Spieler eingewechselt MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,1,0,1,0,0
58:39:00,,17:27 Andreas Bornemann (ASV Hamm-Westfalen) trifft zum Spielstand von 17:27 in WESTPRESS arena.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
58:14:00,16:27,Kai Häfner (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 16:27.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
57:34:00,,Siebter Spieler eingewechselt MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,1,0,1,0,0
57:27:00,,Alexander Schulze (ASV Hamm-Westfalen) trifft die Latte.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
57:03:00,,"Nach einem harten Foul hat Ivan Martinovic (MT Melsungen) nun zwei Minuten Zeit, um sich auszuruhen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,1,0
56:55:00,,Überragende Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen)! Lasse Ohl kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
56:28:00,,Adam Morawski (MT Melsungen) mit einer Parade.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
55:58:00,,Florian Drosten von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
54:26:00,,Domagoj Pavlovic von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
53:21:00,,Der Wurf von Yonatan Dayan (ASV Hamm-Westfalen) landet hinter dem Tor.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
53:12:00,16:26,André Gomes (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 16:26.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
52:37:00,,"Gute Torchance, aber Andreas Bornemann (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
51:58:00,,Fehlwurf von Gleb Kalarash (MT Melsungen).,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
51:25:00,,Der Wurf von Yonatan Dayan (ASV Hamm-Westfalen) landet hinter dem Tor.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
50:56:00,,Der Wurf von ASV Hamm-Westfalen wurde geblockt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
50:36:00,16:25,André Gomes (MT Melsungen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 16:25.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
49:24:00,,"André Gomes (RM/fern) wirft, jedoch neben das Tor.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
48:01:00,16:24,Tor! Stefan Bauer (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 16:24.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
47:47:00,,David Mandic (MT Melsungen) trifft nur den Pfosten.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
47:35:00,15:24,Jan Pretzewofsky (ASV Hamm-Westfalen) überwindet den Torwart von (RA) zum neuen Spielstand von 15:24.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
46:06:00,,Torwartwechsel bei MT Melsungen. Adam Morawski kommt für Nebojsa Simic.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
45:50:00,,Alexander Schulze von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
45:13:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,1,0,0,0,0,0,0,0
44:39:00,14:23,Gleb Kalarash (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 14:23.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
44:32:00,,"Andreas Bornemann (6M) wirft, jedoch neben das Tor.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
44:08:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
43:33:00,,Tor (6M)! Arnar Freyr Arnarsson (MT Melsungen) netzt ein zum neuen Spielstand von 14:22.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
43:06:00,,Nebojsa Simic (MT Melsungen) hält den Wurf von Marian Orlowski.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
42:33:00,,Nebojsa Simic (MT Melsungen) mit einer Parade.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
42:18:00,14:21,"Neuer Spielstand in Hamm, 14:21 durch den Treffer 6M von André Gomes für MT Melsungen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
41:29:00,14:20,"Neuer Spielstand in Hamm, 14:20 durch den Treffer von Yonatan Dayan für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
41:14:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
40:53:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
40:34:00,,Siebter Spieler eingewechselt MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,1,1,0,0,0
40:23:00,,Yonatan Dayan (ASV Hamm-Westfalen) scheitert am Torwart Nebojsa Simic (MT Melsungen).,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
40:22:00,,Zeitstrafe vorbei MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,1,0,0
40:07:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,1,0,0
39:58:00,13:20,Ivan Martinovic (MT Melsungen) trifft von der 7-Meter Linie. Neuer Spielstand von 13:20.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,1,0,0
38:59:00,,Jan Von Boenigk (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,1,0,1
38:59:00,,Agustin Casado Marcelo von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
38:54:00,13:19,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 13:19.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
38:37:00,,Siebter Spieler eingewechselt MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,1,0,1,0,0
38:22:00,,Der 7-Meter von Savvas Savvas (ASV Hamm-Westfalen) landet nicht im Tor.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,0,0
38:19:00,,André Gomes (MT Melsungen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,1,1,0
38:10:00,,"Torwurf von Agustin Casado Marcelo (MT Melsungen), aber der Ball trifft nur die Latte.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
36:50:00,12:19,"Neuer Spielstand in Hamm, 12:19 durch den Treffer 6M von Stefan Bauer für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
36:06:00,11:19,Alexander Schulze (ASV Hamm-Westfalen) trifft von (LA). Neuer Spielstand in WESTPRESS arena: 11:19.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
35:00:00,10:19,Kai Häfner (MT Melsungen) trifft zum Spielstand von 10:19 in WESTPRESS arena.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
34:30:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Alexander Schulze.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
33:45:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
32:20:00,,Überragende Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen)! Agustin Casado Marcelo kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
31:42:00,,Der Wurfversuch von André Gomes (MT Melsungen) wurde durch einen Block von Mait Patrail verhindert.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
31:36:00,,Überragende Parade des Torwarts Nebojsa Simic (MT Melsungen)! Jan Von Boenigk kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
31:34:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
31:07:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
30:59:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
30:49:00,,"Gute Torchance, aber Marian Orlowski (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
30:01:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
30:00:00,HALBZ,,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
29:55:00,10:18,André Gomes (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 10:18.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
29:49:00,,Auszeit MT Melsungen,ASV Hamm-Westfalen,MT Melsungen,0,1,0,0,1,0,0,0
29:37:00,,Der Wurf von Jan Von Boenigk (ASV Hamm-Westfalen) landet hinter dem Tor.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
29:13:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
29:13:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
29:13:00,,"Der Trainer von ASV Hamm-Westfalen, Michael Lerscht stellt nun Felix Hertlein zwischen die Pfosten.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
29:11:00,,2-Minuten-Strafe für Vladimir Bozic. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,1
29:11:00,10:17,Tor! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 10:17.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
28:58:00,10:16,Tor (6M)! Stefan Bauer (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 10:16.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
28:21:00,9:16,"Neuer Spielstand in Hamm, 9:16 durch den Treffer von André Gomes für MT Melsungen.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
27:13:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den Wurf.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
26:55:00,9:15,Agustin Casado Marcelo (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 9:15.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
26:06:00,,Savvas Savvas von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
25:32:00,,"Block von Gleb Kalarash, der den Torwurf von Savvas Savvas verhindert.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
24:57:00,9:14,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 9:14.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
24:45:00,9:13,Marian Orlowski (ASV Hamm-Westfalen) trifft von (RM/fern). Neuer Spielstand in WESTPRESS arena: 9:13.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
24:34:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
24:02:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
23:47,,Kai Häfner von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
23:37,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Marian Orlowski.",ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
22:54,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,MT Melsungen,0,0,1,0,1,0,0,0
22:51,,Julian Fuchs (MT Melsungen) trifft zum Spielstand von 8:13 in WESTPRESS arena.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,0
22:29,,Andreas Bornemann (ASV Hamm-Westfalen) erhält eine 2 Minuten Strafe.,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,1,0,0,1
21:35,,Parade von Torwart Nebojsa Simic (MT Melsungen).,ASV Hamm-Westfalen,MT Melsungen,0,0,0,0,0,0,0,0
