,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:33:00,30:35:00,Yonatan Dayan (ASV Hamm-Westfalen) trifft von (RM/fern). Neuer Spielstand in WESTPRESS arena: 30:35.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
2,59:00:00,29:35:00,Tor (RL/fern)! Halil Jaganjac (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 29:35.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
3,58:33:00,29:34:00,"Neuer Spielstand in Hamm, 29:34 durch den Treffer von Alexander Schulze für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
4,58:11:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
5,58:10:00,28:34:00,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
6,57:19:00,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
7,56:55:00,28:33:00,Benjamin Helander (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 28:33.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
8,56:41:00,28:32:00,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 28:32.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
9,56:15:00,27:32:00,Benjamin Helander (Rhein-Neckar Löwen) trifft von (LA). Neuer Spielstand in WESTPRESS arena: 27:32.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
10,55:12:00,27:31:00,Jan Pretzewofsky (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 27:31.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
11,55:02:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
12,53:57:00,26:31:00,"Neuer Spielstand in Hamm, 26:31 durch den Treffer von Jan Von Boenigk für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
13,53:14:00,,Auszeit Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,1,0,0,0,1,0,0
14,53:11:00,25:31:00,Tor (6M)! Jan Von Boenigk (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 25:31.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
15,52:21:00,24:31:00,Yonatan Dayan (ASV Hamm-Westfalen) trifft zum Spielstand von 24:31 in WESTPRESS arena.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
16,52:02:00,,Der Wurfversuch von Robert Timmermeister (Rhein-Neckar Löwen) wurde durch einen Block von Benjamin Meschke verhindert.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
17,51:13:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
18,51:10:00,,2-Minuten-Strafe für Ymir Örn Gislason. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
19,51:10:00,23:31,"Neuer Spielstand in Hamm, 23:31 durch den Treffer 6M von Yonatan Dayan für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
20,51:04:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
21,50:24:00,22:31,Tor! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 22:31.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
22,50:10:00,21:31,Tor! Elias Scholtes (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 21:31.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
23,49:31:00,21:30,Yonatan Dayan (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 21:30.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
24,49:03:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
25,48:49:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
26,48:41:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
27,48:31:00,,Überragende Parade des Torwarts Joel Birlehm (Rhein-Neckar Löwen)! Stefan Bauer kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
28,48:13:00,,Joel Birlehm (Rhein-Neckar Löwen) mit einer Parade.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
29,47:52:00,20:30,"Neuer Spielstand in Hamm, 20:30 durch den Treffer von Elias Scholtes für Rhein-Neckar Löwen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
30,47:39:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
31,47:23:00,20:29,Stefan Bauer (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 20:29.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
32,47:06:00,,Juri Knorr (Rhein-Neckar Löwen) scheitert am Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
33,46:46:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
34,46:44:00,19:29,Yonatan Dayan (ASV Hamm-Westfalen) trifft zum Spielstand von 19:29 in WESTPRESS arena.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
35,46:43:00,,Sebastian Hinze von Rhein-Neckar Löwen wurde mit der Gelben Karte von Schmidt/Linker verwarnt.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
36,46:43:00,,"Nach einem harten Foul hat Robert Timmermeister (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
37,46:31:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
38,45:41:00,18:29,Der 7-Meter wurde von Savvas Savvas (ASV Hamm-Westfalen) erfolgreich verwandelt.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
39,45:11:00,,Felix Hertlein (ASV Hamm-Westfalen) hält den Wurf von Juri Knorr.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
40,44:22:00,17:29,Yonatan Dayan (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 17:29.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
41,44:11:00,16:29,"Neuer Spielstand in Hamm, 16:29 durch den Treffer 6M von Halil Jaganjac für Rhein-Neckar Löwen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
42,43:37:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
43,43:14:00,,"Torwurf von Jan Pretzewofsky (ASV Hamm-Westfalen), aber der Ball trifft nur die Latte.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
44,43:07:00,,Überragende Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen)! Elias Scholtes kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
45,42:42:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
46,42:34:00,,Kristjan Horzen blockt den Wurf von Savvas Savvas.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
47,42:23:00,16:28,Tor (6M)! Halil Jaganjac (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 16:28.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
48,42:14:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
49,42:11:00,,"Der Trainer von Rhein-Neckar Löwen, Sebastian Hinze stellt nun Joel Birlehm zwischen die Pfosten.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
50,41:52:00,16:27,Alexander Schulze (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 16:27.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
51,41:50:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren hält den Wurf von Savvas Savvas.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
52,41:34:00,,"Nach einem harten Foul hat Olle Forsell Schefvert (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
53,40:59:00,15:27,Tor! Jannik Kohlbacher (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 15:27.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54,40:46:00,15:26,Savvas Savvas (ASV Hamm-Westfalen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 15:26.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55,40:07:00,14:26,Juri Knorr (Rhein-Neckar Löwen) trifft von (RM/fern). Neuer Spielstand in WESTPRESS arena: 14:26.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56,39:08:00,14:25,"Neuer Spielstand in Hamm, 14:25 durch den Treffer RM/fern von Savvas Savvas für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57,38:59:00,13:25,Patrick Groetzki (Rhein-Neckar Löwen) trifft zum Spielstand von 13:25 in WESTPRESS arena.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58,38:08:00,,Wurfversuch von Andreas Bornemann (ASV Hamm-Westfalen) aber der Ball landet an der Latte.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
59,37:26:00,13:24,"Neuer Spielstand in Hamm, 13:24 durch den Treffer von Savvas Savvas für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
60,36:48:00,,Überragende Parade des Torwarts Mikael Appelgren (Rhein-Neckar Löwen)! Savvas Savvas kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
61,36:42:00,12:24,Tor (6M)! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 12:24.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
62,36:26:00,,Alexander Schulze (ASV Hamm-Westfalen) trifft nur den Pfosten.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
63,35:37:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
64,35:30:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
65,35:10:00,12:23,Tor (6M)! Jan Von Boenigk (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 12:23.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
66,34:18:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
67,34:10:00,11:23,Tor! Jannik Kohlbacher (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 11:23.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
68,33:56:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
69,33:37:00,,Andreas Bornemann (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
70,33:04:00,,"Gute Torchance, aber Jan Pretzewofsky (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
71,32:06:00,11:22,"Neuer Spielstand in Hamm, 11:22 durch den Treffer RM/fern von Juri Knorr für Rhein-Neckar Löwen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
72,31:51:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
73,30:51:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,1,0,0,0,0
74,30:39:00,,Mikael Appelgren (Rhein-Neckar Löwen) hält den Wurf von Savvas Savvas.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
75,,,HALBZEIT(11:21),ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
76,29:53:00,11:21,Uwe Gensheimer (Rhein-Neckar Löwen) trifft zum Spielstand von 11:21 in WESTPRESS arena.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
77,29:46:00,,"Block von Albin Lagergren, der den Torwurf von Marian Orlowski verhindert.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
78,29:15:00,11:20,Uwe Gensheimer (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 11:20.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
79,29:02:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
80,28:54:00,11:19,Uwe Gensheimer (Rhein-Neckar Löwen) trifft von (LA). Neuer Spielstand in WESTPRESS arena: 11:19.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
81,27:55:00,11:18,Andreas Bornemann (ASV Hamm-Westfalen) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 11:18.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
82,26:53:00,10:18,"Neuer Spielstand in Hamm, 10:18 durch den Treffer von Olle Forsell Schefvert für Rhein-Neckar Löwen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
83,26:43:00,10:17,Andreas Bornemann (ASV Hamm-Westfalen) trifft von (RM/fern). Neuer Spielstand in WESTPRESS arena: 10:17.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
84,26:08:00,9:17,"Tor von der 7-Meter Linie von Uwe Gensheimer (Rhein-Neckar Löwen), neuer Spielstand 9:17.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
85,25:03:00,,Es gibt Gelb für Michael Lerscht (ASV Hamm-Westfalen) von Schmidt/Linker.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
86,24:59:00,,Andreas Bornemann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
87,24:48:00,,Fehlwurf von Juri Knorr (Rhein-Neckar Löwen).,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
88,24:06:00,9:16,"Neuer Spielstand in Hamm, 9:16 durch den Treffer von Marian Orlowski für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
89,22:57,8:16,Juri Knorr (Rhein-Neckar Löwen) überwindet den Torwart von (6M) zum neuen Spielstand von 8:16.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
90,22:25,8:15,Yonatan Dayan (ASV Hamm-Westfalen) trifft zum Spielstand von 8:15 in WESTPRESS arena.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
91,21:44,,"Jan Von Boenigk (RR/fern) wirft, jedoch neben das Tor.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
92,21:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
93,20:45,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
94,20:33,,"Patrick Groetzki wirft auf das Tor, trifft aber nur den Pfosten.",ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
95,19:57,7:15,Tor (LA)! Fabian Huesmann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 7:15.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
96,19:22,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
97,19:15,6:15,Tor! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 6:15.,ASV Hamm-Westfalen,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
