Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:14:00,25:30:00,"Tor von der 7-Meter Linie von Tim Wieling (ASV Hamm-Westfalen), neuer Spielstand 25:30.",ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
59:10:00,,Es gibt eine 2 Minuten Strafe für Niko Blaauw (TBV Lemgo Lippe).,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,1,1,0
58:45:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
58:36:00,,Der Wurfversuch von Björn Zintel (ASV Hamm-Westfalen) wurde durch einen Block von Gedeon Guardiola verhindert.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:03:00,24:30:00,Lukas Hutecek (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 24:30.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:45:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
57:30:00,,Der Wurf von Andreas Bornemann (ASV Hamm-Westfalen) landet hinter dem Tor.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:10:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:27:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
56:16:00,24:29:00,Remi Leventoux (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 24:29.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:46:00,23:29,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 23:29.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:56:00,,Der Strafwurf von Samuel Zehnder wurde von Felix Hertlein (ASV Hamm-Westfalen) gehalten.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:56:00,,"Chance für Samuel Zehnder (TBV Lemgo Lippe), er trifft aber nur den Pfosten.",ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:31:00,,Der Wurf von TBV Lemgo Lippe wurde geblockt.,ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:03:00,23:28,"Tor Yonatan Dayan, ASV Hamm-Westfalen",ASV Hamm-Westfalen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
