Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Yannick Fraatz (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:37.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
59:56:00,,Der 7-Meter wurde von Marian Orlowski (ASV Hamm-Westfalen) erfolgreich verwandelt.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
59:56:00,24:36:00,Der 7-Meter wurde von Marian Orlowski (ASV Hamm-Westfalen) erfolgreich verwandelt.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
58:47:00,23:36,"Neuer Spielstand in Hamm, 23:36 durch den Treffer von Patrick Wiencek für THW Kiel.",ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
58:15:00,23:35,Andreas Bornemann (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 23:35.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
57:50:00,,Parade von Torwart Tomas Mrkva (THW Kiel).,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
57:20:00,22:35,Steffen Weinhold (THW Kiel) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 22:35.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
56:45:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.",ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
56:11:00,22:34,Tor! Karl Wallinius (THW Kiel) netzt ein zum neuen Spielstand von 22:34.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
55:33:00,22:33,"Neuer Spielstand in Hamm, 22:33 durch den Treffer RA von Tim Wieling für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
54:59:00,21:33,Karl Wallinius (THW Kiel) trifft von (RM/fern). Neuer Spielstand in WESTPRESS arena: 21:33.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
54:52:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Marian Orlowski kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
54:19:00,21:32,Yannick Fraatz (THW Kiel) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
53:49:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
53:10:00,21:31,Andreas Bornemann (ASV Hamm-Westfalen) trifft zum Spielstand von 21:31 in WESTPRESS arena.,ASV Hamm-Westfalen,THW Kiel,0,0,0,0,0,0,0,0
