Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
59:36:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,1,0,1,0,0,0
59:22:00,31:26:00,Tor (RA)! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 31:26.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
59:09:00,,Wurfversuch von Savvas Savvas (ASV Hamm-Westfalen) aber der Ball landet an der Latte.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
58:42:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,1,0,1,0,0,0
58:23:00,31:25:00,Florian Kranzmann (GWD Minden) trifft zum Spielstand von 31:25 in WESTPRESS arena.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
58:14:00,,Überragende Parade des Torwarts Malte Semisch (GWD Minden)! Jan Pretzewofsky kann den Ball nicht im Tor unterbringen!,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
57:49:00,,2-Minuten-Strafe für Fabian Huesmann. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,1
57:40:00,31:24:00,"Neuer Spielstand in Hamm, 31:24 durch den Treffer von Björn Zintel für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
57:00:00,,Der Wurf von Mohamed Amine Darmoul (GWD Minden) landet hinter dem Tor.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
56:33:00,,Zeitstrafe vorbei GWD Minden,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,1,0,0
56:03:00,,Siebter Spieler eingewechselt GWD Minden,ASV Hamm-Westfalen,GWD Minden,0,0,0,1,0,1,0,0
55:50:00,30:24:00,Fabian Huesmann (ASV Hamm-Westfalen) überwindet den Torwart von (LA) zum neuen Spielstand von 30:24.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,1,0,0
55:18:00,,Felix Hertlein (ASV Hamm-Westfalen) hält den Wurf von Mohamed Amine Darmoul.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,1,0,0
55:04:00,,Siebter Spieler eingewechselt GWD Minden,ASV Hamm-Westfalen,GWD Minden,0,0,0,1,0,1,0,0
54:49:00,29:24:00,"Neuer Spielstand in Hamm, 29:24 durch den Treffer LA von Fabian Huesmann für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,1,0,0
54:30:00,,"Nach einem harten Foul hat Luka Sebetic (GWD Minden) nun zwei Minuten Zeit, um sich auszuruhen.",ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,1,1,0
54:28:00,,Mathias Bitsch (GWD Minden) überwindet den Torwart zum neuen Spielstand von 28:24.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
53:35:00,28:24:00,Mathias Bitsch (GWD Minden) überwindet den Torwart zum neuen Spielstand von 28:24.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
53:23:00,28:23:00,Andreas Bornemann (ASV Hamm-Westfalen) trifft zum Spielstand von 28:23 in WESTPRESS arena.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
52:19:00,27:23:00,Tor (6M)! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 27:23.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
51:59:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
51:51:00,,Nun wird Malte Semisch für GWD Minden im Tor stehen.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
51:31:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
51:27:00,26:23:00,Tor! Savvas Savvas (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 26:23.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
51:21:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,1,0,1,0,0,0
51:08:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,ASV Hamm-Westfalen,GWD Minden,0,0,1,0,1,0,0,0
50:13:00,,Der Strafwurf von Florian Kranzmann wurde von Felix Hertlein (ASV Hamm-Westfalen) gehalten.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,0
50:09:00,,Björn Zintel (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,1,0,0,1
49:53:00,,Andreas Bornemann (ASV Hamm-Westfalen) scheitert am Torwart Yahav Shamir (GWD Minden).,ASV Hamm-Westfalen,GWD Minden,0,0,0,0,0,0,0,0
