Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:37:00,27:34:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 27:34.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:00:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein hält den Wurf von Leif Tissier.",ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:24:00,27:33:00,Tor! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 27:33.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:05:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Alexander Pinski zwischen die Pfosten.",ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:51:00,26:33:00,Thore Feit (Handball Sport Verein Hamburg) trifft zum Spielstand von 26:33 in WESTPRESS arena.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:46:00,,Jens Vortmann (Handball Sport Verein Hamburg) hält den Wurf von Tim Wieling.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:38:00,,Fehlwurf von Thies Bergemann (Handball Sport Verein Hamburg).,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:07:00,,Auszeit Handball Sport Verein Hamburg,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
57:03:00,26:32:00,"Neuer Spielstand in Hamm, 26:32 durch den Treffer von Andreas Bornemann für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:40:00,25:32:00,Tor (6M)! Dani Baijens (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 25:32.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:25:00,25:31:00,Marian Orlowski (ASV Hamm-Westfalen) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 25:31.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:20:00,24:31:00,"Neuer Spielstand in Hamm, 24:31 durch den Treffer 6M von Leif Tissier für Handball Sport Verein Hamburg.",ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:28:00,23:30,Tor (6M)! Azat Valiullin (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 23:30.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:16:00,23:29,Tor! Stefan Bauer (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 23:29.,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
