Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:05:00,,Benjamin Meschke von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:35:00,,Savvas Savvas mit dem Lattenkracher. Was für ein Pech.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:25:00,28:33:00,Tim Matthes (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 28:33.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:34:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,SC DHfK Leipzig,1,0,0,0,0,0,0,0
57:23:00,,Sime Ivic von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:09:00,28:32:00,Matej Klima (SC DHfK Leipzig) trifft zum Spielstand von 28:32 in WESTPRESS arena.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:13:00,28:31:00,Tor! Benjamin Meschke (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 28:31.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:00:00,27:31:00,Luca Witzke (SC DHfK Leipzig) trifft zum Spielstand von 27:31 in WESTPRESS arena.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:59:00,,Zeitstrafe vorbei SC DHfK Leipzig,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
54:30:00,27:30:00,Siebter Spieler eingewechselt SC DHfK Leipzig,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,1,0,1,0,0
54:19:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
53:54:00,,Matej Klima (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in WESTPRESS arena: 27:30.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
53:06:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,1,0,1,0,0
52:57:00,27:29:00,Tor (6M)! Savvas Savvas (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 27:29.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
52:44:00,,Patrick Wiesmach geht den Gegner zu stark an. SC DHfK Leipzig muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,1,1,0
52:33:00,,Fehlwurf von Sime Ivic (SC DHfK Leipzig).,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:56:00,,Der eingewechselte Torwart Kristian Sæverås (SC DHfK Leipzig) steht nun zwischen den Pfosten.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:53:00,26:29:00,"Tor von der 7-Meter Linie von Fabian Huesmann (ASV Hamm-Westfalen), neuer Spielstand 26:29.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:04:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:18:00,,Vladimir Bozic (ASV Hamm-Westfalen) mit einer Parade.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:35:00,25:29:00,Fabian Huesmann (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 25:29.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:39:00,24:29:00,"Neuer Spielstand in Hamm, 24:29 durch den Treffer von Sime Ivic für SC DHfK Leipzig.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:32:00,24:28:00,"Neuer Spielstand in Hamm, 24:28 durch den Treffer 6M von Yonatan Dayan für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:23:00,23:28,Sime Ivic (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 23:28.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:44:00,23:27,Savvas Savvas (ASV Hamm-Westfalen) trifft zum Spielstand von 23:27 in WESTPRESS arena.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:34:00,22:27,"Neuer Spielstand in Hamm, 22:27 durch den Treffer von Tim Matthes für SC DHfK Leipzig.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:43:00,,Jan Von Boenigk von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:17:00,22:26,Patrick Wiesmach (SC DHfK Leipzig) trifft von (RA). Neuer Spielstand in WESTPRESS arena: 22:26.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:31:00,25:29:00,Tor (RR/fern)! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 25:29.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:21:00,21:25,Matej Klima (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 21:25.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:09:00,,Auszeit SC DHfK Leipzig,ASV Hamm-Westfalen,SC DHfK Leipzig,0,1,0,0,0,0,0,0
43:54:00,21:24,"Neuer Spielstand in Hamm, 21:24 durch den Treffer 6M von Fabian Huesmann für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:11:00,,"Gute Torchance, aber Yonatan Dayan (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
42:58:00,,Der Wurf von SC DHfK Leipzig wurde geblockt.,ASV Hamm-Westfalen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
