Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,27:27:00,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
59:37:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,TVB Stuttgart,1,0,0,0,1,0,0,0
59:29:00,,Jan Forstbauer (TVB Stuttgart) scheitert am Torwart Felix Hertlein (ASV Hamm-Westfalen).,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
59:17:00,,Auszeit TVB Stuttgart,ASV Hamm-Westfalen,TVB Stuttgart,0,1,0,0,1,0,0,0
59:15:00,,2-Minuten-Strafe für Stefan Bauer. ASV Hamm-Westfalen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,1
58:40:00,,"Fabian Huesmann (LA) wirft, jedoch neben das Tor.",ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
58:30:00,26:27:00,Tor! Jonas Truchanovicius (TVB Stuttgart) netzt ein zum neuen Spielstand von 26:27.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
58:26:00,26:26:00,Tor (6M)! Patrick Zieker (TVB Stuttgart) netzt ein zum neuen Spielstand von 26:26.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
57:16:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
56:22:00,26:25:00,"Neuer Spielstand in Hamm, 26:25 durch den Treffer 6M von Jonas Truchanovicius für TVB Stuttgart.",ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
56:07:00,26:24:00,Yonatan Dayan (ASV Hamm-Westfalen) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 26:24.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
55:32:00,25:24:00,Fynn-Luca Nicolaus (TVB Stuttgart) trifft zum Spielstand von 25:24 in WESTPRESS arena.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
55:05:00,,Parade von Torwart Miljan Vujovic (TVB Stuttgart).,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
54:33:00,25:23:00,Max Häfner (TVB Stuttgart) trifft von (RL/fern). Neuer Spielstand in WESTPRESS arena: 25:23.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
54:01:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
53:45:00,,Der Wurf von Mait Patrail (ASV Hamm-Westfalen) landet hinter dem Tor.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,0,0,0,0
53:01:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
52:46:00,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein pariert den Wurf.",ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
52:18:00,25:22:00,Fabian Huesmann (ASV Hamm-Westfalen) überwindet den Torwart von (LA) zum neuen Spielstand von 25:22.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
51:33:00,24:22:00,Tor! Samuel Röthlisberger (TVB Stuttgart) netzt ein zum neuen Spielstand von 24:22.,ASV Hamm-Westfalen,TVB Stuttgart,0,0,0,0,1,0,0,0
