Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:46:00,,Lukas Blohme von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
59:30:00,,Auszeit VfL Gummersbach,ASV Hamm-Westfalen,VfL Gummersbach,0,1,0,0,0,0,0,0
59:11:00,,Auszeit ASV Hamm-Westfalen,ASV Hamm-Westfalen,VfL Gummersbach,1,0,0,0,0,0,0,0
58:47:00,22:21,"Neuer Spielstand in Hamm, 22:21 durch den Treffer von Yonatan Dayan für ASV Hamm-Westfalen.",ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
58:47:00,21:21,"Neuer Spielstand in Hamm, 21:21 durch den Treffer 6M von Tilen Kodrin für VfL Gummersbach.",ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
58:40:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Jan Von Boenigk.,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
58:28:00,,Der Wurfversuch von Savvas Savvas (ASV Hamm-Westfalen) wurde durch einen Block von Stepan Zeman verhindert.,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
57:26:00,21:20,Lukas Blohme (VfL Gummersbach) trifft von (RA). Neuer Spielstand in WESTPRESS arena: 21:20.,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:56:00,,Siebter Spieler eingewechselt VfL Gummersbach,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,1,0,0,0,0
56:43:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic pariert den Wurf.",ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:00:00,,Der eingewechselte Torwart Felix Hertlein (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
55:37:00,,"Parade von Vladimir Bozic, Hakon Dadi Styrmisson vergibt von der 7-Meter Linie!",ASV Hamm-Westfalen,VfL Gummersbach,0,0,0,0,0,0,0,0
