Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,28:26:00,"Neuer Spielstand in Solingen, 28:26 durch den Treffer RA von Arnor Thor Gunnarsson für Bergischer HC.",Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:31:00,,Auszeit Bergischer HC,Bergischer HC,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
59:11:00,27:26:00,Tor (6M)! Kresimir Kozina (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 27:26.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:49:00,27:25:00,Noah Beyer (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 27:25.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:02:00,,Torwartwechsel bei FRISCH AUF! Göppingen. Daniel Rebmann kommt für Marin Sego.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:49:00,26:25:00,Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:48:00,,"Der Trainer von FRISCH AUF! Göppingen, Hartmut Mayerhoffer stellt nun Marin Sego zwischen die Pfosten.",Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:46:00,,Es gibt Gelb für Hartmut Mayerhoffer (FRISCH AUF! Göppingen) von Dorff/Dorff.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:03:00,25:25:00,Tim Kneule (FRISCH AUF! Göppingen) trifft von (RM/fern). Neuer Spielstand in Klingenhalle Solingen: 25:25.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:30:00,25:24:00,Frederik Ladefoged (Bergischer HC) trifft zum Spielstand von 25:24 in Klingenhalle Solingen.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:54:00,,Fehlwurf von David Schmidt (FRISCH AUF! Göppingen).,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:03:00,24:24:00,Djibril M'Bengue (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 24:24.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:55:00,23:24,Tor! Josip Sarac (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23:24.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:16:00,,Nun wird Daniel Rebmann für FRISCH AUF! Göppingen im Tor stehen.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:03:00,23:23,Linus Arnesson (Bergischer HC) trifft von der 7-Meter Linie und bringt den Spielstand auf 23:23.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:00:00,,FRISCH AUF! Göppingen wechselt den Torwart. Marin Sego kommt für Daniel Rebmann.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:42:00,,Tobias Ellebaek (FRISCH AUF! Göppingen) scheitert am Torwart Christopher Rudeck (Bergischer HC).,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:09:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
53:04:00,22:23,Frederik Ladefoged (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 22:23.,Bergischer HC,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
