Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Jonas Schelker (HSG Wetzlar) trifft nur den Pfosten.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
59:33:00,,Siebter Spieler eingewechselt HSG Wetzlar,Bergischer HC,HSG Wetzlar,0,0,0,1,0,0,0,0
59:18:00,24:23:00,Tomas Babak (Bergischer HC) trifft zum Spielstand von 24:23 in Uni-Halle.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
58:44:00,,Auszeit Bergischer HC,Bergischer HC,HSG Wetzlar,1,0,0,0,0,0,0,0
58:28:00,23:23,Lenny Rubin (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Uni-Halle: 23:23.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
58:20:00,,"Linus Arnesson (RM/fern) wirft, jedoch neben das Tor.",Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
57:54:00,23:22,Tor! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 23:22.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
57:35:00,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Noah Beyer.",Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
57:29:00,,Hendrik Wagner von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,0,0,0
57:25:00,,Auszeit HSG Wetzlar,Bergischer HC,HSG Wetzlar,0,1,0,0,0,0,0,0
57:25:00,,Zeitstrafe vorbei HSG Wetzlar,Bergischer HC,HSG Wetzlar,0,0,0,0,0,1,0,0
56:25:00,23:21,Isak Persson (Bergischer HC) trifft von (6M). Neuer Spielstand in Uni-Halle: 23:21.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,1,0,0
56:21:00,,"Lenny Rubin wirft auf das Tor, trifft aber nur den Pfosten.",Bergischer HC,HSG Wetzlar,0,0,0,0,0,1,0,0
55:36:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,HSG Wetzlar,0,0,0,0,1,1,0,0
55:34:00,,Siebter Spieler eingewechselt HSG Wetzlar,Bergischer HC,HSG Wetzlar,0,0,0,1,1,1,0,0
55:27:00,22:21,Tom Kare Nikolaisen (Bergischer HC) trifft zum Spielstand von 22:21 in Uni-Halle.,Bergischer HC,HSG Wetzlar,0,0,0,0,1,1,0,0
55:05:00,,Erik Schmidt (HSG Wetzlar) wird für die verbleibende Spielzeit dieses Spiels disqualifiziert und muss das Spielfeld umgehend verlassen!,Bergischer HC,HSG Wetzlar,0,0,0,0,1,1,0,1
55:05:00,,Erik Schmidt geht den Gegner zu stark an. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,HSG Wetzlar,0,0,0,0,0,1,1,0
54:47:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,HSG Wetzlar,0,0,0,0,1,0,0,0
54:18:00,21:21,Tor (RM/fern)! Jonas Schelker (HSG Wetzlar) netzt ein zum neuen Spielstand von 21:21.,Bergischer HC,HSG Wetzlar,0,0,0,0,1,1,0,0
