Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:45:00,22:23,"Neuer Spielstand in Solingen, 22:23 durch den Treffer von Arnor Thor Gunnarsson für Bergischer HC.",Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:20:00,,Marian Michalczik von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:12:00,,Auszeit Hannover-Burgdorf,Bergischer HC,Hannover-Burgdorf,0,1,0,0,0,0,0,0
58:48:00,,Lukas Stutzke von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:09:00,,Marian Michalczik von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:39:00,21:23,Tor! Arnor Thor Gunnarsson (Bergischer HC) netzt ein zum neuen Spielstand von 21:23.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:26:00,20:23,Veit Mävers (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in Klingenhalle Solingen: 20:23.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:15:00,,Parade von Torwart Christopher Rudeck (Bergischer HC).,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:32:00,,Der Wurf von Bergischer HC wurde geblockt.,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:11:00,,Auszeit Bergischer HC,Bergischer HC,Hannover-Burgdorf,1,0,0,0,0,0,0,0
55:53:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Ilija Brozovic kann den Ball nicht im Tor unterbringen!,Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:16:00,,"Lukas Stutzke (RL/fern) wirft, jedoch neben das Tor.",Bergischer HC,Hannover-Burgdorf,0,0,0,0,0,0,0,0
