Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:46:00,28:27:00,Timo Kastening (MT Melsungen) trifft von der 7-Meter Linie.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
59:39:00,,Auszeit MT Melsungen,Bergischer HC,MT Melsungen,0,1,0,0,0,0,0,0
59:32:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
59:23:00,,Frederik Ladefoged von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
58:22:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
28:26:00,28:26:00,Tor! Lukas Stutzke (Bergischer HC) netzt ein zum neuen Spielstand von 28:26.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
57:56:00,,Auszeit Bergischer HC,Bergischer HC,MT Melsungen,1,0,0,0,0,0,0,0
57:32:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
57:16:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
57:01:00,,Frederik Ladefoged von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
56:31:00,27:25:00,Timo Kastening (MT Melsungen) trifft von der 7-Meter Linie und bringt den Spielstand auf 27:25.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
56:00:00,,Der Wurf von MT Melsungen wurde geblockt.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
55:30:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
54:36:00,27:24:00,Elvar Örn Jonsson (MT Melsungen) trifft von (6M). Neuer Spielstand in Uni-Halle: 27:24.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
54:25:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
54:14:00,,Adam Morawski (MT Melsungen) mit einer Parade.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
53:47:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Alexander Weck.",Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
53:13:00,27:23:00,Kai Häfner (MT Melsungen) trifft zum Spielstand von 27:23 in Uni-Halle.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
52:53:00,,Siebter Spieler eingewechselt MT Melsungen,Bergischer HC,MT Melsungen,0,0,0,1,0,0,0,0
52:31:00,27:22:00,Tom Kare Nikolaisen (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 27:22.,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
52:28:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
51:48:00,,"Gute Torchance, aber David Mandic (MT Melsungen) kann diese nicht erfolgreich verwandeln.",Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
26:22:00,26:22:00,"Neuer Spielstand in Wuppertal, 26:22 durch den Treffer von Linus Arnesson für Bergischer HC.",Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
50:33:00,,Überragende Parade des Torwarts Adam Morawski (MT Melsungen)! Lukas Stutzke kann den Ball nicht im Tor unterbringen!,Bergischer HC,MT Melsungen,0,0,0,0,0,0,0,0
