,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,Auszeit Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,1,0,0,0,0,1,0,0
2,59:59:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,1,0,0
3,59:58:00,26:27:00,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft zum Spielstand von 26:27 in Mitsubishi Electric Halle.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
4,59:49:00,,Auszeit Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,1,0,0,0,1,0,0
5,59:49:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
6,59:41:00,26:26:00,Linus Arnesson (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 26:26.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
7,59:05:00,,"Nach einem harten Foul hat Halil Jaganjac (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
8,58:21:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
9,58:10:00,,Benjamin Helander (Rhein-Neckar Löwen) trifft nur den Pfosten.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
10,57:22:00,25:26:00,Tor (6M)! Lukas Stutzke (Bergischer HC) netzt ein zum neuen Spielstand von 25:26.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
11,56:56:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
12,56:44:00,24:26:00,Tor! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 24:26.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
13,56:19:00,24:25:00,"Neuer Spielstand in Düsseldorf, 24:25 durch den Treffer von Tim Nothdurft für Bergischer HC.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
14,56:00:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
15,55:48:00,23:25,"Neuer Spielstand in Düsseldorf, 23:25 durch den Treffer 6M von Jannik Kohlbacher für Rhein-Neckar Löwen.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
16,55:15:00,23:24,Lukas Stutzke (Bergischer HC) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 23:24.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
17,54:58:00,,Auszeit Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
18,54:58:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
19,54:53:00,,Peter Johannesson (Bergischer HC) mit einer Parade beim 7-Meter.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
20,53:45:00,,Lukas Stutzke von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
21,53:14:00,22:24,Niclas Kirkelokke (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 22:24.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
22,52:49:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,0,0,0
23,52:37:00,,Parade von Torwart Mikael Appelgren (Rhein-Neckar Löwen).,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
24,52:05:00,22:23,Jannik Kohlbacher (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 22:23.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
25,52:02:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,0,0,0
26,51:50:00,22:22,"Neuer Spielstand in Düsseldorf, 22:22 durch den Treffer von Lukas Stutzke für Bergischer HC.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
27,51:16:00,21:22,Patrick Groetzki (Rhein-Neckar Löwen) trifft von (RA). Neuer Spielstand in Mitsubishi Electric Halle: 21:22.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
28,50:37:00,,Auszeit Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
29,50:37:00,,Nun wird Mikael Appelgren für Rhein-Neckar Löwen im Tor stehen.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
30,50:29:00,21:21,"Neuer Spielstand in Düsseldorf, 21:21 durch den Treffer 6M von Tomas Babak für Bergischer HC.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
31,49:49:00,20:21,Halil Jaganjac (Rhein-Neckar Löwen) trifft zum Spielstand von 20:21 in Mitsubishi Electric Halle.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
32,49:36:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
33,49:25:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
34,49:14:00,20:20,Tim Nothdurft (Bergischer HC) überwindet den Torwart von (LA) zum neuen Spielstand von 20:20.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
35,48:58:00,,Torwartwechsel bei Rhein-Neckar Löwen. Joel Birlehm kommt für Mikael Appelgren.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
36,48:49:00,,Peter Johannesson (Bergischer HC) mit einer Parade.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
37,47:49:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
38,47:40:00,,Linus Arnesson von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
39,47:39:00,,"Der Towart von Rhein-Neckar Löwen, Mikael Appelgren pariert den gegebenen 7-Meter.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
40,47:34:00,,Rhein-Neckar Löwen wechselt den Torwart. Mikael Appelgren kommt für Joel Birlehm.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
41,47:34:00,,2-Minuten-Strafe für Jannik Kohlbacher. Rhein-Neckar Löwen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,1,0
42,46:30:00,,Rhein-Neckar Löwen wechselt den Torwart. Joel Birlehm kommt für Mikael Appelgren.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
43,46:16:00,19:20,Der 7-Meter wurde von Linus Arnesson (Bergischer HC) erfolgreich verwandelt.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
44,46:14:00,,Der eingewechselte Torwart Mikael Appelgren (Rhein-Neckar Löwen) steht nun zwischen den Pfosten.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
45,45:39:00,18:20,Tor (6M)! Albin Lagergren (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 18:20.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
46,45:06:00,,Zeitstrafe vorbei Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
47,45:02:00,,"Torwurf von Tim Nothdurft (Bergischer HC), aber der Ball trifft nur die Latte.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
48,44:48:00,,Olle Forsell Schefvert blockt den Wurf von Tomas Babak.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
49,44:37:00,,Nun wird Peter Johannesson für Bergischer HC im Tor stehen.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
50,44:35:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Rhein-Neckar Löwen,0,0,1,0,0,1,0,0
51,44:24:00,18:19,"Tor von der 7-Meter Linie von Juri Knorr (Rhein-Neckar Löwen), neuer Spielstand 18:19.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
52,44:20:00,,Torwartwechsel bei Bergischer HC. Christopher Rudeck kommt für Peter Johannesson.,Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
53,43:31:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen,Bergischer HC,Rhein-Neckar Löwen,0,0,0,1,0,1,0,0
54,43:24:00,,"Parade des Torwarts von Rhein-Neckar Löwen, Joel Birlehm.",Bergischer HC,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
