Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:46:00,34:38:00,Noah Beyer (Bergischer HC) trifft zum Spielstand von 34:38 in Mitsubishi Electric Halle.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
59:35:00,33:38:00,"Neuer Spielstand in Düsseldorf, 33:38 durch den Treffer 6M von Michael Damgaard für SC Magdeburg.",Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
59:10:00,,Noah Beyer von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
59:05:00,33:37:00,Michael Damgaard (SC Magdeburg) tankt sich durch und trifft!,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
58:52:00,,Der Wurfversuch von Michael Damgaard (SC Magdeburg) wurde durch einen Block von Linus Arnesson verhindert.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
58:13:00,,Der Wurf von Elias Scholtes (Bergischer HC) landet hinter dem Tor.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
57:43:00,,Michael Damgaard von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
57:07:00,33:36:00,Elias Scholtes (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 33:36.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
56:51:00,32:36:00,Michael Damgaard (SC Magdeburg) trifft zum Spielstand von 32:36 in Mitsubishi Electric Halle.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
56:32:00,,"Der Trainer von SC Magdeburg, Bennet Wiegert stellt nun Mike Jensen zwischen die Pfosten.",Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
56:22:00,32:35:00,Tor (RR/fern)! Elias Scholtes (Bergischer HC) netzt ein zum neuen Spielstand von 32:35.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
55:59:00,31:35:00,"Tor von der 7-Meter Linie von Kay Smits (SC Magdeburg), neuer Spielstand 31:35.",Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
54:38:00,31:34:00,"Neuer Spielstand in Düsseldorf, 31:34 durch den Treffer LA von Noah Beyer für Bergischer HC.",Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
54:17:00,,Auszeit Bergischer HC,Bergischer HC,SC Magdeburg,1,0,0,0,0,0,0,0
54:01:00,,Kay Smits (SC Magdeburg) tankt sich durch und trifft!,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
52:35:00,,Alexander Weck von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,SC Magdeburg,0,0,0,0,0,0,0,0
51:48:00,,Auszeit SC Magdeburg,Bergischer HC,SC Magdeburg,0,1,0,0,0,0,0,0
