Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Benjamin Buric.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:52:00,,Der Wurf von Simon Hald Jensen (SG Flensburg-Handewitt) landet hinter dem Tor.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:02:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:27:00,18:31,Tor (6M)! Frederik Ladefoged (Bergischer HC) netzt ein zum neuen Spielstand von 18:31.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:43:00,17:31,"Neuer Spielstand in Düsseldorf, 17:31 durch den Treffer RM/fern von Franz Semper für SG Flensburg-Handewitt.",Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:36:00,17:30,Frederik Ladefoged (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 17:30.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:05:00,16:30,Franz Semper (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in PSD Bank Dome: 16:30.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:45:00,,Der Wurf von SG Flensburg-Handewitt wurde geblockt.,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:10:00,,Isak Persson (Bergischer HC) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:21:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
