Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:19:00,32:28:00,"Neuer Spielstand in Solingen, 32:28 durch den Treffer RM/fern von Simen Schönningsen für Bergischer HC.",Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:28:00,,Auszeit Bergischer HC,Bergischer HC,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
58:22:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
58:16:00,,Gedeon Guardiola (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 31:28.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
57:58:00,31:27:00,Yannick Fraatz (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 31:27.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
57:32:00,,Parade von Torwart Christopher Rudeck (Bergischer HC).,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
57:06:00,30:27:00,Linus Arnesson (Bergischer HC) trifft von (RR/fern). Neuer Spielstand in Klingenhalle Solingen: 30:27.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
56:19:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
56:19:00,,Frederik Ladefoged (Bergischer HC) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
56:19:00,29:27:00,Tor! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 29:27.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:03:00,,Simen Schönningsen (Bergischer HC) trifft nur den Pfosten.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:20:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:13:00,,Frederik Ladefoged von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:48:00,,Bergischer HC wechselt den Torwart. Christopher Rudeck kommt für Peter Johannesson.,Bergischer HC,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
