Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:55:00,,"Neuer Spielstand in Wuppertal, 34:24 durch den Treffer 6M von Elias Scholtes für Bergischer HC.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:38:00,,Der eingewechselte Torwart Christopher Rudeck (Bergischer HC) steht nun zwischen den Pfosten.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:19:00,,Fabian Huesmann (ASV Hamm-Westfalen) vergibt den 7-Meter.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:18:00,,Nun wird Peter Johannesson für Bergischer HC im Tor stehen.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:35:00,,Tom Kare Nikolaisen (Bergischer HC) trifft von (6M). Neuer Spielstand in Uni-Halle: 33:24.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:28:00,32:24:00,Tor (6M)! Benjamin Meschke (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 32:24.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:01:00,,Isak Persson (Bergischer HC) trifft nur den Pfosten.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:50:00,32:23:00,Savvas Savvas (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 32:23.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:14:00,,"Wurf von Alexander Weck (Bergischer HC), aber der Ball landet nur am Pfosten.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:41:00,32:22:00,Benjamin Meschke (ASV Hamm-Westfalen) trifft zum Spielstand von 32:22 in Uni-Halle.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:47:00,32:21:00,Paul Giesselmann (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 32:21.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:16:00,,Fehlwurf von Savvas Savvas (ASV Hamm-Westfalen).,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:01:00,,Tom Kare Nikolaisen (Bergischer HC) trifft von (6M). Neuer Spielstand in Uni-Halle: 31:21.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:32:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
53:56:00,,Zeitstrafe vorbei Bergischer HC.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
53:34:00,30:20:00,"Neuer Spielstand in Wuppertal, 30:20 durch den Treffer von Linus Arnesson für Bergischer HC.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
52:43:00,,Benjamin Meschke (ASV Hamm-Westfalen) trifft zum Spielstand von 29:20 in Uni-Halle.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
52:39:00,,Parade von Torwart Felix Hertlein (ASV Hamm-Westfalen).,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
52:08:00,,Siebter Spieler eingewechselt Bergischer HC.,Bergischer HC,ASV Hamm-Westfalen,0,0,1,0,1,0,0,0
52:01:00,,Yonatan Dayan von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
51:53:00,29:19:00,"Neuer Spielstand in Wuppertal, 29:19 durch den Treffer 6M von Djibril M'Bengue für Bergischer HC.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
51:06:00,,Tor! Benjamin Meschke (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 28:19.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
50:56:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,1,1,0,0,0
50:54:00,,"Nach einem harten Foul hat Elias Scholtes (Bergischer HC) nun zwei Minuten Zeit, um sich auszuruhen.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
50:48:00,,"Gute Torchance, aber Tom Kare Nikolaisen (Bergischer HC) kann diese nicht erfolgreich verwandeln.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:30:00,,Der Wurf von Bergischer HC wurde geblockt.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:57:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Yonatan Dayan kann den Ball nicht im Tor unterbringen!,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:49:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
49:44:00,,Christopher Rudeck (Bergischer HC) scheitert am Torwart Felix Hertlein (ASV Hamm-Westfalen).,Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:23:00,,Auszeit ASV Hamm-Westfalen.,Bergischer HC,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
49:15:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen.,Bergischer HC,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
48:58:00,,"Neuer Spielstand in Wuppertal, 28:18 durch den Treffer 6M von Lukas Stutzke für Bergischer HC.",Bergischer HC,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
