Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Tor für Bergischer HC durch Isak Persson nach einem Pass von Tomas Babak.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
59:46:00,33:30:00,Mathias Gidsel (Füchse Berlin) trifft zum Spielstand von 33:30 in Mitsubishi Electric Halle.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
59:38:00,,2-Minuten-Strafe für Tom Kare Nikolaisen. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,1
59:35:00,,Zeitstrafe vorbei Füchse Berlin,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
59:28:00,33:29:00,Tor (6M)! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 33:29.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
59:03:00,32:29:00,Robert Weber (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 32:29.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
58:58:00,,Elias Scholtes von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
58:17:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
58:02:00,,Siebter Spieler eingewechselt Füchse Berlin,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
57:56:00,,Frederik Ladefoged von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
57:52:00,,Frederik Ladefoged (Bergischer HC) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
57:29:00,,Lasse Bredekjaer Andersson (Füchse Berlin) erhält eine 2 Minuten Strafe.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,1,0
57:07:00,,Auszeit Bergischer HC,Bergischer HC,Füchse Berlin,1,0,0,0,0,0,0,0
56:54:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Mathias Gidsel.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
56:37:00,32:28:00,Zeitstrafe vorbei Füchse Berlin,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
55:06:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Tim Freihöfer.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
54:47:00,,Siebter Spieler eingewechselt Füchse Berlin,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
54:32:00,,"Chance für Elias Scholtes (Bergischer HC), er trifft aber nur den Pfosten.",Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
54:25:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,Füchse Berlin,0,0,0,0,1,1,0,0
54:12:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Füchse Berlin,0,0,1,0,1,1,0,0
54:04:00,32:27:00,Tor! Max Darj (Füchse Berlin) netzt ein zum neuen Spielstand von 32:27.,Bergischer HC,Füchse Berlin,0,0,0,0,1,1,0,0
53:52:00,,Siebter Spieler eingewechselt Füchse Berlin,Bergischer HC,Füchse Berlin,0,0,0,1,1,1,0,0
53:17:00,,Linus Arnesson vergibt den Strafwurf für Bergischer HC.,Bergischer HC,Füchse Berlin,0,0,0,0,1,1,0,0
53:09:00,,Mijajlo Marsenic geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,Füchse Berlin,0,0,0,0,1,1,1,0
53:05:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Füchse Berlin,0,0,1,0,1,0,0,0
52:37:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
52:22:00,,Nun wird Dejan Milosavljev für Füchse Berlin im Tor stehen.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
52:12:00,,Frederik Ladefoged geht den Gegner zu stark an. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,1
52:01:00,32:27:00,Tomas Babak (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Mitsubishi Electric Halle: 32:27.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
51:07:00,31:27:00,Mathias Gidsel (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 31:27.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
50:43:00,,Auszeit Bergischer HC,Bergischer HC,Füchse Berlin,1,0,0,0,0,0,0,0
50:36:00,31:26:00,Tor (RM/fern)! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 31:26.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
49:20:00,31:25:00,Elias Scholtes (Bergischer HC) durchbricht die Abwehr und trifft zum 31:25.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
48:35:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
48:29:00,30:25:00,Fabian Wiede (Füchse Berlin) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 30:25.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
48:04:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Füchse Berlin,0,0,1,0,1,0,0,0
47:50:00,30:24:00,"Neuer Spielstand in Düsseldorf, 30:24 durch den Treffer von Mathias Gidsel für Füchse Berlin.",Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
47:43:00,,Isak Persson (Bergischer HC) überwindet den Torwart von (RA) zum neuen Spielstand von 30:23.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
47:15:00,,Tor! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 29:23.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
47:01:00,,"Neuer Spielstand in Düsseldorf, 29:22 durch den Treffer RM/fern von Elias Scholtes für Bergischer HC.",Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
46:31:00,,Siebter Spieler eingewechselt Bergischer HC.,Bergischer HC,Füchse Berlin,0,0,1,0,1,0,0,0
46:31:00,,Tim Nothdurft (Bergischer HC) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,1
46:31:00,28:22:00,Mathias Gidsel (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 28:22.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
46:31:00,,Isak Persson (Bergischer HC) trifft die Latte.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
45:52:00,,Jacob Holm (Füchse Berlin) trifft nur den Pfosten.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
44:34:00,,Auszeit Füchse Berlin.,Bergischer HC,Füchse Berlin,0,1,0,0,0,0,0,0
44:19:00,28:21:00,Tom Kare Nikolaisen (Bergischer HC) trifft im Tempogegenstoß zum neuen Spielstand von 28:21.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
44:06:00,,Parade von Torwart Lasse Ludwig (Füchse Berlin).,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
43:35:00,27:21:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 27:21 in Mitsubishi Electric Halle.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
42:51:00,,Überragende Parade des Torwarts Lasse Ludwig (Füchse Berlin)! Alexander Weck kann den Ball nicht im Tor unterbringen!,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
42:15:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
41:58:00,,Zeitstrafe vorbei Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
41:48:00,,Siebter Spieler eingewechselt Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
41:39:00,27:20:00,"Neuer Spielstand in Düsseldorf, 27:20 durch den Treffer von Tim Nothdurft für Bergischer HC.",Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
41:17:00,26:20:00,"Tor von der 7-Meter Linie von Robert Weber (Füchse Berlin), neuer Spielstand 26:20.",Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
41:08:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
40:54:00,,Kern/Kuschel verwarnen Jamal Naji (Bergischer HC) mit einer Gelben Karte.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
40:28:00,,Siebter Spieler eingewechselt Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
40:18:00,26:19:00,Isak Persson (Bergischer HC) überwindet den Torwart von (RA) zum neuen Spielstand von 26:19.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
39:56:00,,2-Minuten-Strafe für Max Darj. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,1,0
39:48:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Lasse Bredekjaer Andersson.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
39:38:00,25:19:00,Tim Nothdurft (Bergischer HC) trifft zum Spielstand von 25:19 in Mitsubishi Electric Halle.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
38:30:00,24:19:00,Tomas Babak (Bergischer HC) tankt sich durch und trifft!,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
37:57:00,23:19,Gegenstoßtreffer von Robert Weber (Füchse Berlin). Neuer Spielstand: 23:19.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
37:19:00,23:18,"Neuer Spielstand in Düsseldorf, 23:18 durch den Treffer 6M von Max Darj für Füchse Berlin.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
36:56:00,,Zeitstrafe vorbei Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
36:43:00,,Siebter Spieler eingewechselt Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
36:33:00,23:17,Tor! Tim Nothdurft (Bergischer HC) netzt ein zum neuen Spielstand von 23:17.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
36:26:00,22:17,Tor (6M)! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 22:17.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
36:01:00,,Siebter Spieler eingewechselt Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,1,0,1,0,0
35:49:00,22:16,Arnor Thor Gunnarsson (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 22:16.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
35:41:00,,"Der Torwart von Bergischer HC, Christopher Rudeck pariert den Wurf.",Bergischer HC,Füchse Berlin,0,0,0,0,0,1,0,0
34:54:00,,Mijajlo Marsenic (Füchse Berlin) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Bergischer HC,Füchse Berlin,0,0,0,0,0,1,1,0
34:51:00,21:16,Tim Nothdurft (Bergischer HC) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 21:16.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
34:45:00,,Siebter Spieler eingewechselt Füchse Berlin.,Bergischer HC,Füchse Berlin,0,0,0,1,0,0,0,0
34:33:00,20:16,"Neuer Spielstand in Düsseldorf, 20:16 durch den Treffer 6M von Elias Scholtes für Bergischer HC.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
34:14:00,,Zeitstrafe vorbei Bergischer HC.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
34:13:00,,Siebter Spieler eingewechselt Bergischer HC.,Bergischer HC,Füchse Berlin,0,0,1,0,1,0,0,0
34:02:00,19:16,"Neuer Spielstand in Düsseldorf, 19:16 durch den Treffer von Tim Freihöfer für Füchse Berlin.",Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
33:44:00,,19:15 Noah Beyer (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 19:15.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
33:22:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,Füchse Berlin,0,0,1,0,1,0,0,0
33:11:00,18:15,Der 7-Meter wurde von Robert Weber (Füchse Berlin) erfolgreich verwandelt.,Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,0
32:12:00,,"Nach einem harten Foul hat Frederik Ladefoged (Bergischer HC) nun zwei Minuten Zeit, um sich auszuruhen.",Bergischer HC,Füchse Berlin,0,0,0,0,1,0,0,1
32:02:00,18:14,Frederik Ladefoged (Bergischer HC) trifft zum Spielstand von 18:14 in Mitsubishi Electric Halle.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
31:32:00,17:14,Tor! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 17:14.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
31:19:00,,17:13 Frederik Ladefoged (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 17:13.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
30:50:00,16:13,Robert Weber (Füchse Berlin) trifft von der 7-Meter Linie und bringt den Spielstand auf 16:13.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
30:29:00,,16:12 Tor (6M)! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 16:12.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
,15:12,HALBZEIT (15:12),Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
29:51:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Lasse Bredekjaer Andersson.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
29:25:00,14:12,Linus Arnesson (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Mitsubishi Electric Halle: 15:12.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
29:20:00,14:12,Tim Freihöfer (Füchse Berlin) überwindet den Torwart von (LA) zum neuen Spielstand von 14:12.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
28:28:00,,"Block von Marko Kopljar, der den Torwurf von Elias Scholtes verhindert.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
28:22:00,,Tim Freihöfer (Füchse Berlin) scheitert am Torwart Christopher Rudeck (Bergischer HC).,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
28:12:00,,Der Wurfversuch von Alexander Weck (Bergischer HC) wurde durch einen Block von Marko Kopljar verhindert.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
27:21:00,,"Gute Torchance, aber Lasse Bredekjaer Andersson (Füchse Berlin) kann diese nicht erfolgreich verwandeln.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
27:02:00,,"Block von Frederik Ladefoged, der den Torwurf von Lasse Bredekjaer Andersson verhindert.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
26:29:00,,"Der Towart von Bergischer HC, Christopher Rudeck pariert den gegebenen 7-Meter.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
25:30:00,14:11,"Neuer Spielstand in Düsseldorf, 14:11 durch den Treffer von Elias Scholtes für Bergischer HC.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
24:59:00,,Nils Lichtlein von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
24:33:00,,Der Wurf von Bergischer HC wurde geblockt.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
23:23,13:11,Tor (RM/fern)! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 13:11.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
23:02,,Tom Kare Nikolaisen blockt den Wurf von Fabian Wiede.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
22:31,,Auszeit Füchse Berlin,Bergischer HC,Füchse Berlin,0,1,0,0,0,0,0,0
22:22,13:10,13:10 Tim Nothdurft (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 13:10.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
22:07,,Parade von Torwart Christopher Rudeck (Bergischer HC).,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
21:46,12:10,"Neuer Spielstand in Düsseldorf, 12:10 durch den Treffer 6M von Frederik Ladefoged für Bergischer HC.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
21:04,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
20:57,11:10,Alexander Weck (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Mitsubishi Electric Halle: 11:10.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
20:27,10:10,Tor! Tim Freihöfer (Füchse Berlin) netzt ein zum neuen Spielstand von 10:10.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
19:38,,Auszeit Bergischer HC,Bergischer HC,Füchse Berlin,1,0,0,0,0,0,0,0
18:37,10:09,Max Darj (Füchse Berlin) trifft zum Spielstand von 10:9 in Mitsubishi Electric Halle.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
17:47,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
16:56,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Mijajlo Marsenic kann den Ball nicht im Tor unterbringen!,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
16:08,10:08,Tor (6M)! Frederik Ladefoged (Bergischer HC) netzt ein zum neuen Spielstand von 10:8.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
15:59,,"Wurf von Hans Lindberg (Füchse Berlin), aber der Ball landet nur am Pfosten.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
15:01,9:08,Arnor Thor Gunnarsson (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 9:8.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
14:27,8:08,Jacob Holm (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 8:8.,Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
14:11,,Auszeit Füchse Berlin,Bergischer HC,Füchse Berlin,0,1,0,0,0,0,0,0
13:54,,"Torwurf von Lukas Stutzke (Bergischer HC), aber der Ball trifft nur die Latte.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
13:23,8:07,"Neuer Spielstand in Düsseldorf, 8:7 durch den Treffer LA von Tim Freihöfer für Füchse Berlin.",Bergischer HC,Füchse Berlin,0,0,0,0,0,0,0,0
