Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:40:00,29:30:00,Tor! Arnor Thor Gunnarsson (Bergischer HC) netzt ein zum neuen Spielstand von 29:30.,Bergischer HC,HC Erlangen,0,0,0,0,0,1,0,0
59:24:00,,2-Minuten-Strafe für Nico Büdel. HC Erlangen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,HC Erlangen,0,0,0,0,0,1,1,0
59:14:00,,Auszeit Bergischer HC,Bergischer HC,HC Erlangen,1,0,0,0,0,0,0,0
59:14:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,HC Erlangen,0,0,1,0,0,0,0,0
59:01:00,,"Der Torwart von Bergischer HC, Christopher Rudeck pariert den Wurf.",Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
58:20:00,,Auszeit HC Erlangen,Bergischer HC,HC Erlangen,0,1,0,0,0,0,0,0
57:44:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
57:37:00,,Simon Jeppsson von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
57:09:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Linus Arnesson kann den Ball nicht im Tor unterbringen!,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
55:40:00,,Nico Büdel (HC Erlangen) trifft zum Spielstand von 28:30 in Uni-Halle.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
54:56:00,28:29:00,"Neuer Spielstand in Wuppertal, 28:29 durch den Treffer 6M von Tomas Babak für Bergischer HC.",Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
54:26:00,27:29:00,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 27:29.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
54:01:00,,Auszeit HC Erlangen,Bergischer HC,HC Erlangen,0,1,0,0,0,0,0,0
53:15:00,27:28:00,Linus Arnesson (Bergischer HC) trifft von (RM/fern). Neuer Spielstand in Uni-Halle: 27:28.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
52:44:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Christopher Bissel.",Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
52:22:00,,Siebter Spieler eingewechselt HC Erlangen,Bergischer HC,HC Erlangen,0,0,0,1,0,0,0,0
52:19:00,,Der eingewechselte Torwart Klemen Ferlin (HC Erlangen) steht nun zwischen den Pfosten.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
52:04:00,26:28:00,"Neuer Spielstand in Wuppertal, 26:28 durch den Treffer von Tom Kare Nikolaisen für Bergischer HC.",Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
51:33:00,,Tor (6M)! Hampus Olsson (HC Erlangen) netzt ein zum neuen Spielstand von 25:28.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
51:01:00,,Stephan Seitz (HC Erlangen) trifft zum Spielstand von 25:27 in Uni-Halle.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
50:22:00,25:26:00,Linus Arnesson (Bergischer HC) trifft von (6M). Neuer Spielstand in Uni-Halle: 25:26.,Bergischer HC,HC Erlangen,0,0,0,0,0,0,0,0
49:27:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,HC Erlangen,0,0,0,0,1,0,0,0
49:11:00,24:26:00,"Neuer Spielstand in Wuppertal, 24:26 durch den Treffer RM/fern von Nico Büdel für HC Erlangen.",Bergischer HC,HC Erlangen,0,0,0,0,1,0,0,0
49:08:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,HC Erlangen,0,0,1,0,1,0,0,0
49:05:00,,Bergischer HC wechselt den Torwart. Christopher Rudeck kommt für Peter Johannesson.,Bergischer HC,HC Erlangen,0,0,0,0,1,0,0,0
