Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:56:00,,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 37:34.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:41:00,,Alexander Weck (Bergischer HC) trifft zum Spielstand von 37:33 in Mitsubishi Electric Halle.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:25:00,36:33:00,Leif Tissier (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 36:33.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:17:00,,Noah Beyer von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:55:00,,"Gute Torchance, aber Leif Tissier (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:30:00,,Fehlwurf von Noah Beyer (Bergischer HC).,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:55:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:46:00,,Auszeit Handball Sport Verein Hamburg,Bergischer HC,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
57:44:00,36:32:00,Noah Beyer (Bergischer HC) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 36:32.,Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:29:00,35:32:00,"Neuer Spielstand in Düsseldorf, 35:32 durch den Treffer RM/fern von Dani Baijens für Handball Sport Verein Hamburg.",Bergischer HC,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
