Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,32:28:00,Oskar Sunnefeldt (SC DHfK Leipzig) trifft zum Spielstand von 32:28 in Mitsubishi Electric Halle.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,0
59:43:00,32:27:00,Linus Arnesson (Bergischer HC) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 32:27.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,0
59:19:00,,Überragende Parade des Torwarts Peter Johannesson (Bergischer HC)! Luca Witzke kann den Ball nicht im Tor unterbringen!,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,0
59:07:00,,"Nach einem harten Foul hat Lukas Stutzke (Bergischer HC) nun zwei Minuten Zeit, um sich auszuruhen.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,1
58:41:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,Bergischer HC,SC DHfK Leipzig,0,0,0,1,0,1,0,0
58:32:00,31:27:00,Tor (LA)! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 31:27.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,0,0
58:19:00,,Es gibt eine 2 Minuten Strafe für Maciej Gebala (SC DHfK Leipzig).,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,1,0
57:27:00,,"Gute Torchance, aber Patrick Wiesmach (SC DHfK Leipzig) kann diese nicht erfolgreich verwandeln.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:20:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:13:00,,Bergischer HC wechselt den Torwart. Peter Johannesson kommt für Christopher Rudeck.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:03:00,30:27:00,Der 7-Meter wurde von Lucas Krzikalla (SC DHfK Leipzig) erfolgreich verwandelt.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:57:00,,"Der Trainer von Bergischer HC, Jamal Naji stellt nun Christopher Rudeck zwischen die Pfosten.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:33:00,,Der Wurf von Bergischer HC wurde geblockt.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:28:00,,Auszeit Bergischer HC,Bergischer HC,SC DHfK Leipzig,1,0,0,0,0,0,0,0
55:57:00,,"Der Torwart von Bergischer HC, Peter Johannesson pariert den Wurf.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:30:00,,Der Wurfversuch von Luca Witzke (SC DHfK Leipzig) wurde durch einen Block von Tom Kare Nikolaisen verhindert.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:29:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
55:19:00,,Auszeit SC DHfK Leipzig,Bergischer HC,SC DHfK Leipzig,0,1,0,0,1,0,0,0
55:11:00,30:26:00,Noah Beyer (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 30:26.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
54:43:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,1,0,1,0,0,0
54:33:00,,"Der Torwart von Bergischer HC, Peter Johannesson hält den Wurf von Tim Matthes.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
53:57:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
53:29:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,1,0,1,0,0,0
53:28:00,,Linus Arnesson (Bergischer HC) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,1
53:26:00,29:26:00,"Neuer Spielstand in Düsseldorf, 29:26 durch den Treffer RM/fern von Niclas Heitkamp für SC DHfK Leipzig.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:20:00,,Lattenkracher von Frederik Ladefoged (Bergischer HC).,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:42:00,29:25:00,Tomas Babak (Bergischer HC) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 29:25.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:14:00,28:25:00,Tor! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 28:25.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:02:00,28:24:00,Elias Scholtes (Bergischer HC) legt den Treffer von Isak Persson auf. Es steht 28:24.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:31:00,27:24:00,Tor (6M)! Oskar Sunnefeldt (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 27:24.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:21:00,27:23:00,"Neuer Spielstand in Düsseldorf, 27:23 durch den Treffer von Linus Arnesson für Bergischer HC.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:46:00,,Luca Witzke von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:28:00,26:23:00,Tomas Babak (Bergischer HC) trifft von (6M). Neuer Spielstand in Mitsubishi Electric Halle: 26:23.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:09:00,25:23:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart von (RA) zum neuen Spielstand von 25:23.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:39:00,,Parade von Torwart Peter Johannesson (Bergischer HC).,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:01:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von Linus Arnesson.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:25:00,25:22:00,Patrick Wiesmach (SC DHfK Leipzig) trifft zum Spielstand von 25:22 in Mitsubishi Electric Halle.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:18:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:52:00,25:21:00,Niclas Heitkamp (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 25:21.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:42:00,25:20:00,Tor! Elias Scholtes (Bergischer HC) netzt ein zum neuen Spielstand von 25:20.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:32:00,24:20:00,"Neuer Spielstand in Düsseldorf, 24:20 durch den Treffer von Luca Witzke für SC DHfK Leipzig.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:40:00,,Lukas Stutzke (Bergischer HC) trifft nur den Pfosten.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:26:00,,Auszeit Bergischer HC,Bergischer HC,SC DHfK Leipzig,1,0,0,0,0,0,0,0
43:54:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
43:30:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,1,0,1,0,0,0
43:19:00,24:19:00,Tim Matthes (SC DHfK Leipzig) trifft zum Spielstand von 24:19 in Mitsubishi Electric Halle.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
43:13:00,,Kristian Sæverås (SC DHfK Leipzig) hält den Wurf von Elias Scholtes.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
42:23:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,1,0,1,0,0,0
42:09:00,,Peter Johannesson (Bergischer HC) mit einer Parade.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
41:56:00,,Zeitstrafe vorbei SC DHfK Leipzig,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,0
41:52:00,,Die Schiedsrichter Schmidt/Linker zeigen Djibril M'Bengue (Bergischer HC) die Rote Karte.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,1
41:52:00,,Djibril M'Bengue (Bergischer HC) erhält eine 2 Minuten Strafe.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,1,0,1
41:16:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,Bergischer HC,SC DHfK Leipzig,0,0,0,1,0,1,0,0
41:06:00,24:18:00,Frederik Ladefoged (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 24:18.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,0,0
40:34:00,23:18,Tor (6M)! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 23:18.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,0,0
40:12:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,Bergischer HC,SC DHfK Leipzig,0,0,0,1,0,1,0,0
39:57:00,23:17,"Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 23:17.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,0,0
39:53:00,,Der Schiedsrichter zeigt Matej Klima (SC DHfK Leipzig) die Rote Karte.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,1,1,0
39:22:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
39:09:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
39:05:00,22:17,Oskar Sunnefeldt (SC DHfK Leipzig) tankt sich durch und erzielt einen Treffer zum 22:17.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
38:53:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
38:27:00,,Schmidt/Linker verwarnen Runar Sigtryggsson (SC DHfK Leipzig) mit einer Gelben Karte.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
37:41:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,SC DHfK Leipzig,0,0,1,0,1,0,0,0
37:32:00,,Überragende Parade des Torwarts Peter Johannesson (Bergischer HC)! Tim Matthes kann den Ball nicht im Tor unterbringen!,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,0
37:19:00,,Djibril M'Bengue geht den Gegner zu stark an. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,1
37:04:00,,2-Minuten-Strafe für Frederik Ladefoged. Bergischer HC muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,SC DHfK Leipzig,0,0,0,0,1,0,0,1
36:54:00,,"Torwurf von Lukas Stutzke (Bergischer HC), aber der Ball trifft nur die Latte.",Bergischer HC,SC DHfK Leipzig,0,0,0,0,0,0,0,0
