Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,25:26:00,"Tor von der 7-Meter Linie von Daniel Fernandez Jimenez (TVB Stuttgart), neuer Spielstand 25:26.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
59:56:00,,Auszeit TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,1,0,0,0,0,0,0
59:54:00,,"Gute Torchance, aber Linus Arnesson (Bergischer HC) kann diese nicht erfolgreich verwandeln.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
59:43:00,,Der Wurfversuch von Lukas Stutzke (Bergischer HC) wurde durch einen Block von Samuel Röthlisberger verhindert.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
59:08:00,,Auszeit Bergischer HC,Bergischer HC,TVB Stuttgart,1,0,0,0,0,0,0,0
58:27:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Max Häfner.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
57:49:00,,Jan Forstbauer (TVB Stuttgart) trifft die Latte.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
57:21:00,,Überragende Parade des Torwarts Miljan Vujovic (TVB Stuttgart)! Djibril M'Bengue kann den Ball nicht im Tor unterbringen!,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
56:13:00,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
55:28:00,25:25:00,Noah Beyer (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 25:25.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
54:36:00,24:25:00,Tor! Miljan Vujovic (TVB Stuttgart) netzt ein zum neuen Spielstand von 24:25.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
54:36:00,24:23:00,Alexander Weck (Bergischer HC) trifft zum Spielstand von 24:23 in Uni-Halle.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
54:17:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
53:44:00,,"Neuer Spielstand in Wuppertal, 24:24 durch den Treffer von Jan Forstbauer für TVB Stuttgart.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
52:48:00,,Torwartwechsel bei Bergischer HC. Christopher Rudeck kommt für Peter Johannesson.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
52:42:00,23:23,Tor (6M)! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:23.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
52:21:00,,"Alexander Weck (RM/fern) wirft, jedoch neben das Tor.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
51:56:00,,Der Wurf von Adam Lönn (TVB Stuttgart) landet hinter dem Tor.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
51:45:00,23:22,Linus Arnesson (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 23:22.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
51:24:00,,Michael Schweikardt von TVB Stuttgart wurde mit der Gelben Karte von Zupanovic/Thone verwarnt.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
51:17:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic hält den Wurf von Noah Beyer.",Bergischer HC,TVB Stuttgart,0,0,0,0,0,0,0,0
50:18:00,,Zeitstrafe vorbei TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
50:13:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
49:56:00,,Fehlwurf von Jorge Serrano Villalobos (TVB Stuttgart).,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
49:40:00,,Auszeit TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,1,0,0,0,1,0,0
49:08:00,,Siebter Spieler eingewechselt TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,0,0,1,0,1,0,0
48:57:00,22:22,Tor (LA)! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 22:22.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
48:34:00,,Zeitstrafe vorbei TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
48:14:00,,Egon Hanusz (TVB Stuttgart) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,1,0
47:53:00,,Siebter Spieler eingewechselt TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,0,0,1,0,1,0,0
47:35:00,,Lukas Stutzke (Bergischer HC) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).,Bergischer HC,TVB Stuttgart,0,0,0,0,0,1,0,0
47:04:00,,Zeitstrafe vorbei Bergischer HC,Bergischer HC,TVB Stuttgart,0,0,0,0,1,1,0,0
46:57:00,,Marino Maric von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,TVB Stuttgart,0,0,0,0,1,1,0,0
46:31:00,,2-Minuten-Strafe für Fynn-Luca Nicolaus. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Bergischer HC,TVB Stuttgart,0,0,0,0,1,1,1,0
46:29:00,,Siebter Spieler eingewechselt TVB Stuttgart,Bergischer HC,TVB Stuttgart,0,0,0,1,1,0,0,0
46:28:00,21:22,Alexander Weck (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 21:22.,Bergischer HC,TVB Stuttgart,0,0,0,0,1,0,0,0
45:58:00,,"Neuer Spielstand in Wuppertal, 20:22 durch den Treffer von Daniel Fernandez Jimenez für TVB Stuttgart.",Bergischer HC,TVB Stuttgart,0,0,0,0,1,0,0,0
45:30:00,,Siebter Spieler eingewechselt Bergischer HC,Bergischer HC,TVB Stuttgart,0,0,1,0,1,0,0,0
45:19:00,,Jerome Müller von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Bergischer HC,TVB Stuttgart,0,0,0,0,1,0,0,0
