,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Malte Semisch (GWD Minden) hält den Wurf von Till Hermann.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
2,59:51:00,26:29:00,"Neuer Spielstand in Göppingen, 26:29 durch den Treffer von Luka Sebetic für GWD Minden.",FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
3,59:21:00,,Der Wurf von FRISCH AUF! Göppingen wurde geblockt.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
4,59:09:00,,"Gute Torchance, aber Luka Sebetic (GWD Minden) kann diese nicht erfolgreich verwandeln.",FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
5,58:58:00,,Zeitstrafe vorbei GWD Minden,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
6,58:47:00,,Der Wurf von David Schmidt (FRISCH AUF! Göppingen) landet hinter dem Tor.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
7,58:27:00,,Überragende Parade des Torwarts Daniel Rebmann (FRISCH AUF! Göppingen)! Tomas Urban kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
8,57:59:00,26:28:00,Kresimir Kozina (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 26:28.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
9,57:43:00,,Mohamed Amine Darmoul von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
10,57:09:00,,Kresimir Kozina von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,0,0
11,56:55:00,,Luka Sebetic (GWD Minden) erhält eine 2 Minuten Strafe.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,1,1,0
12,56:50:00,25:28:00,"Neuer Spielstand in Göppingen, 25:28 durch den Treffer 6M von Luka Sebetic für GWD Minden.",FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
13,56:39:00,,Auszeit GWD Minden,FRISCH AUF! Göppingen,GWD Minden,0,1,0,0,0,0,0,0
14,56:11:00,25:27:00,Tor! Philipp Ahouansou (GWD Minden) netzt ein zum neuen Spielstand von 24:27.,FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
15,55:31:00,,"Jaka Malus (RM/fern) wirft, jedoch neben das Tor.",FRISCH AUF! Göppingen,GWD Minden,0,0,0,0,0,0,0,0
