Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,31:25:00,Tor (6M)! Kresimir Kozina (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 31:25.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,0,0,0,0
59:33:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
59:26:00,30:25:00,Christopher Bissel (HC Erlangen) trifft zum Spielstand von 30:25 in EWS Arena.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
59:01:00,30:24:00,Tor! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 30:24.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
58:41:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,HC Erlangen,1,0,0,0,1,0,0,0
58:35:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,HC Erlangen,0,0,1,0,1,0,0,0
58:14:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
58:04:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
57:02:00,29:24:00,Sebastian Firnhaber (HC Erlangen) trifft zum Spielstand von 29:24 in EWS Arena.,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,0
56:55:00,,"Parade des Torwarts von FRISCH AUF! Göppingen, Marin Sego.",FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,1,0,0,1
55:53:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego pariert den Wurf.",FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,0,0,0,0
55:42:00,,Zeitstrafe vorbei HC Erlangen,FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,0,1,0,0
55:27:00,29:23:00,"Neuer Spielstand in Göppingen, 29:23 durch den Treffer von Marin Sego für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,0,1,0,0
55:21:00,,"Block von Blaz Blagotinsek, der den Torwurf von Antonio Metzner verhindert.",FRISCH AUF! Göppingen,HC Erlangen,0,0,0,0,0,1,0,0
