,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,"Gute Torchance, aber Casper Ulrich Mortensen (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
2,59:25:00,,Auszeit Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
3,58:53:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Johannes Bitter.",FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
4,58:41:00,,Niklas Weller blockt den Wurf von Tobias Ellebaek.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
5,58:09:00,26:26:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 26:26.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
6,57:28:00,26:25:00,"Neuer Spielstand in Göppingen, 26:25 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
7,57:20:00,,Parade von Torwart Johannes Bitter (Handball Sport Verein Hamburg).,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
8,57:11:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
9,56:50:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
10,56:42:00,,Azat Valiullin von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
11,56:05:00,26:24:00,Tobias Ellebaek (FRISCH AUF! Göppingen) trifft zum Spielstand von 26:24 in EWS Arena.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
12,55:20:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
13,55:04:00,,"Parade von Marin Sego, Casper Ulrich Mortensen vergibt von der 7-Meter Linie!",FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
14,55:01:00,,Gilberto Brito Duarte geht den Gegner zu stark an. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
15,54:30:00,25:24:00,Tobias Ellebaek (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 25:24.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
16,54:21:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
17,53:55:00,,Überragende Parade des Torwarts Marin Sego (FRISCH AUF! Göppingen)! Azat Valiullin kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
18,53:18:00,24:24:00,Der 7-Meter wurde von Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) erfolgreich verwandelt.,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
19,52:17:00,,"Dani Baijens wirft auf das Tor, trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
20,51:29:00,23:24,Tor (RL/fern)! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
