Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:33:00,33:29:00,"Neuer Spielstand in Göppingen, 33:29 durch den Treffer von Vincent Büchner für Hannover-Burgdorf.",FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:55:00,33:28:00,Ilija Brozovic (Hannover-Burgdorf) trifft zum Spielstand von 33:28 in EWS Arena.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:34:00,,Fehlwurf von Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:56:00,33:27:00,"Neuer Spielstand in Göppingen, 33:27 durch den Treffer 6M von Branko Vujovic für Hannover-Burgdorf.",FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:35:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,1,0,0,0,0
57:26:00,33:26:00,Tor (6M)! Blaz Blagotinsek (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 33:26.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
57:11:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego pariert den Wurf.",FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:26:00,32:26:00,Tor! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 33:27.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
56:03:00,31:26:00,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 31:26.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:52:00,31:25:00,"Neuer Spielstand in Göppingen, 31:25 durch den Treffer von Jon Lindenchrone Andersen für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:12:00,,Ilija Brozovic von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:09:00,,Siebter Spieler eingewechselt Hannover-Burgdorf.,FRISCH AUF! Göppingen,Hannover-Burgdorf,0,0,0,1,0,0,0,0
