,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:47:00,,"Der Torwart von MT Melsungen, Nebojsa Simic pariert den gegebenen 7-Meter.",FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
2,59:03:00,23:29,"Neuer Spielstand in Göppingen, 23:29 durch den Treffer 6M von Kai Häfner für MT Melsungen.",FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
3,58:09:00,,Valentin Abt (FRISCH AUF! Göppingen) scheitert am Torwart Nebojsa Simic (MT Melsungen).,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
4,57:13:00,23:28,Tor (6M)! Gilberto Brito Duarte (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23:28.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
5,56:21:00,22:28,Oskar Neudeck (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 22:28.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
6,55:50:00,,Siebter Spieler eingewechselt MT Melsungen,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,1,0,0,0,0
7,55:40:00,21:28,Jaka Malus (FRISCH AUF! Göppingen) trifft zum Spielstand von 21:28 in EWS Arena.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
8,55:01:00,20:28,Agustin Casado Marcelo (MT Melsungen) trifft zum Spielstand von 20:28 in EWS Arena.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
9,54:41:00,,Siebter Spieler eingewechselt MT Melsungen,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,1,0,0,0,0
10,54:28:00,,"Kresimir Kozina wirft auf das Tor, trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
11,53:36:00,,Oskar Neudeck von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
12,53:22:00,,Kai Häfner von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
13,52:53:00,20:27,"Neuer Spielstand in Göppingen, 20:27 durch den Treffer 6M von Gilberto Brito Duarte für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
14,52:46:00,19:27,André Gomes (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 19:27.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
15,51:45:00,,Wurfversuch von Jaka Malus (FRISCH AUF! Göppingen) aber der Ball landet an der Latte.,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
16,51:20:00,,"Chance für Jaka Malus (FRISCH AUF! Göppingen), er trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
17,49:58:00,,Parade von Torwart Nebojsa Simic (MT Melsungen).,FRISCH AUF! Göppingen,MT Melsungen,0,0,0,0,0,0,0,0
