,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:46:00,,Lattenkracher von Frederik Simak (TBV Lemgo Lippe).,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
2,59:27:00,34:31:00,Tor (6M)! Tobias Ellebaek (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 34:31.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
3,59:12:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
4,58:53:00,,Isaias Guardiola von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
5,58:46:00,33:31:00,"Neuer Spielstand in Göppingen, 33:31 durch den Treffer 6M von Kresimir Kozina für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
6,57:59:00,32:31:00,"Neuer Spielstand in Göppingen, 32:31 durch den Treffer 6M von Bobby Schagen für TBV Lemgo Lippe.",FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
7,57:26:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
8,57:14:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
9,56:34:00,,Urh Kastelic (TBV Lemgo Lippe) mit einer Parade.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
10,55:55:00,,Der Wurfversuch von Emil Buhl Lærke (TBV Lemgo Lippe) wurde durch einen Block von Josip Sarac verhindert.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
11,55:36:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
12,55:28:00,32:30:00,Kresimir Kozina (FRISCH AUF! Göppingen) trifft zum Spielstand von 32:30 in EWS Arena.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
13,54:49:00,31:30:00,Tor! Emil Buhl Lærke (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 31:30.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
14,53:55:00,31:29:00,"Neuer Spielstand in Göppingen, 31:29 durch den Treffer von Marcel Schiller für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
15,53:24:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
16,53:22:00,30:29:00,Axel Goller (FRISCH AUF! Göppingen) trifft von (RA). Neuer Spielstand in EWS Arena: 30:29.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
17,52:31:00,29:29:00,Bobby Schagen (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 29:29.,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
18,51:58:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,FRISCH AUF! Göppingen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
