Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Daniel Rebmann (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
59:48:00,,Auszeit VfL Gummersbach,FRISCH AUF! Göppingen,VfL Gummersbach,0,1,0,0,1,0,0,0
59:42:00,29:28:00,David Schmidt (FRISCH AUF! Göppingen) trifft von (6M). Neuer Spielstand in EWS Arena: 29:28.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
59:31:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,VfL Gummersbach,1,0,0,0,1,0,0,0
59:23:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,1,0,1,0,0,0
58:38:00,,Kresimir Kozina von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
58:36:00,,Es gibt eine 2 Minuten Strafe für Kresimir Kozina (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,1
58:25:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann hält den Wurf von Lukas Blohme.",FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
57:30:00,28:28:00,Julian Köster (VfL Gummersbach) trifft zum Spielstand von 28:28 in EWS Arena.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:57:00,28:27:00,Tor! Tobias Ellebaek (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 28:27.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
56:42:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
56:14:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,1,0,1,0,0,0
55:57:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann pariert den Wurf.",FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
55:32:00,27:27:00,Kresimir Kozina (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 27:27.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
55:06:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,1,0,1,0,0,0
54:55:00,26:27:00,Jonas Stüber (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 26:27.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
54:35:00,,Hartmut Mayerhoffer (FRISCH AUF! Göppingen) bekommt die Gelbe Karte von Loppaschewski/Blumel gezeigt.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,0
54:35:00,,Gilberto Brito Duarte geht den Gegner zu stark an. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,1,0,0,1
54:25:00,26:26:00,Tor (6M)! Tim Kneule (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 26:26.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
53:09:00,,Julian Köster (VfL Gummersbach) scheitert am Torwart Daniel Rebmann (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
52:29:00,25:26:00,Tor! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 25:26.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
51:32:00,24:26:00,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 24:26 in EWS Arena.,FRISCH AUF! Göppingen,VfL Gummersbach,0,0,0,0,0,0,0,0
