Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Axel Goller geht den Gegner zu stark an. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,1
59:42:00,,Überragende Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen)! Tim Kneule kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:31:00,39:31:00,Tor! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 39:31.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:04:00,,Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 39:30.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:45:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
57:38:00,38:30:00,"Neuer Spielstand in Göppingen, 38:30 durch den Treffer von Blaz Blagotinsek für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
57:30:00,37:30:00,Marian Orlowski (ASV Hamm-Westfalen) trifft zum Spielstand von 37:30 in EWS Arena.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
57:14:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
56:50:00,,Jon Lindenchrone Andersen von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
56:02:00,37:29:00,Tor! Jan Pretzewofsky (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 37:29.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
55:42:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
55:34:00,,Es gibt eine 2 Minuten Strafe für Tim Wieling (ASV Hamm-Westfalen).,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
55:32:00,37:28:00,Tor (RA)! Till Hermann (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 37:28.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:26:00,,Der Wurfversuch von Andreas Bornemann (ASV Hamm-Westfalen) wurde durch einen Block von Sebastian Heymann verhindert.,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:56:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
