Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Oskar Neudeck (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
59:51:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann hält den Wurf von Elias Scholtes.",FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
59:16:00,,Die Vorbereitung von Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) führt zum Treffer durch Blaz Blagotinsek.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
58:28:00,35:28:00,Paul Giesselmann (Bergischer HC) trifft zum Spielstand von 35:28 in EWS Arena.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
58:14:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
57:20:00,35:27:00,Tor (RR/fern)! Alexander Weck (Bergischer HC) netzt ein zum neuen Spielstand von 35:27.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
56:45:00,35:26:00,Kresimir Kozina (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 35:26.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
56:06:00,34:26:00,"Tor von der 7-Meter Linie von Arnor Thor Gunnarsson (Bergischer HC), neuer Spielstand 34:26.",FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
55:09:00,34:25:00,Tim Kneule (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 34:25.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
54:51:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Bergischer HC,1,0,0,0,0,0,0,0
54:51:00,,Christopher Rudeck (Bergischer HC) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
54:29:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann pariert den Wurf.",FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
54:18:00,33:25:00,"Neuer Spielstand in Göppingen, 33:25 durch den Treffer von Jon Lindenchrone Andersen für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
53:43:00,32:25:00,Tomas Babak (Bergischer HC) trifft von (6M). Neuer Spielstand in EWS Arena: 32:25.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
53:33:00,32:24:00,Tor! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 32:24.,FRISCH AUF! Göppingen,Bergischer HC,0,0,0,0,0,0,0,0
