Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:36:00,25:19:00,Milos Vujovic (Füchse Berlin) trifft von (6M). Neuer Spielstand in EWS Arena: 25:19.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
59:08:00,25:18:00,David Schmidt (FRISCH AUF! Göppingen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 25:18.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
58:43:00,,Torwartwechsel bei FRISCH AUF! Göppingen. Julian Buchele kommt für Marin Sego.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
58:22:00,,"Torwurf von Axel Goller (FRISCH AUF! Göppingen), aber der Ball trifft nur die Latte.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
57:13:00,,"Parade von Marin Sego, Robert Weber vergibt von der 7-Meter Linie!",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
56:12:00,,Auszeit Füchse Berlin,FRISCH AUF! Göppingen,Füchse Berlin,0,1,0,0,0,0,0,0
56:12:00,,Zeitstrafe vorbei Füchse Berlin,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
56:03:00,24:18:00,Axel Goller (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie und bringt den Spielstand auf 24:18.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
55:18:00,23:18,Der 7-Meter wurde von Robert Weber (Füchse Berlin) erfolgreich verwandelt.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
54:48:00,23:17,Tor! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23:17.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
54:47:00,,Siebter Spieler eingewechselt Füchse Berlin,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,1,0,1,0,0
54:22:00,,"Block von Marko Kopljar, der den Torwurf von David Schmidt verhindert.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
54:07:00,,Mijajlo Marsenic (Füchse Berlin) erhält eine Rote Karte.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,1,0
54:04:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,1,0,0,0
53:37:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Füchse Berlin,0,0,1,0,1,0,0,0
53:29:00,22:17,"Neuer Spielstand in Göppingen, 22:17 durch den Treffer von Jacob Holm für Füchse Berlin.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,1,0,0,0
53:06:00,22:16,Tor (6M)! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 22:16.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,1,0,0,0
52:34:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Füchse Berlin,0,0,1,0,1,0,0,0
52:04:00,,"Nach einem harten Foul hat Josip Sarac (FRISCH AUF! Göppingen) nun zwei Minuten Zeit, um sich auszuruhen.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,1,0,0,1
51:50:00,21:16,"Neuer Spielstand in Göppingen, 21:16 durch den Treffer 6M von David Schmidt für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
51:14:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego pariert den Wurf.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
51:06:00,,Der Wurf von Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) landet hinter dem Tor.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
50:23:00,,Marin Sego (FRISCH AUF! Göppingen) hält den Wurf von Robert Weber.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
50:14:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
49:39:00,20:16,Mathias Gidsel (Füchse Berlin) trifft zum Spielstand von 20:16 in EWS Arena.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
49:13:00,20:15,"Tor von der 7-Meter Linie von Axel Goller (FRISCH AUF! Göppingen), neuer Spielstand 20:15.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
48:00:00,19:15,Tor! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 19:15.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
46:58:00,,Überragende Parade des Torwarts Marin Sego (FRISCH AUF! Göppingen)! Marko Kopljar kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
46:00:00,,Überragende Parade des Torwarts Marin Sego (FRISCH AUF! Göppingen)! Marko Kopljar kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
45:52:00,,Josip Sarac von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
45:13:00,,"Mathias Gidsel (6M) wirft, jedoch neben das Tor.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
44:51:00,19:14,Josip Sarac (FRISCH AUF! Göppingen) trifft zum Spielstand von 19:14 in EWS Arena.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
44:16:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,Füchse Berlin,1,0,0,0,0,0,0,0
43:59:00,18:14,Jacob Holm (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 18:14.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
42:53:00,,Zeitstrafe vorbei Füchse Berlin,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
42:42:00,,Jaka Malus mit dem Lattenkracher. Was für ein Pech.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
41:44:00,,Hans Lindberg (Füchse Berlin) scheitert von der 7-Meter Linie.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
41:04:00,,Siebter Spieler eingewechselt Füchse Berlin,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,1,0,1,0,0
41:01:00,18:13,"Neuer Spielstand in Göppingen, 18:13 durch den Treffer 6M von Josip Sarac für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,0,0
40:40:00,,Es gibt eine 2 Minuten Strafe für Fabian Wiede (Füchse Berlin).,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,1,1,0
40:08:00,17:13,Jacob Holm (Füchse Berlin) trifft von (6M). Neuer Spielstand in EWS Arena: 17:13.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
38:35:00,,Gilberto Brito Duarte von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
38:28:00,,Fabian Wiede von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
37:50:00,,Dejan Milosavljev (Füchse Berlin) bleibt Sieger im 7-Meter-Duell gegen Marcel Schiller (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
36:57:00,17:12,"Neuer Spielstand in Göppingen, 17:12 durch den Treffer von Jacob Holm für Füchse Berlin.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
36:12:00,17:11,David Schmidt (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 17:11.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
35:25:00,,"Nils Lichtlein wirft auf das Tor, trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
35:01:00,16:11,Tor (RA)! Axel Goller (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 16:11.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
34:53:00,,"Parade des Torwarts von FRISCH AUF! Göppingen, Marin Sego.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
33:51:00,,"Der Torwart von Füchse Berlin, Dejan Milosavljev pariert den gegebenen 7-Meter.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
32:51:00,15:11,Tor! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 15:11.,FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
32:42:00,15:10,"Neuer Spielstand in Göppingen, 15:10 durch den Treffer von David Schmidt für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,Füchse Berlin,0,0,0,0,0,0,0,0
