Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,26:28:00,"Tor von der 7-Meter Linie von Marcel Schiller (FRISCH AUF! Göppingen), neuer Spielstand 26:28.",FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
59:30:00,25:28:00,Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 25:28.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
59:19:00,,Auszeit HSG Wetzlar,FRISCH AUF! Göppingen,HSG Wetzlar,0,1,0,0,0,0,0,0
59:01:00,25:27:00,David Schmidt (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 25:27.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
58:48:00,,Erik Schmidt von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
58:13:00,,Parade von Torwart Till Klimpke (HSG Wetzlar).,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
58:05:00,24:27:00,Lenny Rubin (HSG Wetzlar) trifft zum Spielstand von 24:27 in EWS Arena.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
57:23:00,,Fehlwurf von Tobias Ellebaek (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
55:37:00,,FRISCH AUF! Göppingen wechselt den Torwart. Marin Sego kommt für Daniel Rebmann.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
55:33:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,1,0,0,0,0,0
55:21:00,24:26:00,Stefan Cavor (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 24:26.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
55:14:00,,Kresimir Kozina von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
54:48:00,24:25:00,Lenny Rubin (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 24:25.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
54:24:00,,Daniel Rebmann (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,HSG Wetzlar,0,0,0,0,0,0,0,0
