Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,34:30:00,Simon Ernst (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 34:30.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,1,0,0,0
59:48:00,,"Nach einem harten Foul hat Gilberto Brito Duarte (FRISCH AUF! Göppingen) nun zwei Minuten Zeit, um sich auszuruhen.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,1,0,0,1
59:29:00,34:29:00,"Neuer Spielstand in Göppingen, 34:29 durch den Treffer von David Schmidt für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:23:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SC DHfK Leipzig,1,0,0,0,0,0,0,0
59:10:00,,Marin Sego (FRISCH AUF! Göppingen) hält den Wurf von Matej Klima.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:05:00,,Jaka Malus von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:19:00,33:29:00,Tor! Moritz Preuss (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 33:29.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:30:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås hält den Wurf von David Schmidt.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:53:00,,Der Wurf von Tim Matthes (SC DHfK Leipzig) landet hinter dem Tor.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:46:00,,"Torwurf von Jaka Malus (FRISCH AUF! Göppingen), aber der Ball trifft nur die Latte.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:14:00,33:28:00,"Neuer Spielstand in Göppingen, 33:28 durch den Treffer 6M von Finn-Lukas Leun für SC DHfK Leipzig.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:16:00,33:27:00,"Neuer Spielstand in Göppingen, 33:27 durch den Treffer von Jaka Malus für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:43:00,32:27:00,Tor! Simon Ernst (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 32:27.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:36:00,32:26:00,David Schmidt (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 32:26.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:01:00,,Matej Klima von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:53:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:03:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:51:00,31:26:00,Tor (6M)! Tim Matthes (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 31:26.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:29:00,,Der eingewechselte Torwart Marin Sego (FRISCH AUF! Göppingen) steht nun zwischen den Pfosten.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:14:00,31:25:00,Matej Klima (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in EWS Arena: 31:25.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:30:00,31:24:00,David Schmidt (FRISCH AUF! Göppingen) trifft zum Spielstand von 31:24 in EWS Arena.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:58:00,30:24:00,Maciej Gebala (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 30:24.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:41:00,30:23:00,"Neuer Spielstand in Göppingen, 30:23 durch den Treffer 6M von David Schmidt für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:12:00,,"Chance für Lucas Krzikalla (SC DHfK Leipzig), er trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:00:00,,"Der Torwart von SC DHfK Leipzig, Kristian Sæverås pariert den Wurf.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:50:00,,"Block von Maciej Gebala, der den Torwurf von Josip Sarac verhindert.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:04:00,29:23:00,Luca Witzke (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 29:23.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:35:00,29:22:00,"Neuer Spielstand in Göppingen, 29:22 durch den Treffer von Josip Sarac für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:01:00,28:22:00,Luca Witzke (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 28:22.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:19:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SC DHfK Leipzig,1,0,0,0,0,0,0,0
44:10:00,28:21:00,Tor! Tim Matthes (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 28:21.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:25:00,28:20:00,Luca Witzke (SC DHfK Leipzig) trifft zum Spielstand von 28:20 in EWS Arena.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:16:00,,Tim Kneule (FRISCH AUF! Göppingen) trifft nur den Pfosten.,FRISCH AUF! Göppingen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
