Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Der Torwart von SG Flensburg-Handewitt, Benjamin Buric hält den Wurf von Josip Sarac.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:39:00,,Auszeit SG Flensburg-Handewitt,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
59:16:00,27:27:00,Tor! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 27:27.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:03:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
58:40:00,26:27:00,Emil Jakobsen (SG Flensburg-Handewitt) trifft zum Spielstand von 26:27 in EWS Arena.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:04:00,26:26:00,Josip Sarac (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:26.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:24:00,25:26:00,"Neuer Spielstand in Göppingen, 25:26 durch den Treffer 6M von Magnus Abelvik Rød für SG Flensburg-Handewitt.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:57:00,,"Chance für Mads Mensah Larsen (SG Flensburg-Handewitt), er trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:07:00,25:25:00,Tor (6M)! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 25:25.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:50:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
55:35:00,24:25:00,Magnus Abelvik Rød (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 24:25.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
54:45:00,24:24:00,Jaka Malus (FRISCH AUF! Göppingen) trifft von (6M). Neuer Spielstand in EWS Arena: 24:24.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:55:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
53:50:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego hält den Wurf von Mads Mensah Larsen.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:49:00,,David Schmidt (FRISCH AUF! Göppingen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
53:26:00,,Auszeit SG Flensburg-Handewitt,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
52:48:00,,"Der Towart von SG Flensburg-Handewitt, Benjamin Buric pariert den gegebenen 7-Meter.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
51:52:00,23:24,Tor (LA)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 23:24.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
51:21:00,,Überragende Parade des Torwarts Benjamin Buric (SG Flensburg-Handewitt)! Josip Sarac kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:44:00,,Johan Hansen (SG Flensburg-Handewitt) trifft nur den Pfosten.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:34:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
50:20:00,,"Johan Hansen wirft auf das Tor, trifft aber nur den Pfosten.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
49:44:00,23:23,Der 7-Meter wurde von Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) erfolgreich verwandelt.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
49:06:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
48:57:00,22:23,Tor! Simon Hald Jensen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 22:23.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
48:32:00,,"Nach einem harten Foul hat Tobias Ellebaek (FRISCH AUF! Göppingen) nun zwei Minuten Zeit, um sich auf der Bank zu beruhigen.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
48:00:00,,Tobias Ellebaek von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:37:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:01:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
46:55:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
46:42:00,22:22,David Schmidt (FRISCH AUF! Göppingen) trifft zum Spielstand von 22:22 in EWS Arena.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
46:32:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,0,0
46:20:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,0,0
46:02:00,,"Block von Blaz Blagotinsek, der den Torwurf von Mads Mensah Larsen verhindert.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,0,0
45:39:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,1,1,1,0,0
45:32:00,,Benjamin Buric (SG Flensburg-Handewitt) hält den Wurf von David Schmidt.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,0,0
45:26:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,1,0,0,0,1,1,0,0
45:10:00,,Magnus Abelvik Rød blockt den Wurf von Tobias Ellebaek.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,0,0
44:58:00,,Anton Lindskog (SG Flensburg-Handewitt) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,1,1,0
44:32:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
44:28:00,,2-Minuten-Strafe für Tim Kneule. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
44:28:00,21:22,"Neuer Spielstand in Göppingen, 21:22 durch den Treffer 6M von Magnus Abelvik Rød für SG Flensburg-Handewitt.",FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:37:00,,Magnus Abelvik Rød von SG Flensburg-Handewitt unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
