Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:49:00,,Parade von Torwart Niklas Landin (THW Kiel).,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
59:18:00,27:34:00,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 27:34.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
58:34:00,,Nun wird Niklas Landin für THW Kiel im Tor stehen.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
58:15:00,27:33:00,Tor (6M)! Tim Kneule (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 27:33.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
57:44:00,,Miha Zarabec (THW Kiel) vergibt den 7-Meter.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
56:41:00,26:33:00,Tim Kneule (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:33.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
55:42:00,25:33:00,"Neuer Spielstand in Göppingen, 25:33 durch den Treffer von Gossner Tim für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
55:10:00,24:33:00,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:33.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
54:06:00,,"Parade des Torwarts von THW Kiel, Tomas Mrkva.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
53:25:00,24:32:00,Tor (6M)! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 24:32.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
52:53:00,,Jaka Malus (FRISCH AUF! Göppingen) scheitert am Torwart Tomas Mrkva (THW Kiel).,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
52:08:00,24:31:00,Magnus Landin (THW Kiel) trifft zum Spielstand von 24:31 in EWS Arena.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
51:49:00,,"Wurf von Sebastian Heymann (FRISCH AUF! Göppingen), aber der Ball landet nur am Pfosten.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
50:54:00,,"Parade des Torwarts von THW Kiel, Tomas Mrkva.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
50:14:00,,Auszeit FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,THW Kiel,1,0,0,0,0,0,0,0
49:51:00,24:30:00,Tor! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 24:30.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
49:25:00,,"Gossner Tim (6M) wirft, jedoch neben das Tor.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
48:22:00,24:29:00,Magnus Landin (THW Kiel) trifft von (6M). Neuer Spielstand in EWS Arena: 24:29.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
48:05:00,24:28:00,"Neuer Spielstand in Göppingen, 24:28 durch den Treffer 6M von Hendrik Pekeler für THW Kiel.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
47:13:00,24:27:00,Till Hermann (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 24:27.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
47:02:00,,Der Wurf von Sander Sagosen (THW Kiel) landet hinter dem Tor.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
46:41:00,23:27,Josip Sarac (FRISCH AUF! Göppingen) trifft zum Spielstand von 23:27 in EWS Arena.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
46:03:00,22:27,"Neuer Spielstand in Göppingen, 22:27 durch den Treffer 6M von Jaka Malus für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
45:12:00,,Tor (6M)! Rune Dahmke (THW Kiel) netzt ein zum neuen Spielstand von 21:27.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
44:06:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Kresimir Kozina kann den Ball nicht im Tor unterbringen!,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
43:08:00,21:26,Tor! Sander Sagosen (THW Kiel) netzt ein zum neuen Spielstand von 21:26.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
42:50:00,21:25,Karl Wallinius (THW Kiel) überwindet den Torwart zum neuen Spielstand von 21:25.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
42:17:00,21:24,"Neuer Spielstand in Göppingen, 21:24 durch den Treffer von Tobias Ellebaek für FRISCH AUF! Göppingen.",FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
41:47:00,,Parade von Torwart Daniel Rebmann (FRISCH AUF! Göppingen).,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
41:41:00,,Wurfversuch von Sander Sagosen (THW Kiel) aber der Ball landet an der Latte.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
40:44:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,0
40:37:00,20:24,Tobias Ellebaek (FRISCH AUF! Göppingen) trifft von (RL/fern). Neuer Spielstand in EWS Arena: 20:24.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,0
40:07:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,THW Kiel,0,0,1,0,1,0,0,0
39:57:00,19:24,Sander Sagosen (THW Kiel) überwindet den Torwart zum neuen Spielstand von 19:24.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,0
39:33:00,,Till Hermann (FRISCH AUF! Göppingen) scheitert am Torwart Tomas Mrkva (THW Kiel).,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,0
38:36:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,THW Kiel,0,0,1,0,1,0,0,0
38:30:00,,Petter Øverby von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,0
38:20:00,,Sebastian Heymann (FRISCH AUF! Göppingen) erhält eine 2 Minuten Strafe.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,1,0,0,1
37:35:00,19:23,Kresimir Kozina (FRISCH AUF! Göppingen) trifft von (6M). Neuer Spielstand in EWS Arena: 19:23.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
37:04:00,18:23,Tor! Patrick Wiencek (THW Kiel) netzt ein zum neuen Spielstand von 18:23.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
36:17:00,18:22,Harald Reinkind (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 18:22.,FRISCH AUF! Göppingen,THW Kiel,0,0,0,0,0,0,0,0
