,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:56:00,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
2,59:27:00,37:26:00,"Neuer Spielstand in Berlin, 37:26 durch den Treffer 6M von Benjamin Meschke für ASV Hamm-Westfalen.",Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
3,59:23:00,,Fabian Huesmann (ASV Hamm-Westfalen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
4,58:47:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
5,58:37:00,,Hans Lindberg von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
6,58:02:00,37:25:00,Fabian Huesmann (ASV Hamm-Westfalen) überwindet den Torwart von (LA) zum neuen Spielstand von 37:25.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
7,57:32:00,,Fehlwurf von Lasse Bredekjaer Andersson (Füchse Berlin).,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
8,57:25:00,,Der Wurf von ASV Hamm-Westfalen wurde geblockt.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
9,57:08:00,,Auszeit ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
10,57:01:00,37:24:00,"Tor Lasse Bredekjaer Andersson, Füchse Berlin",Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
11,56:07:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
12,55:58:00,36:24:00,Hans Lindberg (Füchse Berlin) trifft von der 7-Meter Linie und bringt den Spielstand auf 36:24.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
13,55:31:00,,Savvas Savvas (ASV Hamm-Westfalen) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
14,55:15:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
15,55:02:00,,"Torwurf von Nils Lichtlein (Füchse Berlin), aber der Ball trifft nur die Latte.",Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
16,54:26:00,,Andreas Bornemann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
17,54:08:00,,Mijajlo Marsenic blockt den Wurf von Mait Patrail.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
18,53:14:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
19,53:02:00,35:24:00,"Neuer Spielstand in Berlin, 35:24 durch den Treffer von Lasse Bredekjaer Andersson für Füchse Berlin.",Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
20,52:42:00,34:24:00,Tor (6M)! Fabian Huesmann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 34:24.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21,52:32:00,34:23:00,Nils Lichtlein (Füchse Berlin) trifft zum Spielstand von 34:23 in Max-Schmeling-Halle.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22,51:45:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
23,51:36:00,33:23:00,Tor! Nils Lichtlein (Füchse Berlin) netzt ein zum neuen Spielstand von 33:23.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24,51:24:00,32:23:00,Tor! Andreas Bornemann (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 32:23.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
25,51:06:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
26,50:45:00,32:22:00,Lasse Bredekjaer Andersson (Füchse Berlin) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 32:22.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
27,50:37:00,,Der Wurfversuch von Matthes Langhoff (Füchse Berlin) wurde durch einen Block von Markus Fuchs verhindert.,Füchse Berlin,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
