,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:45:00,29:27:00,"Neuer Spielstand in Berlin, 29:27 durch den Treffer LA von Noah Beyer für Bergischer HC.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
2,59:18:00,,"Neuer Spielstand in Berlin, 29:26 durch den Treffer von Mijajlo Marsenic für Füchse Berlin.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
3,59:12:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
4,58:21:00,,Arnor Thor Gunnarsson (Bergischer HC) trifft zum Spielstand von 28:26 in Max-Schmeling-Halle.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
5,58:06:00,,Nils Lichtlein von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
6,57:24:00,,Linus Arnesson (Bergischer HC) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
7,56:58:00,,Auszeit Bergischer HC.,Füchse Berlin,Bergischer HC,0,1,0,0,0,0,0,0
8,56:54:00,28:25:00,"Tor von der 7-Meter Linie von Hans Lindberg (Füchse Berlin), neuer Spielstand 28:25.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
9,55:49:00,,"Gute Torchance, aber Tomas Babak (Bergischer HC) kann diese nicht erfolgreich verwandeln.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
10,54:58:00,27:25:00,"Neuer Spielstand in Berlin, 27:25 durch den Treffer von Jacob Holm für Füchse Berlin.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
11,54:14:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Mijajlo Marsenic.",Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
12,53:31:00,,Nun wird Christopher Rudeck für Bergischer HC im Tor stehen.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
13,53:13:00,26:25:00,Tor! Frederik Ladefoged (Bergischer HC) netzt ein zum neuen Spielstand von 26:25.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
14,52:45:00,,Auszeit Füchse Berlin.,Füchse Berlin,Bergischer HC,1,0,0,0,0,0,0,0
15,52:09:00,26:24:00,Djibril M'Bengue (Bergischer HC) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 26:24.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
16,51:52:00,26:23:00,Paul Drux (Füchse Berlin) trifft zum Spielstand von 26:23 in Max-Schmeling-Halle.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
17,51:25:00,,Zeitstrafe vorbei Füchse Berlin.,Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,0
18,51:05:00,,Füchse Berlin wechselt den Torwart. Dejan Milosavljev kommt für Victor Kireev.,Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,0
19,50:59:00,25:23:00,"Neuer Spielstand in Berlin, 25:23 durch den Treffer RR/fern von Nils Lichtlein für Füchse Berlin.",Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,0
20,50:12:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,Bergischer HC,0,0,1,0,1,0,0,0
21,49:57:00,24:23:00,"Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 24:23.",Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,0
22,49:51:00,,Victor Kireev (Füchse Berlin) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,0
23,49:25:00,,2-Minuten-Strafe für Mijajlo Marsenic. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,Bergischer HC,0,0,0,0,1,0,0,1
24,48:45:00,24:22:00,Mijajlo Marsenic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 24:22.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
25,47:36:00,,Auszeit Bergischer HC,Füchse Berlin,Bergischer HC,0,1,0,0,0,0,0,0
26,47:00:00,23:22,Hans Lindberg (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 23:22.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
27,46:21:00,,Tor (RM/fern)! Djibril M'Bengue (Bergischer HC) netzt ein zum neuen Spielstand von 22:22.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
28,45:48:00,22:21,Tor (6M)! Paul Drux (Füchse Berlin) netzt ein zum neuen Spielstand von 22:21.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
29,45:37:00,21:21,Linus Arnesson (Bergischer HC) trifft zum Spielstand von 21:21 in Max-Schmeling-Halle.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
30,45:21:00,,Zeitstrafe vorbei Bergischer HC,Füchse Berlin,Bergischer HC,0,0,0,0,0,1,0,0
31,45:12:00,,Siebter Spieler eingewechselt Bergischer HC,Füchse Berlin,Bergischer HC,0,0,0,1,0,1,0,0
32,45:00:00,21:20,Tim Freihöfer (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 21:20.,Füchse Berlin,Bergischer HC,0,0,0,0,0,1,0,0
33,44:33:00,,Überragende Parade des Torwarts Dejan Milosavljev (Füchse Berlin)! Frederik Ladefoged kann den Ball nicht im Tor unterbringen!,Füchse Berlin,Bergischer HC,0,0,0,0,0,1,0,0
34,44:09:00,,Siebter Spieler eingewechselt Bergischer HC,Füchse Berlin,Bergischer HC,0,0,0,1,0,1,0,0
35,43:16:00,,Djibril M'Bengue (Bergischer HC) erhält eine 2 Minuten Strafe.,Füchse Berlin,Bergischer HC,0,0,0,0,0,1,1,0
36,42:40:00,20:20,Arnor Thor Gunnarsson (Bergischer HC) überwindet den Torwart von (RA) zum neuen Spielstand von 20:20.,Füchse Berlin,Bergischer HC,0,0,0,0,0,0,0,0
