,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:41:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
2,59:34:00,34:27:00,Tor! Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 34:27.,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
3,59:18:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
4,58:59:00,34:26:00,"Neuer Spielstand in Berlin, 34:26 durch den Treffer von Mathias Gidsel für Füchse Berlin.",Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
5,58:51:00,,"Parade des Torwarts von Füchse Berlin, Dejan Milosavljev.",Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
6,58:33:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
7,58:22:00,,Parade von Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
8,57:53:00,,Matthes Langhoff (Füchse Berlin) scheitert am Torwart Marin Sego (FRISCH AUF! Göppingen).,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
9,57:38:00,,Tobias Ellebaek (FRISCH AUF! Göppingen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
10,57:32:00,33:26:00,"Neuer Spielstand in Berlin, 33:26 durch den Treffer 6M von Nils Röller für FRISCH AUF! Göppingen.",Füchse Berlin,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
