Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,29:25:00,Tor! Paul Drux (Füchse Berlin) bereitete das Tor von Robert Weber vor.,Füchse Berlin,HSG Wetzlar,0,0,0,0,1,0,0,0
59:03:00,28:25:00,"Tor Hendrik Wagner, HSG Wetzlar",Füchse Berlin,HSG Wetzlar,0,0,0,0,1,0,0,0
58:58:00,28:24:00,Mathias Gidsel (Füchse Berlin) durchbricht die Abwehr und trifft zum 28:24.,Füchse Berlin,HSG Wetzlar,0,0,0,0,1,0,0,0
58:41:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,HSG Wetzlar,0,0,1,0,1,0,0,0
58:41:00,,Max Darj (Füchse Berlin) erhält eine 2 Minuten Strafe.,Füchse Berlin,HSG Wetzlar,0,0,0,0,1,0,0,1
58:40:00,27:24:00,Die Vorbereitung von Filip Kuzmanovski (HSG Wetzlar) führt zum Treffer durch Adam Nyfjäll.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,0,0,0
58:30:00,27:23:00,"Neuer Spielstand in Berlin, 27:23 durch den Treffer RM/fern von Mathias Gidsel für Füchse Berlin.",Füchse Berlin,HSG Wetzlar,0,0,0,0,0,0,0,0
58:07:00,,Zeitstrafe vorbei HSG Wetzlar,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
57:50:00,,Lenny Rubin von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
56:43:00,26:23:00,Milos Vujovic (Füchse Berlin) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 26:23.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
56:24:00,,Siebter Spieler eingewechselt HSG Wetzlar,Füchse Berlin,HSG Wetzlar,0,0,0,1,0,1,0,0
56:11:00,25:23:00,Tor! Mathias Gidsel (Füchse Berlin) bereitete das Tor von Max Darj vor.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
55:57:00,,Erik Schmidt geht den Gegner zu stark an. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,1,0
54:35:00,,"Parade des Torwarts von Füchse Berlin, Dejan Milosavljev.",Füchse Berlin,HSG Wetzlar,0,0,0,0,0,0,0,0
54:34:00,,Zeitstrafe vorbei HSG Wetzlar,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
54:26:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
54:23:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
53:54:00,24:23:00,Jovica Nikolic (HSG Wetzlar) legt den Treffer von Domen Novak auf. Es steht 24:23.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
53:18:00,,Torwartwechsel bei HSG Wetzlar. Till Klimpke kommt für Anadin Suljakovic.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
53:05:00,24:22:00,Jovica Nikolic (HSG Wetzlar) legt den Treffer von Lenny Rubin auf. Es steht 24:22.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
52:56:00,,Siebter Spieler eingewechselt HSG Wetzlar,Füchse Berlin,HSG Wetzlar,0,0,0,1,0,1,0,0
52:26:00,24:21:00,Milos Vujovic (Füchse Berlin) trifft von der 7-Meter Linie.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
52:26:00,,"Der Trainer von HSG Wetzlar, Hrvoje Horvat stellt nun Till Klimpke zwischen die Pfosten.",Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
52:26:00,,Emil Mellegard (HSG Wetzlar) erhält eine 2 Minuten Strafe.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,1,0
52:15:00,,Jovica Nikolic (HSG Wetzlar) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 23:21.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,0,0,0
51:18:00,,Auszeit Füchse Berlin,Füchse Berlin,HSG Wetzlar,1,0,0,0,0,0,0,0
51:05:00,23:20,Filip Kuzmanovski (HSG Wetzlar) tankt sich durch und trifft!,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,0,0,0
50:16:00,,Zeitstrafe vorbei HSG Wetzlar,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
49:54:00,23:19,Die Vorbereitung von Mathias Gidsel (Füchse Berlin) führt zum Treffer durch Mijajlo Marsenic.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
49:23:00,,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 22:19.,Füchse Berlin,HSG Wetzlar,0,0,0,0,0,1,0,0
