,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:47:00,,Vincent Büchner (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 32:30.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
2,59:40:00,32:29:00,Paul Drux (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 32:29.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
3,58:24:00,,Überragende Parade des Torwarts Dejan Milosavljev (Füchse Berlin)! Marius Steinhauser kann den Ball nicht im Tor unterbringen!,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
4,58:02:00,,Auszeit Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,1,0,0,0,0,0,0
5,58:02:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,0,0,1,0,0,0,0
6,57:39:00,,Tor! Paul Drux (Füchse Berlin) netzt ein zum neuen Spielstand von 31:29.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
7,57:21:00,,Auszeit Füchse Berlin,Füchse Berlin,Hannover-Burgdorf,1,0,0,0,0,0,0,0
8,56:34:00,30:29:00,"Neuer Spielstand in Berlin, 30:29 durch den Treffer von Vincent Büchner für Hannover-Burgdorf.",Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
9,56:08:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
10,55:43:00,,Nun wird Dejan Milosavljev für Füchse Berlin im Tor stehen.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
11,55:34:00,30:28:00,Der 7-Meter wurde von Maximilian Gerbl (Hannover-Burgdorf) erfolgreich verwandelt.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
12,55:30:00,,Füchse Berlin wechselt den Torwart. Victor Kireev kommt für Dejan Milosavljev.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
13,55:16:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
14,54:25:00,30:27:00,Tor! Jonathan Edvardsson (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 30:27.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
15,54:18:00,,Mijajlo Marsenic (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 30:26.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
16,53:29:00,,Zeitstrafe vorbei Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
17,53:19:00,29:26:00,Ilija Brozovic (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 29:26.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
18,52:56:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
19,52:40:00,,Auszeit Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,1,0,0,0,1,0,0
20,52:23:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,0,0,1,0,1,0,0
21,52:10:00,29:25:00,Tor (6M)! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 29:25,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
22,51:23:00,28:25:00,"Tor von der 7-Meter Linie von Hans Lindberg (Füchse Berlin), neuer Spielstand 28:25",Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
23,51:21:00,,Bastian Roscheck (Hannover-Burgdorf) erhält eine Rote Karte,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,1,0
24,50:16:00,27:25:00,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
25,49:34:00,,Domenico Ebner (Hannover-Burgdorf) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
26,49:21:00,27:24:00,Tim Freihöfer (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 27:24,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
27,49:12:00,,Zeitstrafe vorbei Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
28,48:26:00,26:24:00,Jonathan Edvardsson (Hannover-Burgdorf) trifft zum Spielstand von 26:24 in Max-Schmeling-Halle,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
29,47:30:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Füchse Berlin,Hannover-Burgdorf,0,0,0,1,0,1,0,0
30,47:15:00,26:23:00,Der 7-Meter wurde von Hans Lindberg (Füchse Berlin) erfolgreich verwandelt,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,0,0
31,47:11:00,,Ilija Brozovic (Hannover-Burgdorf) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,1,1,0
32,46:02:00,25:23:00,"Neuer Spielstand in Berlin, 25:23 durch den Treffer 6M von Ilija Brozovic für Hannover-Burgdorf",Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
33,45:53:00,25:22:00,"Neuer Spielstand in Berlin, 25:22 durch den Treffer von Fabian Wiede für Füchse Berlin",Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
34,45:23:00,,Vincent Büchner von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
35,44:27:00,24:22:00,Jacob Holm (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 24:22,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36,44:15:00,23:22,Tor für Hannover-Burgdorf durch Marius Steinhauser nach einem Pass von Renars Uscins,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37,43:37:00,23:21,"Neuer Spielstand in Berlin, 23:21 durch den Treffer von Fabian Wiede für Füchse Berlin",Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38,43:16:00,,Auszeit Füchse Berlin,Füchse Berlin,Hannover-Burgdorf,1,0,0,0,0,0,0,0
39,43:09:00,22:21,Vincent Büchner (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 22:21.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40,42:59:00,,Dario Quenstedt (Hannover-Burgdorf) mit einer Parade.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41,41:50:00,22:20,Tor (6M)! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 22:20.,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
42,41:19:00,,Fehlwurf von Paul Drux (Füchse Berlin).,Füchse Berlin,Hannover-Burgdorf,0,0,0,0,0,0,0,0
