Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,"Parade des Torwarts von SC DHfK Leipzig, Kristian Sæverås.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:53:00,28:22:00,"Neuer Spielstand in Berlin, 28:22 durch den Treffer 6M von Milos Vujovic für Füchse Berlin.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:43:00,,Mathias Gidsel von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:29:00,27:22:00,Tor (6M)! Max Darj (Füchse Berlin) netzt ein zum neuen Spielstand von 27:22.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:39:00,26:22:00,Tor! Sime Ivic (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 26:22.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:40:00,26:21:00,Tor (RM/fern)! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 26:21.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:08:00,,Hans Lindberg vergibt den Strafwurf für Füchse Berlin.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:11:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:00:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:31:00,25:21:00,Mika Laurin Sajenev (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 25:21.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:16:00,,Nun wird Kristian Sæverås für SC DHF Leipzig im Tor stehen.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:03:00,25:20:00,"Tor von der 7-Meter Linie von Hans Lindberg (Füchse Berlin), neuer Spielstand 25:20.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:57:00,,Der eingewechselte Torwart Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) steht nun zwischen den Pfosten.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:11:00,,Fehlwurf von Max Darj (Füchse Berlin).,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:02:00,24:20:00,Lucas Krzikalla (SC DHfK Leipzig) trifft zum Spielstand von 24:20 in Max-Schmeling-Halle.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:20:00,,Lattenkracher von Hans Lindberg (Füchse Berlin).,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:11:00,,Matej Klima von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:10:00,24:19:00,"Neuer Spielstand in Berlin, 24:19 durch den Treffer von Fabian Wiede für Füchse Berlin.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
50:39:00,,Viggó Kristjánsson (SC DHfK Leipzig) trifft nur den Pfosten.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
49:32:00,23:19,Tor! Max Darj (Füchse Berlin) netzt ein zum neuen Spielstand von 23:19.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:47:00,,Auszeit Füchse Berlin.,Füchse Berlin,SC DHfK Leipzig,1,0,0,0,0,0,0,0
48:33:00,,Mika Laurin Sajenev (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 22:19.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
48:26:00,,Fabian Wiede von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:38:00,,Der Wurf von Milos Vujovic (Füchse Berlin) landet hinter dem Tor.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:51:00,22:18,"Neuer Spielstand in Berlin, 22:18 durch den Treffer 6M von Mika Laurin Sajenev für SC DHfK Leipzig.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:42:00,22:17,Hans Lindberg (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 22:17.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:25:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:38:00,21:17,"Neuer Spielstand in Berlin, 21:17 durch den Treffer 6M von Mika Laurin Sajenev für SC DHfK Leipzig.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:16:00,21:16,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 21:16 in Max-Schmeling-Halle.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:32:00,,Der 7-Meter wurde von Viggó Kristjánsson (SC DHfK Leipzig) erfolgreich verwandelt.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
44:12:00,20:16,"Neuer Spielstand in Berlin, 20:15 durch den Treffer von Mathias Gidsel für Füchse Berlin.",Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:30:00,20:15,Der Wurfversuch von Viggó Kristjánsson (SC DHfK Leipzig) wurde durch einen Block von Max Darj verhindert.,Füchse Berlin,SC DHfK Leipzig,0,0,0,0,0,0,0,0
