,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:44:00,,Auszeit SC Magdeburg,Füchse Berlin,SC Magdeburg,0,1,0,0,0,0,0,0
2,59:17:00,,"Neuer Spielstand in Berlin, 31:32 durch den Treffer 6M von Paul Drux für Füchse Berlin.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
3,59:01:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
4,57:18:00,,Jacob Holm (Füchse Berlin) scheitert am Torwart Nikola Portner (SC Magdeburg).,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
5,56:07:00,30:32:00,Hans Lindberg (Füchse Berlin) trifft von der 7-Meter Linie und bringt den Spielstand auf 30:32.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
6,55:34:00,29:32:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 29:32.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
7,55:03:00,29:31:00,"Neuer Spielstand in Berlin, 29:31 durch den Treffer 6M von Jacob Holm für Füchse Berlin.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
8,54:50:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
9,54:27:00,,Auszeit SC Magdeburg,Füchse Berlin,SC Magdeburg,0,1,0,0,0,0,0,0
10,53:59:00,28:31:00,Tor (6M)! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 28:31.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
11,53:50:00,,Parade von Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
12,53:46:00,,"Philipp Weber wirft auf das Tor, trifft aber nur den Pfosten.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
13,53:02:00,,Überragende Parade des Torwarts Nikola Portner (SC Magdeburg)! Tim Freihöfer kann den Ball nicht im Tor unterbringen!,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
14,52:19:00,,Auszeit Füchse Berlin,Füchse Berlin,SC Magdeburg,1,0,0,0,0,0,0,0
15,51:59:00,27:31:00,"Neuer Spielstand in Berlin, 27:31 durch den Treffer von Lukas Mertens für SC Magdeburg.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
16,51:50:00,,Lasse Bredekjaer Andersson von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
17,50:47:00,27:30:00,Omar Ingi Magnusson (SC Magdeburg) überwindet den Torwart von (6M) zum neuen Spielstand von 27:30.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
18,50:10:00,27:29:00,Tor! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 27:29.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
19,50:07:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,0
20,49:49:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,SC Magdeburg,0,0,1,0,1,0,0,0
21,49:42:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Lucas Meister.,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,0
22,49:16:00,,Siebter Spieler eingewechselt SC Magdeburg,Füchse Berlin,SC Magdeburg,0,0,0,1,1,0,0,0
23,49:08:00,26:29:00,Hans Lindberg (Füchse Berlin) trifft von (RA). Neuer Spielstand in Max-Schmeling-Halle: 26:29.,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,0
24,48:31:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,SC Magdeburg,0,0,1,0,1,0,0,0
25,48:19:00,,Tim Hornke (SC Magdeburg) trifft zum Spielstand von 25:29 in Max-Schmeling-Halle.,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,0
26,48:18:00,,Füchse Berlin wechselt den Torwart. Dejan Milosavljev kommt für Victor Kireev.,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,0
27,48:06:00,,Max Darj geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,SC Magdeburg,0,0,0,0,1,0,0,1
28,47:09:00,25:28:00,Lasse Bredekjaer Andersson (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 25:28.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
29,46:26:00,,"Neuer Spielstand in Berlin, 24:28 durch den Treffer von Magnus Saugstrup für SC Magdeburg.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
30,45:50:00,24:27:00,"Neuer Spielstand in Berlin, 24:27 durch den Treffer 6M von Lasse Bredekjaer Andersson für Füchse Berlin.",Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
31,45:43:00,,Magnus Saugstrup (SC Magdeburg) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 23:27.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
32,45:20:00,,Es gibt Gelb für Max Rinderle (Füchse Berlin) von Kinzel/Grobe.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
33,45:05:00,,Max Darj von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
34,44:22:00,23:26,Gisli Thorgeir Kristjansson (SC Magdeburg) trifft zum Spielstand von 23:26 in Max-Schmeling-Halle.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
35,43:39:00,23:25,Tor (6M)! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 23:25.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
36,43:03:00,,Tor! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 22:25.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
37,42:17:00,22:24,Mathias Gidsel (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 22:24.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
38,42:10:00,,Marko Bezjak von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
39,42:04:00,21:24,Jacob Holm (Füchse Berlin) durchbricht die Abwehr und trifft zum 21:24.,Füchse Berlin,SC Magdeburg,0,0,0,0,0,0,0,0
40,41:48:00,,Auszeit Füchse Berlin,Füchse Berlin,SC Magdeburg,1,0,0,0,0,0,0,0
