,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,32:26:00,Nils Lichtlein (Füchse Berlin) trifft zum Spielstand von 32:26 in Max-Schmeling-Halle.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
2,59:29:00,,Niko Blaauw von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
3,58:23:00,31:26:00,"Neuer Spielstand in Berlin, 31:26 durch den Treffer 6M von Jacob Holm für Füchse Berlin.",Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
4,57:54:00,,"Parade des Torwarts von Füchse Berlin, Dejan Milosavljev.",Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
5,57:45:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
6,57:38:00,30:26:00,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 30:26.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
7,56:58:00,30:25:00,Tor! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 30:25.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
8,56:52:00,,Bobby Schagen (TBV Lemgo Lippe) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 29:25.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
9,56:17:00,29:24:00,"Neuer Spielstand in Berlin, 29:24 durch den Treffer von Dejan Milosavljev für Füchse Berlin.",Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
10,56:13:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Samuel Zehnder.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
11,55:54:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Füchse Berlin,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
12,55:46:00,,Finn Zecher (TBV Lemgo Lippe) mit einer Parade.,Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
13,55:09:00,28:24:00,"Neuer Spielstand in Berlin, 28:24 durch den Treffer RA von Lukas Zerbe für TBV Lemgo Lippe.",Füchse Berlin,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
14,54:49:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,Füchse Berlin,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
