Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,,Füchse Berlin wechselt den Torwart. Dejan Milosavljev kommt für Victor Kireev.,Füchse Berlin,THW Kiel,0,0,0,0,0,0,0,0
59:36:00,34:26:00,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie.,Füchse Berlin,THW Kiel,0,0,0,0,0,0,0,0
59:25:00,,Torwartwechsel bei Füchse Berlin. Victor Kireev kommt für Dejan Milosavljev.,Füchse Berlin,THW Kiel,0,0,0,0,0,0,0,0
58:51:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
58:50:00,34:25:00,Hans Lindberg (Füchse Berlin) trifft von der 7-Meter Linie.,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
57:55:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,THW Kiel,0,0,1,0,1,0,0,0
57:43:00,,Eric Johansson (THW Kiel) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
57:28:00,33:25:00,Tim Freihöfer (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 33:25.,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
57:04:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
56:59:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,THW Kiel,0,0,1,0,1,0,0,0
56:51:00,32:25:00,"Neuer Spielstand in Berlin, 32:25 durch den Treffer von Eric Johansson für THW Kiel.",Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
56:34:00,,Paul Drux (Füchse Berlin) erhält eine 2 Minuten Strafe.,Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,1
56:10:00,32:24:00,"Tor Fabian Wiede, Füchse Berlin",Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
56:10:00,,"Der Torwart von Füchse Berlin, Dejan Milosavljev hält den Wurf von Nikola Bilyk.",Füchse Berlin,THW Kiel,0,0,0,0,1,0,0,0
