,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,"Neuer Spielstand in Berlin, 31:21 durch den Treffer RR/fern von Max Häfner für TVB Stuttgart.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
2,58:49:00,31:20:00,Milos Vujovic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 31:20.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
3,58:09:00,30:20:00,Tor! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:20.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
4,57:55:00,30:19:00,Lasse Bredekjaer Andersson (Füchse Berlin) trifft zum Spielstand von 30:19 in Max-Schmeling-Halle.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
5,57:20:00,,Milos Vujovic (Füchse Berlin) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
6,57:08:00,29:19:00,Tor (6M)! Sascha Pfattheicher (TVB Stuttgart) netzt ein zum neuen Spielstand von 29:19.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
7,57:01:00,,Fehlwurf von Fabian Wiede (Füchse Berlin).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
8,56:19:00,29:18:00,Sascha Pfattheicher (TVB Stuttgart) überwindet den Torwart von (RA) zum neuen Spielstand von 29:18.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
9,55:42:00,29:17:00,"Neuer Spielstand in Berlin, 29:17 durch den Treffer von Milos Vujovic für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
10,55:40:00,,Egon Hanusz von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
11,54:44:00,28:17:00,"Neuer Spielstand in Berlin, 28:17 durch den Treffer RM/fern von Lasse Bredekjaer Andersson für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
12,54:26:00,,Samuel Röthlisberger blockt den Wurf von Lasse Bredekjaer Andersson.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
13,53:49:00,,"Der Torwart von Füchse Berlin, Victor Kireev hält den Wurf von Patrick Zieker.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
14,53:19:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
15,53:02:00,,Auszeit TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,1,0,0,0,0,0,0
16,52:54:00,27:17:00,"Tor Lasse Bredekjaer Andersson, Füchse Berlin",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
17,52:16:00,26:17:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 26:17 in Max-Schmeling-Halle.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
18,52:04:00,25:17:00,Tor (RM/fern)! Egon Hanusz (TVB Stuttgart) netzt ein zum neuen Spielstand von 25:17.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
19,51:07:00,25:16:00,Mijajlo Marsenic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 25:16.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
20,50:52:00,24:16:00,Tor! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 24:16.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
21,50:16:00,23:16,"Tor von der 7-Meter Linie von Patrick Zieker (TVB Stuttgart), neuer Spielstand 23:16.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
22,48:38:00,,Überragende Parade des Torwarts Victor Kireev (Füchse Berlin)! Patrick Zieker kann den Ball nicht im Tor...,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
23,48:32:00,,"Parade des Torwarts von TVB Stuttgart, Silvio Heinevetter.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
24,47:55:00,23:15,Patrick Zieker (TVB Stuttgart) trifft von (LA). Neuer Spielstand in Max-Schmeling-Halle: 23:15.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
25,47:04:00,,"Fabian Wiede wirft auf das Tor, trifft aber nur den Pfosten.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
26,46:24:00,23:14,Patrick Zieker (TVB Stuttgart) trifft von der 7-Meter Linie.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
27,45:35:00,,Zeitstrafe vorbei TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
28,45:29:00,23:13,"Neuer Spielstand in Berlin, 23:13 durch den Treffer von Fabian Wiede für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
29,45:17:00,,"Chance für Lasse Bredekjaer Andersson (Füchse Berlin), er trifft aber nur den Pfosten.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
30,44:54:00,22:13,Patrick Zieker (TVB Stuttgart) trifft von der 7-Meter Linie und bringt den Spielstand auf 22:13.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
31,44:07:00,,Siebter Spieler eingewechselt TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,1,0,1,0,0
32,43:45:00,,"Mathias Gidsel wirft auf das Tor, trifft aber nur den Pfosten.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
33,43:30:00,,"Nach einem harten Foul hat Adam Lönn (TVB Stuttgart) nun zwei Minuten Zeit, um sich auszuruhen.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,1,0
34,42:24:00,22:11,Tor! Jacob Holm (Füchse Berlin) netzt ein zum neuen Spielstand von 22:11.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
35,42:10:00,,"Gute Torchance, aber Adam Lönn (TVB Stuttgart) kann diese nicht erfolgreich verwandeln.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
36,41:59:00,,Lasse Bredekjaer Andersson (Füchse Berlin) scheitert am Torwart Silvio Heinevetter (TVB Stuttgart).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
37,41:26:00,,Überragende Parade des Torwarts Silvio Heinevetter (TVB Stuttgart)! Mathias Gidsel kann den Ball nicht im...,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
38,40:18:00,21:11,Hans Lindberg (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 21:11.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
39,40:16:00,,"Der Towart von TVB Stuttgart, Silvio Heinevetter pariert den gegebenen 7-Meter.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
40,39:02:00,,Auszeit Füchse Berlin,Füchse Berlin,TVB Stuttgart,1,0,0,0,0,0,0,0
41,38:57:00,,"Egon Hanusz (6M) wirft, jedoch neben das Tor.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
42,38:47:00,,Silvio Heinevetter (TVB Stuttgart) hält den Wurf von Jacob Holm.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
43,38:37:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
44,38:27:00,,Parade von Torwart Silvio Heinevetter (TVB Stuttgart).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
45,37:52:00,20:11,"Neuer Spielstand in Berlin, 20:11 durch den Treffer von Egon Hanusz für TVB Stuttgart.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
46,37:41:00,20:10,Tim Freihöfer (Füchse Berlin) trifft zum Spielstand von 20:10 in Max-Schmeling-Halle.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
47,36:59:00,,"Der Torwart von Füchse Berlin, Victor Kireev pariert den Wurf.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
48,36:05:00,19:10,Jacob Holm (Füchse Berlin) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 19:10.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
49,35:57:00,,Zeitstrafe vorbei TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
50,35:31:00,,"Der Torwart von TVB Stuttgart, Silvio Heinevetter hält den Wurf von Tim Freihöfer.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
51,34:49:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
52,34:17:00,,Siebter Spieler eingewechselt TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,1,0,1,0,0
53,34:06:00,18:10,"Neuer Spielstand in Berlin, 18:10 durch den Treffer 6M von Jacob Holm für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
54,33:50:00,,Fynn-Luca Nicolaus von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
55,33:46:00,,Fynn-Luca Nicolaus (TVB Stuttgart) erhält eine 2 Minuten Strafe.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,1,0
56,33:24:00,,Silvio Heinevetter (TVB Stuttgart) bleibt Sieger im 7-Meter-Duell gegen Hans Lindberg (Füchse Berlin).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
57,32:33:00,,Parade von Torwart Silvio Heinevetter (TVB Stuttgart).,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
58,31:11:00,,Adam Lönn von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
59,,,HALBZEIT (17:10),Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
60,30:00:00,17:10,Mathias Gidsel (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 17:10.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
61,29:33:00,,Victor Kireev (Füchse Berlin) hält den Wurf von Nico Schöttle.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
62,29:00:00,,Max Darj von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
63,28:39:00,16:10,Tor (6M)! Max Häfner (TVB Stuttgart) netzt ein zum neuen Spielstand von 16:10.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
64,28:28:00,16:09,"Neuer Spielstand in Berlin, 16:9 durch den Treffer von Paul Drux für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
65,27:43:00,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
66,26:43:00,15:09,"Tor von der 7-Meter Linie von Hans Lindberg (Füchse Berlin), neuer Spielstand 15:9.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
67,25:39:00,14:09,Nico Schöttle (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 14:9.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
68,25:17:00,,Auszeit TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,1,0,0,0,0,0,0
69,25:10:00,14:08,Mathias Gidsel (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 14:8.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
70,25:02:00,,Jan Forstbauer von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
71,24:49:00,13:08,Tor! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 13:8.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
72,24:31:00,,Zeitstrafe vorbei TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
73,24:21:00,,Siebter Spieler eingewechselt TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,1,0,1,0,0
74,24:04:00,12:08,Hans Lindberg (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 12:8.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
75,22:59,,Siebter Spieler eingewechselt TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,0,0,1,0,1,0,0
76,22:46,,Überragende Parade des Torwarts Silvio Heinevetter (TVB Stuttgart)! Jacob Holm kann den Ball nicht im Tor unterbringen!,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
77,22:30,,Oscar Bergendahl von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
78,22:25,,Es gibt Gelb für Roi Sánchez (TVB Stuttgart) von Kern/Kuschel.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,0,0
79,22:25,,Oscar Bergendahl geht den Gegner zu stark an. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,TVB Stuttgart,0,0,0,0,0,1,1,0
80,22:21,11:08,"Neuer Spielstand in Berlin, 11:8 durch den Treffer 6M von Hans Lindberg für Füchse Berlin.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
81,21:59,,"Wurf von Jan Forstbauer (TVB Stuttgart), aber der Ball landet nur am Pfosten.",Füchse Berlin,TVB Stuttgart,0,0,0,0,0,0,0,0
82,21:44,,Auszeit TVB Stuttgart,Füchse Berlin,TVB Stuttgart,0,1,0,0,0,0,0,0
