Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Parade von Torwart Malte Semisch (GWD Minden).,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
59:32:00,42:35:00,Mats Korte (GWD Minden) trifft zum Spielstand von 42:35 in Max-Schmeling-Halle.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
59:13:00,42:34:00,"Neuer Spielstand in Berlin, 42:34 durch den Treffer von Hans Lindberg für Füchse Berlin.",Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
58:24:00,41:34:00,Mathias Bitsch (GWD Minden) trifft zum Spielstand von 41:34 in Max-Schmeling-Halle.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
57:39:00,41:33:00,Tomas Urban (GWD Minden) überwindet den Torwart zum neuen Spielstand von 41:33.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
57:33:00,,"Parade des Torwarts von GWD Minden, Malte Semisch.",Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
57:26:00,,"Torwurf von Nils Lichtlein (Füchse Berlin), aber der Ball trifft nur die Latte.",Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
57:14:00,,Auszeit Füchse Berlin,Füchse Berlin,GWD Minden,1,0,0,0,0,0,0,0
57:06:00,41:32:00,Tor! Besard Hakaj (GWD Minden) netzt ein zum neuen Spielstand von 41:32.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
56:30:00,,Der Wurfversuch von Doruk Pehlivan (GWD Minden) wurde durch einen Block von Max Darj verhindert.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
55:56:00,41:31:00,Besard Hakaj (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 41:31.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
55:52:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
55:31:00,41:30:00,Jacob Holm (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 41:30.,Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
55:19:00,40:30:00,Tor (RM/fern)! Mathias Gidsel (Füchse Berlin) netzt ein zum neuen Spielstand von 40:30.,Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
54:52:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,GWD Minden,0,0,1,0,1,0,0,0
54:39:00,,"Der Torwart von Füchse Berlin, Victor Kireev pariert den Wurf.",Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
54:30:00,39:30:00,"Neuer Spielstand in Berlin, 39:30 durch den Treffer LA von Tim Freihöfer für Füchse Berlin.",Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
53:59:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,GWD Minden,0,0,1,0,1,0,0,0
53:44:00,,"Nach einem harten Foul hat Mijajlo Marsenic (Füchse Berlin) nun zwei Minuten Zeit, um sich auszuruhen.",Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,1
53:43:00,38:30:00,"Neuer Spielstand in Berlin, 38:30 durch den Treffer von Doruk Pehlivan für GWD Minden.",Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
53:34:00,38:29:00,Mathias Gidsel (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 38:29.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
52:56:00,37:29:00,Tor! Magnus Holpert (GWD Minden) netzt ein zum neuen Spielstand von 37:29.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
52:03:00,37:28:00,Mathias Gidsel (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 37:28.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
51:43:00,,Nun wird Victor Kireev für Füchse Berlin im Tor stehen.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
51:31:00,36:28:00,"Neuer Spielstand in Berlin, 36:28 durch den Treffer von Magnus Holpert für GWD Minden.",Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
51:14:00,,Auszeit GWD Minden,Füchse Berlin,GWD Minden,0,1,0,0,0,0,0,0
51:10:00,36:27:00,Mijajlo Marsenic (Füchse Berlin) trifft zum Spielstand von 36:27 in Max-Schmeling-Halle.,Füchse Berlin,GWD Minden,0,0,0,0,0,0,0,0
50:53:00,,Zeitstrafe vorbei GWD Minden,Füchse Berlin,GWD Minden,0,0,0,0,0,1,0,0
50:27:00,35:27:00,Tor (6M)! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 35:27.,Füchse Berlin,GWD Minden,0,0,0,0,0,1,0,0
50:07:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,GWD Minden,0,0,0,0,1,1,0,0
49:49:00,,Siebter Spieler eingewechselt GWD Minden,Füchse Berlin,GWD Minden,0,0,0,1,1,1,0,0
49:42:00,34:27:00,Lasse Bredekjaer Andersson (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 34:27.,Füchse Berlin,GWD Minden,0,0,0,0,1,1,0,0
49:39:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,GWD Minden,0,0,1,0,1,1,0,0
49:11:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Mathias Bitsch.,Füchse Berlin,GWD Minden,0,0,0,0,1,1,0,0
48:47:00,,Besard Hakaj (GWD Minden) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Füchse Berlin,GWD Minden,0,0,0,0,1,1,1,0
48:46:00,33:27:00,"Neuer Spielstand in Berlin, 33:27 durch den Treffer 6M von Mathias Gidsel für Füchse Berlin.",Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
48:19:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,GWD Minden,0,0,1,0,1,0,0,0
48:07:00,,Mohamed Amine Darmoul (GWD Minden) trifft von der 7-Meter Linie und bringt den Spielstand auf 32:27.,Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,0
48:02:00,,Max Darj geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,GWD Minden,0,0,0,0,1,0,0,1
