Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,39:30:00,"Neuer Spielstand in Berlin, 39:30 durch den Treffer 6M von Fabian Wiede für Füchse Berlin.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
59:31:00,38:30:00,Manuel Zehnder (HC Erlangen) trifft zum Spielstand von 38:30 in Max-Schmeling-Halle.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
58:54:00,38:29:00,"Neuer Spielstand in Berlin, 38:29 durch den Treffer von Lasse Bredekjaer Andersson für Füchse Berlin.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
58:50:00,37:29:00,Manuel Zehnder (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 37:29.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
58:11:00,37:28:00,Lasse Bredekjaer Andersson (Füchse Berlin) trifft von (RM/fern). Neuer Spielstand in Max-Schmeling-Halle: 37:28.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
57:51:00,,"Torwurf von Lasse Bredekjaer Andersson (Füchse Berlin), aber der Ball trifft nur die Latte.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
57:44:00,,"Gute Torchance, aber Manuel Zehnder (HC Erlangen) kann diese nicht erfolgreich verwandeln.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
56:44:00,36:28:00,Tor (LA)! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 36:28.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
56:42:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
55:54:00,,Auszeit Füchse Berlin,Füchse Berlin,HC Erlangen,1,0,0,0,0,0,0,0
55:51:00,35:28:00,Johannes Sellin (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 35:28.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
55:39:00,,"Block von Max Darj, der den Torwurf von Lutz Heiny verhindert.",Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
55:27:00,35:27:00,Tor! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 35:27.,Füchse Berlin,HC Erlangen,0,0,0,0,0,0,0,0
