Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:50:00,36:32:00,"Neuer Spielstand in Berlin, 36:32 durch den Treffer RM/fern von Matthes Langhoff für Füchse Berlin.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:20:00,35:32:00,Tor! Thore Feit (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 35:32.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:28:00,35:31:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart von (RA) zum neuen Spielstand von 35:31.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:22:00,,Alexander Pinski (Handball Sport Verein Hamburg) hält den Wurf von Max Darj.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:27:00,35:30:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von (RA). Neuer Spielstand in Max-Schmeling-Halle: 35:30.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:46:00,,"Der Torwart von Füchse Berlin, Dejan Milosavljev pariert den Wurf.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:32:00,35:29:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 35:29 in Max-Schmeling-Halle.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:53:00,34:29:00,"Neuer Spielstand in Berlin, 34:29 durch den Treffer von Lukas Ossenkopp für Handball Sport Verein Hamburg.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:16:00,34:28:00,"Neuer Spielstand in Berlin, 34:28 durch den Treffer 6M von Milos Vujovic für Füchse Berlin.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:07:00,33:28:00,Lukas Ossenkopp (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 33:28.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:33:00,,Jacob Holm von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:07:00,33:27:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 33:27.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:34:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
53:07:00,,"Milos Vujovic (RM/fern) wirft, jedoch neben das Tor.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
52:33:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,1,0,1,0,0
52:23:00,33:26:00,Tor (6M)! Nils Lichtlein (Füchse Berlin) netzt ein zum neuen Spielstand von 33:26.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
52:13:00,32:26:00,"Neuer Spielstand in Berlin, 32:26 durch den Treffer von Leif Tissier für Handball Sport Verein Hamburg.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
51:46:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,1,0,1,0,0
51:34:00,,Alexander Pinski (Handball Sport Verein Hamburg) bleibt Sieger im 7-Meter-Duell gegen Hans Lindberg (Füchse Berlin).,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
51:29:00,,Der Schiedsrichter zeigt Dani Baijens (Handball Sport Verein Hamburg) die Rote Karte.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
51:29:00,,Dani Baijens (Handball Sport Verein Hamburg) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
49:03:00,,Auszeit Füchse Berlin,Füchse Berlin,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
46:05:00,,Auszeit Handball Sport Verein Hamburg,Füchse Berlin,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
50:59:00,32:25:00,Leif Tissier (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 32:25.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:23:00,32:24:00,Tor! Hans Lindberg (Füchse Berlin) netzt ein zum neuen Spielstand von 32:24.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:41:00,31:24:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 31:24 in Max-Schmeling-Halle.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48:59:00,30:24:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 30:24.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48:06:00,30:23:00,"Neuer Spielstand in Berlin, 30:23 durch den Treffer RM/fern von Azat Valiullin für Handball Sport Verein Hamburg.",Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:00:00,30:22:00,Hans Lindberg (Füchse Berlin) trifft von der 7-Meter Linie.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
46:23:00,,Der Wurf von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) landet hinter dem Tor.,Füchse Berlin,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
