Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:39:00,35:25:00,Max Darj (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 35:25.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
59:31:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
58:10:00,,André Gomes (MT Melsungen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 34:25.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
57:45:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
57:33:00,,Milos Vujovic von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
57:04:00,34:24:00,"Neuer Spielstand in Berlin, 34:24 durch den Treffer von Agustin Casado Marcelo für MT Melsungen.",Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
57:01:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,1,0,1,0,0,0
56:34:00,34:23:00,Tor! Mijajlo Marsenic (Füchse Berlin) netzt ein zum neuen Spielstand von 34:23.,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
56:07:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
55:46:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,1,0,1,0,0,0
55:43:00,,Max Darj geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,1
55:42:00,33:23:00,André Gomes (MT Melsungen) trifft von (RM/fern). Neuer Spielstand in Max-Schmeling-Halle: 33:23.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
54:44:00,33:22:00,Milos Vujovic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 33:22.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
54:31:00,,Elvar Örn Jonsson von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
53:16:00,32:22:00,Tor! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 32:22.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
53:11:00,,Arnar Freyr Arnarsson von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
53:00:00,,Zeitstrafe vorbei MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
52:37:00,,Siebter Spieler eingewechselt MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,1,0,1,0,0
52:29:00,31:22:00,Tor (6M)! Max Darj (Füchse Berlin) netzt ein zum neuen Spielstand von 31:22.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
51:56:00,30:22:00,Aidenas Malasinskas (MT Melsungen) trifft von der 7-Meter Linie und bringt den Spielstand auf 30:22.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
50:51:00,,Es gibt eine 2 Minuten Strafe für Julius Kühn (MT Melsungen).,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,1,0
50:50:00,30:21:00,Milos Vujovic (Füchse Berlin) trifft zum Spielstand von 30:21 in Max-Schmeling-Halle.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
50:18:00,,Der Strafwurf von Timo Kastening wurde von Victor Kireev (Füchse Berlin) gehalten.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
49:19:00,29:21:00,Die Vorbereitung von Mathias Gidsel (Füchse Berlin) führt zum Treffer durch Mijajlo Marsenic.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
48:55:00,,"Der Torwart von Füchse Berlin, Victor Kireev hält den Wurf von Elvar Örn Jonsson.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
47:44:00,,Robert Weber von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
47:14:00,,Parade von Torwart Victor Kireev (Füchse Berlin).,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
46:37:00,,Adam Morawski (MT Melsungen) mit einer Parade.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
46:19:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
45:40:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,1,0,1,0,0,0
45:30:00,28:21:00,"Neuer Spielstand in Berlin, 28:21 durch den Treffer von Julius Kühn für MT Melsungen.",Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
45:00:00,28:20:00,45:00:00 28:20:00 Jacob Holm (Füchse Berlin) legt den Treffer von Milos Vujovic auf. Es steht 28:20.,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,0
44:55:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,1,0,1,0,0,0
44:50:00,,"Nach einem harten Foul hat Paul Drux (Füchse Berlin) nun zwei Minuten Zeit, um sich auszuruhen.",Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,1
44:14:00,27:20:00,Timo Kastening (MT Melsungen) verwandelt einen Tempogegenstoß.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
44:10:00,,Mathias Gidsel von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
43:22:00,27:19:00,"Tor Mijajlo Marsenic, Füchse Berlin",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
42:55:00,,Siebter Spieler eingewechselt MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,1,0,0,0,0
42:41:00,26:19:00,Paul Drux (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 26:19.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
42:10:00,25:19:00,Elvar Örn Jonsson (MT Melsungen) tankt sich durch und erzielt einen Treffer zum 25:19.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
41:39:00,25:18:00,"Neuer Spielstand in Berlin, 25:18 durch den Treffer von Mathias Gidsel für Füchse Berlin.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
41:16:00,,Victor Kireev (Füchse Berlin) hält den Wurf von Elvar Örn Jonsson.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
41:10:00,,Torwartwechsel bei Füchse Berlin. Victor Kireev kommt für Dejan Milosavljev.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
41:00:00,,Siebter Spieler eingewechselt MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,1,0,0,0,0
40:42:00,24:18:00,"Neuer Spielstand in Berlin, 24:18 durch den Treffer 6M von Mijajlo Marsenic für Füchse Berlin.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
39:58:00,23:18,David Mandic (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 23:18.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
39:41:00,,Auszeit MT Melsungen,Füchse Berlin,MT Melsungen,0,1,0,0,0,0,0,0
39:24:00,23:17,Mathias Gidsel (Füchse Berlin) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 23:17.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
38:48:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
38:18:00,,"Wurf von Aidenas Malasinskas (MT Melsungen), aber der Ball landet nur am Pfosten.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
37:21:00,22:17,Mijajlo Marsenic (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 22:17.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
36:22:00,,Tor (RM/fern)! Elvar Örn Jonsson (MT Melsungen) netzt ein zum neuen Spielstand von 21:17.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
35:41:00,21:16,Tor! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 21:16.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
35:26:00,20:16,Timo Kastening (MT Melsungen) trifft zum Spielstand von 20:16 in Max-Schmeling-Halle.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
34:59:00,,Adam Morawski (MT Melsungen) mit einer Parade.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
34:40:00,,Zeitstrafe vorbei MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
34:27:00,,Siebter Spieler eingewechselt MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,1,0,1,0,0
34:17:00,20:15,"Neuer Spielstand in Berlin, 20:15 durch den Treffer LA von Milos Vujovic für Füchse Berlin.",Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
33:43:00,19:15,Tor (RA)! Timo Kastening (MT Melsungen) netzt ein zum neuen Spielstand von 19:15.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
33:10:00,,Siebter Spieler eingewechselt MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,1,0,1,0,0
33:03:00,19:14,"Neuer Spielstand in Berlin, 19:14 durch den Treffer von Mijajlo Marsenic für Füchse Berlin.",Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
32:36:00,,Es gibt eine 2 Minuten Strafe für Gleb Kalarash (MT Melsungen).,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,1,0
32:27:00,18:14,André Gomes (MT Melsungen) trifft von (6M). Neuer Spielstand in Max-Schmeling-Halle: 18:14.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
32:12:00,,Zeitstrafe vorbei MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
31:46:00,,Zeitstrafe vorbei MT Melsungen,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
31:35:00,,31:21:00 18:13 Milos Vujovic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 18:13.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
31:07:00,,Überragende Parade des Torwarts Adam Morawski (MT Melsungen)! Robert Weber kann den Ball nicht im Tor unterbringen!,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
31:00:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,MT Melsungen,0,0,0,0,1,1,0,0
30:46:00,,Aidenas Malasinskas (MT Melsungen) scheitert am Torwart Dejan Milosavljev (Füchse Berlin).,Füchse Berlin,MT Melsungen,0,0,0,0,1,1,0,0
30:00:00,,HALBZEIT (17:13),Füchse Berlin,MT Melsungen,0,0,0,0,1,1,0,0
29:59:00,,Dejan Milosavljev (Füchse Berlin) mit einer Parade.,Füchse Berlin,MT Melsungen,0,0,0,0,1,1,0,0
29:42:00,,Julius Kühn (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Füchse Berlin,MT Melsungen,0,0,0,0,1,1,1,0
29:21:00,,Elvar Örn Jonsson (MT Melsungen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Füchse Berlin,MT Melsungen,0,0,0,0,1,1,1,0
28:56:00,,Siebter Spieler eingewechselt Füchse Berlin.,Füchse Berlin,MT Melsungen,0,0,1,0,1,0,0,0
28:51:00,,Max Darj geht den Gegner zu stark an. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,MT Melsungen,0,0,0,0,1,0,0,1
28:50:00,17:13,André Gomes (MT Melsungen) trifft zum Spielstand von 17:13 in Max-Schmeling-Halle.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
28:17:00,17:12,17:12:00 Max Darj (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 17:12.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
28:09:00,,"Agustin Casado Marcelo (RM/fern) wirft, jedoch neben das Tor.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
27:30:00,,Auszeit MT Melsungen.,Füchse Berlin,MT Melsungen,0,1,0,0,0,0,0,0
27:20:00,16:12,16:12:00 Tor! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 16:12.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
26:40:00,,David Mandic von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
26:00:00,15:12,15:12:00 Fabian Wiede (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 15:12.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
24:09:00,14:12,14:12:00 Tor! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 14:12.,Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
23:34,13:12,"Tor von der 7-Meter Linie von Timo Kastening (MT Melsungen), neuer Spielstand 13:12.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
23:08,13:11,"Neuer Spielstand in Berlin, 13:11 durch den Treffer von Arnar Freyr Arnarsson für MT Melsungen.",Füchse Berlin,MT Melsungen,0,0,0,0,0,0,0,0
22:49,,Zeitstrafe vorbei MT Melsungen.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
22:28,13:10,13:10:00 Milos Vujovic (Füchse Berlin) trifft zum Spielstand von 13:10 in Max-Schmeling-Halle.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
22:04,13:10,13:10:00 Milos Vujovic (Füchse Berlin) trifft zum Spielstand von 13:10 in Max-Schmeling-Halle.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
21:56,,Aidenas Malasinskas von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
21:14,12:10,12:10:00 Tor (RM/fern)! Fabian Wiede (Füchse Berlin) netzt ein zum neuen Spielstand von 12:10.,Füchse Berlin,MT Melsungen,0,0,0,0,0,1,0,0
