Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,"Tor! Es war Miro Schluroff (VfL Gummersbach), der das Tor von Mathis Häseler vorbereitete.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,1,0,0
59:42:00,,Siebter Spieler eingewechselt VfL Gummersbach,Füchse Berlin,VfL Gummersbach,0,0,0,1,0,1,0,0
59:35:00,,"Nach einem harten Foul hat Tom Kiesler (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,1,1,0
59:34:00,38:32:00,"Neuer Spielstand in Berlin, 38:32 durch den Treffer von Max Darj für Füchse Berlin.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
59:04:00,,"Neuer Spielstand in Berlin, 37:32 durch den Treffer 6M von Miro Schluroff für VfL Gummersbach.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
58:27:00,,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 37:31.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
57:56:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
57:25:00,37:30:00,Tor! Matthes Langhoff (Füchse Berlin) netzt ein zum neuen Spielstand von 37:30.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
57:21:00,,Zeitstrafe vorbei Füchse Berlin,Füchse Berlin,VfL Gummersbach,0,0,0,0,1,0,0,0
56:40:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,VfL Gummersbach,0,0,1,0,1,0,0,0
56:30:00,,Tom Jansen (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 36:30.,Füchse Berlin,VfL Gummersbach,0,0,0,0,1,0,0,0
56:08:00,,Nils Lichtlein von Füchse Berlin unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Füchse Berlin,VfL Gummersbach,0,0,0,0,1,0,0,0
55:42:00,,Siebter Spieler eingewechselt Füchse Berlin,Füchse Berlin,VfL Gummersbach,0,0,1,0,1,0,0,0
55:30:00,36:29:00,Mathis Häseler (VfL Gummersbach) trifft von (RA). Neuer Spielstand in Max-Schmeling-Halle: 36:29.,Füchse Berlin,VfL Gummersbach,0,0,0,0,1,0,0,0
55:19:00,,2-Minuten-Strafe für Max Darj. Füchse Berlin muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Füchse Berlin,VfL Gummersbach,0,0,0,0,1,0,0,1
54:10:00,36:28:00,Tor (6M)! Robert Weber (Füchse Berlin) netzt ein zum neuen Spielstand von 36:28.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
54:05:00,,"Wurf von Miro Schluroff (VfL Gummersbach), aber der Ball landet nur am Pfosten.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
53:49:00,,Auszeit VfL Gummersbach,Füchse Berlin,VfL Gummersbach,0,1,0,0,0,0,0,0
53:32:00,,53:32:00 Fehlwurf von Mijajlo Marsenic (Füchse Berlin).,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
53:24:00,,"53:24:00 Der Torwart von Füchse Berlin, Victor Kireev hält den Wurf von Ellidi Snaer Vidarsson.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
52:43:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
52:31:00,35:28:00,"Neuer Spielstand in Berlin, 35:28 durch den Treffer von Miro Schluroff für VfL Gummersbach.",Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
51:30:00,35:27:00,Robert Weber (Füchse Berlin) trifft von der 7-Meter Linie.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
51:07:00,,Victor Kireev (Füchse Berlin) mit einer Parade.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
50:00:00,34:27:00,Jacob Holm (Füchse Berlin) trifft zum Spielstand von 34:27 in Max-Schmeling-Halle.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
49:44:00,,Auszeit Füchse Berlin,Füchse Berlin,VfL Gummersbach,1,0,0,0,0,0,0,0
49:32:00,33:27:00,Tor (6M)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 33:27.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
49:17:00,33:26:00,Paul Drux (Füchse Berlin) trifft zum Spielstand von 33:26 in Max-Schmeling-Halle.,Füchse Berlin,VfL Gummersbach,0,0,0,0,0,0,0,0
