,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,Parade von Torwart Malte Semisch (GWD Minden).,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
2,58:55:00,25:28:00,Carles Asensio Cambra (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 25:28.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
3,58:42:00,24:28:00,"Neuer Spielstand in Minden, 24:28 durch den Treffer 6M von Frederik Ladefoged für Bergischer HC.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
4,57:59:00,,Auszeit Bergischer HC,GWD Minden,Bergischer HC,0,1,0,0,0,0,0,0
5,57:46:00,24:27:00,Tor (RM/fern)! Mathias Bitsch (GWD Minden) netzt ein zum neuen Spielstand von 24:27.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
6,57:32:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
7,57:27:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Bergischer HC,0,0,1,0,1,0,0,0
8,57:08:00,23:27,Isak Persson (Bergischer HC) trifft zum Spielstand von 23:27 in Kampa-Halle.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
9,56:35:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Bergischer HC,0,0,1,0,1,0,0,0
10,56:19:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
11,55:49:00,23:26,Tor! Mathias Bitsch (GWD Minden) netzt ein zum neuen Spielstand von 23:26.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
12,55:32:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Bergischer HC,0,0,1,0,1,0,0,0
13,55:31:00,,Tomas Urban geht den Gegner zu stark an. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,1
14,55:31:00,22:26,Noah Beyer (Bergischer HC) überwindet den Torwart von (LA) zum neuen Spielstand von 22:26.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
15,54:49:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Carles Asensio Cambra kann den Ball nicht im Tor ...,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
16,54:18:00,22:25,Tor (6M)! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 22:25.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
17,54:08:00,,Tomas Urban von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
18,53:10:00,,"Wurf von Tomas Urban (GWD Minden), aber der Ball landet nur am Pfosten.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
19,52:36:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
20,52:02:00,,"Parade des Torwarts von Bergischer HC, Christopher Rudeck.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
21,51:32:00,22:24,"Neuer Spielstand in Minden, 22:24 durch den Treffer LA von Noah Beyer für Bergischer HC.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
22,50:53:00,,"Marko Vignjevic (RM/fern) wirft, jedoch neben das Tor.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
23,49:48:00,22:23,Frederik Ladefoged (Bergischer HC) trifft von (6M). Neuer Spielstand in Kampa-Halle: 22:23.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
24,49:39:00,22:22,"Neuer Spielstand in Minden, 22:22 durch den Treffer von Marko Vignjevic für GWD Minden.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
25,49:03:00,21:22,Linus Arnesson (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 21:22.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
26,48:22:00,,Justus Nicolas Richtzenhain von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
27,48:18:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
28,47:27:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
29,47:05:00,21:21,Christopher Rudeck (Bergischer HC) trifft zum Spielstand von 21:21 in Kampa-Halle.,GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
30,46:59:00,,"Der Torwart von Bergischer HC, Christopher Rudeck hält den Wurf von Mathias Bitsch.",GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
31,46:26:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Bergischer HC,0,0,1,0,1,0,0,0
32,46:13:00,21:20,"Tor von der 7-Meter Linie von Linus Arnesson (Bergischer HC), neuer Spielstand 21:20.",GWD Minden,Bergischer HC,0,0,0,0,1,0,0,0
33,46:06:00,,"Nach einem harten Foul hat Carles Asensio Cambra (GWD Minden) nun zwei Minuten Zeit, um sich auszuruhen.",GWD Minden,Bergischer HC,0,0,0,0,1,0,0,1
34,46:02:00,,Der Wurfversuch von Marko Vignjevic (GWD Minden) wurde durch einen Block von Frederik Ladefoged verhindert.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
35,44:46:00,21:19,Tomas Urban (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 21:19.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
36,43:42:00,20:19,"Neuer Spielstand in Minden, 20:19 durch den Treffer von Mathias Bitsch für GWD Minden.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
37,42:50:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Marko Vignjevic.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
38,42:36:00,,Auszeit GWD Minden,GWD Minden,Bergischer HC,1,0,0,0,0,0,0,0
39,42:35:00,,Linus Arnesson von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
40,42:23:00,,Tomas Urban (GWD Minden) trifft nur den Pfosten.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
41,41:41:00,,"Chance für Tom Kare Nikolaisen (Bergischer HC), er trifft aber nur den Pfosten.",GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
42,41:24:00,,Marko Vignjevic von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
43,40:46:00,,Tom Kare Nikolaisen von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
44,39:58:00,19:19,Linus Arnesson (Bergischer HC) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 19:19.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
45,39:19:00,19:18,Niclas Pieczkowski (GWD Minden) überwindet den Torwart zum neuen Spielstand von 19:18.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
46,39:10:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,Bergischer HC,0,0,0,0,0,0,0,0
