,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:56:00,32:27:00,"Neuer Spielstand in Minden, 32:27 durch den Treffer 6M von Philipp Ahouansou für GWD Minden.",GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
2,59:24:00,31:27:00,Jacob Holm (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 31:27.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
3,59:11:00,31:26:00,Luka Sebetic (GWD Minden) trifft von (RR/fern). Neuer Spielstand in Kampa-Halle: 31:26.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
4,59:02:00,,Der Wurfversuch von Philipp Ahouansou (GWD Minden) wurde durch einen Block von Marko Kopljar verhindert.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
5,58:32:00,,Malte Semisch (GWD Minden) hält den Wurf von Mijajlo Marsenic.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
6,58:19:00,30:26:00,Philipp Ahouansou (GWD Minden) trifft zum Spielstand von 30:26 in Kampa-Halle.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
7,57:50:00,29:26:00,"Neuer Spielstand in Minden, 29:26 durch den Treffer 6M von Luka Sebetic für GWD Minden.",GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
8,57:23:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
9,56:57:00,28:26:00,Tor (LA)! Milos Vujovic (Füchse Berlin) netzt ein zum neuen Spielstand von 28:26.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
10,56:39:00,28:25:00,Philipp Ahouansou (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 28:25.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
11,56:31:00,27:25:00,Mijajlo Marsenic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 27:25.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
12,55:46:00,27:24:00,Philipp Ahouansou (GWD Minden) trifft zum Spielstand von 27:24 in Kampa-Halle.,GWD Minden,Füchse Berlin,0,0,0,0,0,0,0,0
