,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,"Manuel Zehnder (RM/fern) wirft, jedoch neben das Tor.",GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
2,59:05:00,25:32:00,Tor! Florian Kranzmann (GWD Minden) netzt ein zum neuen Spielstand von 25:32.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
3,58:59:00,,Yannik Bialowas von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
4,58:35:00,,Zeitstrafe vorbei HC Erlangen,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
5,58:30:00,24:32:00,"Neuer Spielstand in Minden, 24:32 durch den Treffer von Max Staar für GWD Minden.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
6,58:16:00,,"Gute Torchance, aber Lutz Heiny (HC Erlangen) kann diese nicht erfolgreich verwandeln.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
7,57:52:00,,Überragende Parade des Torwarts Yahav Shamir (GWD Minden)! Johannes Sellin kann den Ball nicht im...,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
8,57:37:00,,Siebter Spieler eingewechselt HC Erlangen,GWD Minden,HC Erlangen,0,0,0,1,0,1,0,0
9,57:19:00,23:32,"Neuer Spielstand in Minden, 23:32 durch den Treffer 6M von Jonah Jungmann für GWD Minden.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
10,57:08:00,22:32,Tor! Johannes Sellin (HC Erlangen) netzt ein zum neuen Spielstand von 22:32.,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
11,56:43:00,,Siebter Spieler eingewechselt HC Erlangen,GWD Minden,HC Erlangen,0,0,0,1,0,1,0,0
12,56:39:00,22:31,Der 7-Meter wurde von Florian Kranzmann (GWD Minden) erfolgreich verwandelt.,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
13,56:32:00,,Justin Kurch (HC Erlangen) erhält eine 2 Minuten Strafe.,GWD Minden,HC Erlangen,0,0,0,0,0,1,1,0
14,56:07:00,,Torwartwechsel bei HC Erlangen. Bertram Obling kommt für Klemen Ferlin.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
15,56:06:00,21:31,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
16,55:55:00,,"Der Torwart von GWD Minden, Yahav Shamir hält den Wurf von Yannik Bialowas.",GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
17,54:59:00,21:30,Tor (6M)! Florian Kranzmann (GWD Minden) netzt ein zum neuen Spielstand von 21:30.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
18,54:58:00,,Klemen Ferlin (HC Erlangen) hält den Wurf von Niclas Pieczkowski.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
19,54:14:00,,Manuel Zehnder von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
20,53:43:00,,Tomas Urban von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
21,53:36:00,20:30,Johannes Sellin (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 20:30.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
22,53:07:00,,Zeitstrafe vorbei HC Erlangen,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
23,52:44:00,,Siebter Spieler eingewechselt HC Erlangen,GWD Minden,HC Erlangen,0,0,0,1,0,1,0,0
24,52:31:00,20:29,"Neuer Spielstand in Minden, 20:29 durch den Treffer von Jonah Jungmann für GWD Minden.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
25,52:13:00,19:29,Christopher Bissel (HC Erlangen) trifft zum Spielstand von 19:29 in Kampa-Halle.,GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
26,51:38:00,19:28,"Neuer Spielstand in Minden, 19:28 durch den Treffer 6M von Sebastian Firnhaber für HC Erlangen.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
27,51:14:00,,Siebter Spieler eingewechselt HC Erlangen,GWD Minden,HC Erlangen,0,0,0,1,0,1,0,0
28,51:04:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",GWD Minden,HC Erlangen,0,0,0,0,0,1,0,0
29,50:51:00,,2-Minuten-Strafe für Nikolai Link. HC Erlangen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,HC Erlangen,0,0,0,0,0,1,1,0
30,50:27:00,,Yahav Shamir (GWD Minden) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
31,50:15:00,19:27,Johannes Sellin (HC Erlangen) trifft von (RA). Neuer Spielstand in Kampa-Halle: 19:27.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
32,49:28:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
33,49:23:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
34,49:11:00,,Sebastian Firnhaber blockt den Wurf von Luka Sebetic.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
35,48:07:00,19:26,Steffen Fäth (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 19:26.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
36,47:49:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HC Erlangen,0,0,1,0,1,0,0,0
37,47:47:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
38,47:26:00,,Carles Asensio Cambra (GWD Minden) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,1
39,47:25:00,19:25,Christopher Bissel (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 19:25.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
40,47:03:00,19:24,"Neuer Spielstand in Minden, 19:24 durch den Treffer von Luka Sebetic für GWD Minden.",GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
41,46:34:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HC Erlangen,0,0,1,0,1,0,0,0
42,46:21:00,18:24,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie und bringt den Spielstand auf 18:24.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
43,45:43:00,,Klemen Ferlin (HC Erlangen) hält den Wurf von Tomas Urban.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,0
44,45:42:00,,Tomas Urban (GWD Minden) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,GWD Minden,HC Erlangen,0,0,0,0,1,0,0,1
45,45:23:00,,HC Erlangen wechselt den Torwart. Klemen Ferlin kommt für Bertram Obling.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
46,45:08:00,18:23,Mats Korte (GWD Minden) trifft von der 7-Meter Linie.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
47,45:04:00,,Der eingewechselte Torwart Bertram Obling (HC Erlangen) steht nun zwischen den Pfosten.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
48,45:03:00,,Frank Carstens von GWD Minden wurde mit der Gelben Karte von Koppl/Regner verwarnt.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
49,44:10:00,,Der Wurfversuch von Niclas Pieczkowski (GWD Minden) wurde durch einen Block von Tim Zechel verhindert.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
50,43:37:00,17:23,Christopher Bissel (HC Erlangen) überwindet den Torwart von (LA) zum neuen Spielstand von 17:23.,GWD Minden,HC Erlangen,0,0,0,0,0,0,0,0
