,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:49:00,26:29:00,Mats Korte (GWD Minden) trifft von der 7-Meter Linie und bringt den Spielstand auf 26:29.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
2,59:31:00,,Tor (LA)! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 25:29.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
3,58:43:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic pariert den Wurf.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
4,58:32:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
5,58:28:00,25:28:00,Radojica Cepic (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 25:28.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
6,58:14:00,,GWD Minden wechselt den Torwart. Yahav Shamir kommt für Malte Semisch.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
7,58:09:00,25:27:00,Mohamed Amine Darmoul (GWD Minden) trifft zum Spielstand von 25:27 in Kampa-Halle.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
8,57:49:00,,Es gibt Gelb für Benjamin Matschke (HSG Wetzlar) von Dorff/Dorff.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
9,57:41:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HSG Wetzlar,0,0,1,0,1,0,0,0
10,57:34:00,24:27:00,Lenny Rubin (HSG Wetzlar) trifft von (RM/fern). Neuer Spielstand in Kampa-Halle: 24:27.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
11,57:02:00,24:26:00,"Neuer Spielstand in Minden, 24:26 durch den Treffer 6M von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
12,56:39:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HSG Wetzlar,0,0,1,0,1,0,0,0
13,56:32:00,23:26,"Tor von der 7-Meter Linie von Lars Weissgerber (HSG Wetzlar), neuer Spielstand 23:26.",GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
14,56:28:00,,2-Minuten-Strafe für Justus Nicolas Richtzenhain. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,1
15,55:45:00,23:25,"Neuer Spielstand in Minden, 23:25 durch den Treffer von Tomas Urban für GWD Minden.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
16,54:59:00,22:25,Lenny Rubin (HSG Wetzlar) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 22:25.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
17,54:03:00,22:24,"Neuer Spielstand in Minden, 22:24 durch den Treffer von Justus Nicolas Richtzenhain für GWD Minden.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
18,53:36:00,21:24,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 21:24.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
19,53:03:00,,Parade von Torwart Anadin Suljakovic (HSG Wetzlar).,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
20,52:39:00,,Auszeit GWD Minden,GWD Minden,HSG Wetzlar,1,0,0,0,0,0,0,0
21,52:31:00,21:23,Tor! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 21:23.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
22,52:03:00,21:22,"Neuer Spielstand in Minden, 21:22 durch den Treffer 6M von Radojica Cepic für HSG Wetzlar.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
23,51:20:00,21:21,Hendrik Wagner (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 21:21.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
24,50:46:00,,Luka Sebetic (GWD Minden) trifft die Latte.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
25,50:12:00,21:20,Hendrik Wagner (HSG Wetzlar) tankt sich durch und erzielt einen Treffer zum 21:20.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
26,49:36:00,,Anadin Suljakovic (HSG Wetzlar) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
27,49:11:00,21:19,Mohamed Amine Darmoul (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 21:19.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
28,48:39:00,,Der Wurfversuch von Jovica Nikolic (HSG Wetzlar) wurde durch einen Block von Maximilian Janke verhindert.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
29,47:21:00,20:19,Tor (6M)! Justus Nicolas Richtzenhain (GWD Minden) netzt ein zum neuen Spielstand von 20:19.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
30,47:10:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Vladan Lipovina.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
31,46:40:00,,Der Wurf von Philipp Ahouansou (GWD Minden) landet hinter dem Tor.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
32,45:51:00,,Frank Carstens von GWD Minden wurde mit der Gelben Karte von Dorff/Dorff verwarnt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
33,45:32:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
34,45:02:00,19:19,Tomas Urban (GWD Minden) trifft im Tempogegenstoß zum neuen Spielstand von 19:19.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
35,44:47:00,,Tomas Urban von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
36,43:53:00,,Wurf daneben HSG Wetzlar,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
37,43:13:00,,Tomas Urban von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
38,43:05:00,18:19,Adam Nyfjäll (HSG Wetzlar) trifft zum Spielstand von 18:19 in Kampa-Halle.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
39,42:15:00,18:18,Philipp Ahouansou (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 18:18.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
40,42:06:00,17:18,Jonas Schelker (HSG Wetzlar) trifft von (RM/fern). Neuer Spielstand in Kampa-Halle: 17:18.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
41,41:06:00,17:17,Tor (RL/fern)! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 17:17.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
42,40:32:00,16:17,"Neuer Spielstand in Minden, 16:17 durch den Treffer von Adam Nyfjäll für HSG Wetzlar.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
43,39:52:00,16:16,"Neuer Spielstand in Minden, 16:16 durch den Treffer 6M von Philipp Ahouansou für GWD Minden.",GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
44,38:29:00,15:16,Vladan Lipovina (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 15:16.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
45,38:14:00,15:15,Tor! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 15:15.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
46,37:20:00,14:15,Emil Mellegard (HSG Wetzlar) trifft zum Spielstand von 14:15 in Kampa-Halle.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
47,37:06:00,,Maximilian Janke geht den Gegner zu stark an. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,1
48,36:18:00,,Till Klimpke (HSG Wetzlar) hält den Wurf von Mohamed Amine Darmoul.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
49,36:17:00,,Auszeit HSG Wetzlar,GWD Minden,HSG Wetzlar,0,1,0,0,0,0,0,0
50,36:11:00,,Vladan Lipovina von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
51,35:58:00,14:14,"Neuer Spielstand in Minden, 14:14 durch den Treffer 6M von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
52,35:05:00,13:14,Tor! Vladan Lipovina (HSG Wetzlar) netzt ein zum neuen Spielstand von 13:14.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
53,34:56:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
54,34:27:00,,Wurfversuch von Lenny Rubin (HSG Wetzlar) aber der Ball landet an der Latte.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
55,32:53:00,13:13,Luka Sebetic (GWD Minden) trifft zum Spielstand von 13:13 in Kampa-Halle.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
56,32:03:00,,Lattenkracher von Lenny Rubin (HSG Wetzlar).,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
57,31:01:00,12:13,Mats Korte (GWD Minden) trifft von der 7-Meter Linie.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
58,30:00:00,,Lenny Rubin blockt den Wurf von Philipp Ahouansou.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
59,29:04:00,,Überragende Parade des Torwarts Till Klimpke (HSG Wetzlar)! Philipp Ahouansou kann den Ball nicht im Tor unterbringen!,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
60,28:28:00,,Der Wurf von GWD Minden wurde geblockt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
61,27:07:00,,Maximilian Janke (GWD Minden) scheitert am Torwart Till Klimpke (HSG Wetzlar).,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
62,26:59:00,,Fehlwurf von Vladan Lipovina (HSG Wetzlar).,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
63,26:36:00,,Auszeit HSG Wetzlar,GWD Minden,HSG Wetzlar,0,1,0,0,0,0,0,0
64,26:34:00,11:13,Mats Korte (GWD Minden) überwindet den Torwart zum neuen Spielstand von 11:13.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
65,26:27:00,,Jovica Nikolic von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
66,26:17:00,10:13,Tor (RR/fern)! Philipp Ahouansou (GWD Minden) netzt ein zum neuen Spielstand von 10:13.,GWD Minden,HSG Wetzlar,0,0,0,0,0,0,0,0
67,25:18:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
68,25:06:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HSG Wetzlar,0,0,1,0,1,0,0,0
69,24:55:00,9:13,"Neuer Spielstand in Minden, 9:13 durch den Treffer von Emil Mellegard für HSG Wetzlar.",GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
70,24:51:00,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Luka Sebetic.",GWD Minden,HSG Wetzlar,0,0,0,0,1,0,0,0
71,24:12:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,HSG Wetzlar,0,0,1,0,1,0,0,0
