,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,34:35:00,Tor (6M)! Mats Korte (GWD Minden) netzt ein zum neuen Spielstand von 34:35.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
2,59:47:00,33:35:00,"Neuer Spielstand in Minden, 33:35 durch den Treffer von Tomas Urban für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
3,59:33:00,32:35:00,Tor! Marian Michalczik (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 32:35.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
4,59:17:00,,Auszeit Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,1,0,0,0,0,0,0
5,58:57:00,,"Niclas Pieczkowski (6M) wirft, jedoch neben das Tor.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
6,58:21:00,32:34:00,Marius Steinhauser (Hannover-Burgdorf) trifft zum Spielstand von 32:34 in Kampa-Halle.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
7,58:13:00,32:33:00,Tor! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 32:33.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
8,57:56:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
9,57:31:00,31:33:00,"Neuer Spielstand in Minden, 31:33 durch den Treffer LA von Vincent Büchner für Hannover-Burgdorf.",GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
10,56:42:00,,"Torwurf von Niclas Pieczkowski (GWD Minden), aber der Ball trifft nur die Latte.",GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
11,55:38:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,1,0,1,0,0,0
12,55:51:00,31:32:00,Tor (6M)! Marian Michalczik (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 31:32.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
13,55:39:00,,Timo Stoyke (GWD Minden) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,1
14,55:30:00,31:31:00,Jonah Jungmann (GWD Minden) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 31:31.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
15,54:39:00,,Der Wurf von Renars Uscins (Hannover-Burgdorf) landet hinter dem Tor.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
16,54:28:00,30:31:00,Tomas Urban (GWD Minden) überwindet den Torwart zum neuen Spielstand von 30:31.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
17,54:00:00,,"Der Trainer von Hannover-Burgdorf, Christian Prokop stellt nun Dario Quenstedt zwischen die Pfosten.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
18,53:24:00,29:31:00,"Neuer Spielstand in Minden, 29:31 durch den Treffer von Uladzislau Kulesh für Hannover-Burgdorf.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
19,53:14:00,29:30:00,Tomas Urban (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 29:30.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
20,53:07:00,28:30:00,Tor (RA)! Marius Steinhauser (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 28:30.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
21,52:41:00,,Christian Prokop von Hannover-Burgdorf wurde mit der Gelben Karte von Dorff/Dorff verwarnt.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
22,52:38:00,28:29:00,Tomas Urban (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 28:29.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
23,52:21:00,27:29:00,Tor für GWD Minden durch Mats Korte nach einem Pass von Jonah Jungmann.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
24,51:56:00,,Auszeit GWD Minden,GWD Minden,Hannover-Burgdorf,1,0,0,0,0,0,0,0
25,50:49:00,26:29:00,Vincent Büchner (Hannover-Burgdorf) überwindet den Torwart von (LA) zum neuen Spielstand von 26:29.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
26,50:31:00,,Zeitstrafe vorbei Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
27,50:22:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,1,0,1,0,0
28,49:24:00,,Yahav Shamir (GWD Minden) hält den Wurf von Marius Steinhauser.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
29,49:01:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,1,0,1,0,0
30,48:53:00,26:28:00,"Neuer Spielstand in Minden, 26:28 durch den Treffer 6M von Carles Asensio Cambra für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
31,48:29:00,,Es gibt eine 2 Minuten Strafe für Bastian Roscheck (Hannover-Burgdorf).,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,1,0
32,47:29:00,,Überragende Parade des Torwarts Yahav Shamir (GWD Minden)! Jonathan Edvardsson kann den Ball nicht im Tor unterbringen!,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
33,46:51:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
34,46:20:00,25:28:00,Renars Uscins (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 25:28.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
35,46:06:00,25:27:00,Tomas Urban (GWD Minden) trifft zum Spielstand von 25:27 in Kampa-Halle.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36,45:48:00,,Yahav Shamir (GWD Minden) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37,45:30:00,24:27:00,Tor! Uladzislau Kulesh (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 24:27.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38,45:22:00,,Zeitstrafe vorbei Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
39,45:17:00,24:26:00,"Neuer Spielstand in Minden, 24:26 durch den Treffer von Niclas Pieczkowski für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
40,45:08:00,,Auszeit GWD Minden,GWD Minden,Hannover-Burgdorf,1,0,0,0,0,1,0,0
41,44:59:00,23:26,Tor! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 23:26.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
42,44:22:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,1,0,1,0,0
43,44:13:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Niclas Pieczkowski kann den Ball nicht im Tor unterbringen!,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
44,43:46:00,23:25,Marius Steinhauser (Hannover-Burgdorf) trifft von (RA). Neuer Spielstand in Kampa-Halle: 23:25.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45,43:19:00,,Jonathan Edvardsson (Hannover-Burgdorf) erhält eine 2 Minuten Strafe.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,1,0
46,43:10:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47,42:44:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,1,0,1,0,0,0
48,42:28:00,,Marius Steinhauser von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
49,42:03:00,23:24,Max Staar (GWD Minden) überwindet den Torwart von (RA) zum neuen Spielstand von 23:24.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50,41:28:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,1,0,1,0,0,0
51,41:21:00,22:24,Vincent Büchner (Hannover-Burgdorf) trifft zum Spielstand von 22:24 in Kampa-Halle.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
52,41:03:00,,"Nach einem harten Foul hat Niclas Pieczkowski (GWD Minden) nun zwei Minuten Zeit, um sich auszuruhen.",GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,1
53,40:36:00,22:23,Tor (6M)! Uladzislau Kulesh (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 22:23.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54,40:14:00,,Zeitstrafe vorbei Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
55,40:10:00,22:22,"Neuer Spielstand in Minden, 22:22 durch den Treffer 6M von Magnus Holpert für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
56,39:33:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
57,39:11:00,,Auszeit Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,1,0,0,0,1,0,0
58,38:33:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,GWD Minden,Hannover-Burgdorf,0,0,0,1,0,1,0,0
59,38:29:00,21:22,"Neuer Spielstand in Minden, 21:22 durch den Treffer von Magnus Holpert für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,0,0
60,38:11:00,,Ilija Brozovic (Hannover-Burgdorf) erhält eine 2 Minuten Strafe.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,1,1,0
61,37:28:00,20:22,Renars Uscins (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 20:22.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
62,37:11:00,,Torwartwechsel bei Hannover-Burgdorf. Domenico Ebner kommt für Dario Quenstedt.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
63,36:56:00,20:21,Tomas Urban (GWD Minden) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 20:21.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
64,36:22:00,19:21,Justus Fischer (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 19:21.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
65,36:13:00,19:20,Carles Asensio Cambra (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 19:20.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
66,36:06:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
67,35:37:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,1,0,1,0,0,0
68,35:35:00,18:20,Tor (RL/fern)! Uladzislau Kulesh (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 18:20.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
69,35:14:00,18:19,Max Staar (GWD Minden) trifft zum Spielstand von 18:19 in Kampa-Halle.,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,0
70,34:41:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Hannover-Burgdorf,0,0,1,0,1,0,0,0
71,33:58:00,,Tomas Urban geht den Gegner zu stark an. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger...,GWD Minden,Hannover-Burgdorf,0,0,0,0,1,0,0,1
72,33:36:00,17:19,"Neuer Spielstand in Minden, 17:19 durch den Treffer RM/fern von Magnus Holpert für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
73,32:53:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Justus Fischer.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
74,32:01:00,16:19,Tor! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 16:19.,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
75,31:42:00,,"Carles Asensio Cambra (6M) wirft, jedoch neben das Tor.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
76,30:52:00,16:18,"Neuer Spielstand in Minden, 16:18 durch den Treffer von Renars Uscins für Hannover-Burgdorf. Der Wurf von Hannover-Burgdorf wurde geblockt.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
77,,,HALBZEIT (16:17),GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
78,30:00:00,,Parade von Torwart Dario Quenstedt (Hannover-Burgdorf).,GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
79,29:16:00,16:17,"Neuer Spielstand in Minden, 16:17 durch den Treffer RM/fern von Renars Uscins für Hannover-Burgdorf.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
80,28:45:00,16:16,"Neuer Spielstand in Minden, 16:16 durch den Treffer von Niclas Pieczkowski für GWD Minden.",GWD Minden,Hannover-Burgdorf,0,0,0,0,0,0,0,0
